"study","tissue","signature","tau"
"OSD-635","vascular_smc","XX-650-23, an inhibitor of CREB-CBP interaction, effect on acute myeloid leukemia cell line GSE74928_1",-0.666856082416416
"OSD-635","vascular_smc","Enhancement of Human B Cell Differentiation and Function in Lymph Nodes by the TLR9 Agonist MGN1703 GSE130307_1",-0.666856082416416
"OSD-635","vascular_smc","THZ1 targeting CDK7 suppresses STAT transcriptional activity and sensitizes T-cell lymphomas to BCL2 inhibitors GSE79955_1",-26.1252905650143
"OSD-635","vascular_smc","Messenger RNA expression after MK2206/DMSO treatment of T47D cells GSE80591_1",-0.666856082416416
"OSD-635","vascular_smc","Transcriptome analysis of HEK 293 cells after treatment with Quinolinol B23 GSE130876_1",-0.666856082416416
"OSD-635","vascular_smc","Novel KDM1A inhibitors induce differentiation and apoptosis of glioma stem cells via unfolded protein response (UPR) pathway GSE84603_1",-0.666856082416416
"OSD-635","vascular_smc","Inhibition of ERG Activity in Patient Derived Prostate Cancer Xenografts using the Small Molecule Inhibitor YK-4-279 GSE86387_1",93.127321075768
"OSD-635","vascular_smc","RNAseq of normal associate fibroblasts after treatment with large oncosomes from prostate cancer cells GSE87563_1",-0.666856082416416
"OSD-635","vascular_smc","High-Throughput Screening of Human Induced Pluripotent Stem Cell Cardiomyocytes Predicts Tyrosine Kinase Inhibitor Cardiotoxicity GSE88944_1",-100
"OSD-635","vascular_smc","Agonistic targeting of TLR1/TLR2 induces p38 MAPK-dependent apoptosis and NfkB-dependent differentiation of AML cells GSE92744_1",-0.666856082416416
"OSD-635","vascular_smc","Therapeutic utility of natural estrogen receptor beta agonists on ovarian cancer GSE93807_1",-36.9480384887781
"OSD-635","vascular_smc","Self-organized cerebral organoids with human specific features predict effective drugs to combat Zika virus infection [RNA-seq] GSE97919_1",-0.666856082416416
"OSD-635","vascular_smc","Defining a microRNA-mRNA targetome for calcineurin inhibitor induced nephrotoxicity GSE98670_1",100
"OSD-635","vascular_smc","Inhibitors of the histone methyltransferases EZH2/1 induce a potent antiviral state and suppress infection by diverse viral pathogens [RNA-Seq] GSE99839_1",-0.666856082416416
"OSD-635","vascular_smc","Effect of digoxin treatment on the gene and alternative splice expression in human pluripotent stem cells- derived mesenchymal stem cells GSE99944_1",100
"OSD-635","vascular_smc","Transcriptome sequencing of human coronary artery smooth muscle cell under treatment of nitrated fatty acid GSE100676_1",-5.17499574379603
"OSD-635","vascular_smc","Transcriptome sequencing of human coronary artery smooth muscle cell under treatment of nitrated fatty acid GSE100676_2",3.06851242617461
"OSD-635","vascular_smc","Transcriptome analysis of Group 3 and 4 medulloblastoma orthotopic xenograft mice with digoxin treatment GSE115542_1",-0.666856082416416
"OSD-635","vascular_smc","Transcriptome analysis of Group 3 and 4 medulloblastoma orthotopic xenograft mice with digoxin treatment GSE115542_2",-0.666856082416416
"OSD-635","vascular_smc","RNA-seq of eight lymphoblastoid cell lines after AHR ligand treatments GSE116637_1",-0.666856082416416
"OSD-635","vascular_smc","RNA-seq of eight lymphoblastoid cell lines after AHR ligand treatments GSE116637_2",-0.666856082416416
"OSD-635","vascular_smc","Expression Profiling of U2OS Cell Lines Transfected with MicroRNA-571 Mimic or MicroRNA-571 Inhibitor vs. MicroRNA-Control Transfected U2OS Cell Lines GSE118998_1",-18.6054019205302
"OSD-635","vascular_smc","Expression Profiling of U2OS Cell Lines Transfected with MicroRNA-571 Mimic or MicroRNA-571 Inhibitor vs. MicroRNA-Control Transfected U2OS Cell Lines GSE118998_2",-0.666856082416416
"OSD-635","vascular_smc","Gene expression profile of a FLT3-ITD acute myeloid leukemia cell line treated with FLT3 inhibitors for six and twelve hours GSE121272_1",-0.666856082416416
"OSD-635","vascular_smc","Gene expression profile of a FLT3-ITD acute myeloid leukemia cell line treated with FLT3 inhibitors for six and twelve hours GSE121272_2",-0.666856082416416
"OSD-635","vascular_smc","Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1",-0.666856082416416
"OSD-635","vascular_smc","Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_2",-6.4335809418994
"OSD-635","vascular_smc","BI-3406, a potent and selective SOS1::KRAS interaction inhibitor, is effective in KRAS-driven cancers through combined MEK inhibition GSE128385_1",-28.9707147530125
"OSD-635","vascular_smc","BI-3406, a potent and selective SOS1::KRAS interaction inhibitor, is effective in KRAS-driven cancers through combined MEK inhibition GSE128385_2",-0.666856082416416
