"study","tissue","signature","tau"
"OSD-635","vascular_smc","Visualization and Sequencing of Accessible Chromatin Reveals Cell Cycle and Post-HDAC inhibitor Treatment Dynamics GSE139253_1",-30.1383992352029
"OSD-635","vascular_smc","Effect of ER stress on MUC1 kidney disease patient derived cells and and treatment by BRD4780 GSE129942_1",100
"OSD-635","vascular_smc","Effect of ER stress on MUC1 kidney disease patient derived cells and and treatment by BRD4780 GSE129942_2",-0.666856082416416
"OSD-635","vascular_smc","A USP28-∆Np63 axis is a druggable vulnerability of squamous tumour formation and maintenance GSE129982_1",-0.666856082416416
"OSD-635","vascular_smc","A USP28-∆Np63 axis is a druggable vulnerability of squamous tumour formation and maintenance GSE129982_2",-0.666856082416416
"OSD-635","vascular_smc","RNA sequencing analysis of HCT116 cells following 24 hours of metabolic recovery from methionine restriction +/- small molecule treatment. GSE138574_1",47.7756594414798
"OSD-635","vascular_smc","RNA sequencing analysis of HCT116 cells following 24 hours of metabolic recovery from methionine restriction +/- small molecule treatment. GSE138574_2",-0.666856082416416
"OSD-635","vascular_smc","Effects of chronic intermittent ethanol exposure and withdrawal on neuroblastoma cell transcriptome GSE139408_1",-0.666856082416416
"OSD-635","vascular_smc","Effects of chronic intermittent ethanol exposure and withdrawal on neuroblastoma cell transcriptome GSE139408_2",-0.666856082416416
"OSD-635","vascular_smc","Identifying and overcoming a mechanism of resistance to Wee1 kinase inhibitor AZD1775 in high grade serous ovarian cancer cells (ES-2) GSE142124_1",-0.666856082416416
"OSD-635","vascular_smc","Identifying and overcoming a mechanism of resistance to Wee1 kinase inhibitor AZD1775 in high grade serous ovarian cancer cells (ES-2) GSE142124_2",-0.666856082416416
"OSD-635","vascular_smc","Evaluation of Eribulin Combined with Irinotecan for Treatment of Pediatric Cancer Xenografts GSE146687_1",-0.666856082416416
"OSD-635","vascular_smc","Evaluation of Eribulin Combined with Irinotecan for Treatment of Pediatric Cancer Xenografts GSE146687_2",-100
"OSD-635","vascular_smc","Novel Inhibitors of the Histone-Methyltransferase DOT1L Show Potent Antileukemic Activity in Patient-derived Xenografts (RNA-seq dataset) GSE149184_1",-100
"OSD-635","vascular_smc","Novel Inhibitors of the Histone-Methyltransferase DOT1L Show Potent Antileukemic Activity in Patient-derived Xenografts (RNA-seq dataset) GSE149184_2",-0.666856082416416
"OSD-635","vascular_smc","Global gene expression profiles of cellular response in human induced pluripotent stem cell-derived cardiomyocytes to melphalan treatment GSE150055_1",100
"OSD-635","vascular_smc","Global gene expression profiles of cellular response in human induced pluripotent stem cell-derived cardiomyocytes to melphalan treatment GSE150055_2",-0.666856082416416
"OSD-635","vascular_smc","Assessment of transcriptional ERa activity following exposure to 17a-E2 and 17b-E2 GSE151039_1",-0.666856082416416
"OSD-635","vascular_smc","Assessment of transcriptional ERa activity following exposure to 17a-E2 and 17b-E2 GSE151039_2",-0.666856082416416
"OSD-635","vascular_smc","DPN and Tamoxifen treatments of parathyroid adenoma cells GSE37211_1",-100
"OSD-635","vascular_smc","DPN and Tamoxifen treatments of parathyroid adenoma cells GSE37211_2",-100
"OSD-635","vascular_smc","RNA-sequencing experiment: Treatment of MCF-7 breast cancer cells with the novel small molecule ZNA GSE59251_1",12.1783292322421
"OSD-635","vascular_smc","RNA-sequencing experiment: Treatment of MCF-7 breast cancer cells with the novel small molecule ZNA GSE59251_2",-0.666856082416416
"OSD-635","vascular_smc","Identification Of Candidate Anti-Cancer Molecular Mechanisms Of Compound Kushen Injection Using Functional Genomics GSE78512_1",-0.666856082416416
"OSD-635","vascular_smc","Identification Of Candidate Anti-Cancer Molecular Mechanisms Of Compound Kushen Injection Using Functional Genomics GSE78512_2",47.9561560506886
"OSD-635","vascular_smc","Stimulation of isolated plasmacytoid dendritic cells (pDCs) with TLR9 agonist CpG C (CpG) and TLR7 agonist imiquimod (IMQ) GSE79272_1",100
"OSD-635","vascular_smc","Stimulation of isolated plasmacytoid dendritic cells (pDCs) with TLR9 agonist CpG C (CpG) and TLR7 agonist imiquimod (IMQ) GSE79272_2",100
"OSD-635","vascular_smc","IGF2BP1 is a druggable, post-transcriptional super-enhancer of E2F-driven gene expression hallmark in cancer [IGF2BP1 KO in A-549 (polyA RNA)] GSE146546_1",-0.666856082416416
"OSD-635","vascular_smc","High Resolution Mapping of RNA Polymerases Identifies Mechanisms of Sensitivity and Resistance to BET Inhibitors in t(8;21) AML GSE83660_1",-0.666856082416416
"OSD-635","vascular_smc","High Resolution Mapping of RNA Polymerases Identifies Mechanisms of Sensitivity and Resistance to BET Inhibitors in t(8;21) AML GSE83660_2",-0.666856082416416
"OSD-635","vascular_smc","Transcriptome analysis of dominant-negative Brd4 mutants identifies Brd4-specific target genes of BET inhibitor JQ1 GSE92456_1",-0.666856082416416
"OSD-635","vascular_smc","Transcriptome analysis of dominant-negative Brd4 mutants identifies Brd4-specific target genes of BET inhibitor JQ1 GSE92456_2",-0.666856082416416
"OSD-635","vascular_smc","The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_1",-0.666856082416416
"OSD-635","vascular_smc","The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_2",-0.666467806469861
"OSD-635","vascular_smc","The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_3",-0.666856082416416
"OSD-635","vascular_smc","The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_4",-0.666856082416416
"OSD-635","vascular_smc","The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_5",-0.666856082416416
"OSD-635","vascular_smc","The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_6",-0.666856082416416
"OSD-635","vascular_smc","The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_7",-0.666856082416416
"OSD-635","vascular_smc","Synergistic activity of BET inhibitor BI 894999 with PLK inhibitor volasertib in AML in vitro and in vivo GSE103068_1",-43.0493176189645
"OSD-635","vascular_smc","Synergistic activity of BET inhibitor BI 894999 with PLK inhibitor volasertib in AML in vitro and in vivo GSE103068_2",-0.666856082416416
"OSD-635","vascular_smc","Synergistic activity of BET inhibitor BI 894999 with PLK inhibitor volasertib in AML in vitro and in vivo GSE103068_3",-0.666856082416416
"OSD-635","vascular_smc","AhR activity directs BRAF inhibitors resistance in metastastic melanoma GSE104869_1",-0.666856082416416
"OSD-635","vascular_smc","AhR activity directs BRAF inhibitors resistance in metastastic melanoma GSE104869_2",-0.666856082416416
"OSD-635","vascular_smc","AhR activity directs BRAF inhibitors resistance in metastastic melanoma GSE104869_3",-0.666856082416416
"OSD-635","vascular_smc","AhR activity directs BRAF inhibitors resistance in metastastic melanoma GSE104869_4",-0.666856082416416
"OSD-635","vascular_smc","AhR activity directs BRAF inhibitors resistance in metastastic melanoma GSE104869_5",-0.666856082416416
"OSD-635","vascular_smc","RNASeq analysis of NB1691 neuroblastoma cells treated with MDM2-p53 inhibitor RG7388 alone and in combination with temozolomide GSE104917_1",-0.666856082416416
"OSD-635","vascular_smc","RNASeq analysis of NB1691 neuroblastoma cells treated with MDM2-p53 inhibitor RG7388 alone and in combination with temozolomide GSE104917_2",-0.666856082416416
"OSD-635","vascular_smc","RNASeq analysis of NB1691 neuroblastoma cells treated with MDM2-p53 inhibitor RG7388 alone and in combination with temozolomide GSE104917_3",-0.666856082416416
"OSD-635","vascular_smc","A safe inhalational treatment prevents SARS–CoV-2 viral replication in human airway epithelial cells. GSE150962_1",-0.666856082416416
"OSD-635","vascular_smc","A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_1",100
"OSD-635","vascular_smc","A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_2",41.8470520429882
"OSD-635","vascular_smc","A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_3",-0.666856082416416
"OSD-635","vascular_smc","A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_4",-0.666856082416416
"OSD-635","vascular_smc","A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_5",42.4755053176688
"OSD-635","vascular_smc","Synergy from Gene Expression and Network Mining (SynGeNet) method predicts genotype-specific synergistic drug combinations in melanoma GSE109731_1",-100
"OSD-635","vascular_smc","Synergy from Gene Expression and Network Mining (SynGeNet) method predicts genotype-specific synergistic drug combinations in melanoma GSE109731_2",-100
"OSD-635","vascular_smc","Synergy from Gene Expression and Network Mining (SynGeNet) method predicts genotype-specific synergistic drug combinations in melanoma GSE109731_3",-92.8546661920119
"OSD-635","vascular_smc","RNA sequencing of HepG2 cells treated with estradiol or estrogen receptor agonist GSE112983_1",-0.666856082416416
"OSD-635","vascular_smc","RNA sequencing of HepG2 cells treated with estradiol or estrogen receptor agonist GSE112983_2",-0.666856082416416
"OSD-635","vascular_smc","RNA sequencing of HepG2 cells treated with estradiol or estrogen receptor agonist GSE112983_3",-0.666856082416416
"OSD-635","vascular_smc","RNA-Seq with DHT induction and/or GSK treatment at 24, 48 hrs and 2 weeks GSE114267_1",-0.666856082416416
"OSD-635","vascular_smc","RNA-Seq with DHT induction and/or GSK treatment at 24, 48 hrs and 2 weeks GSE114267_2",7.85859709059169
"OSD-635","vascular_smc","RNA-Seq with DHT induction and/or GSK treatment at 24, 48 hrs and 2 weeks GSE114267_3",-0.666856082416416
"OSD-635","vascular_smc","RNA-Seq with DHT induction and/or GSK treatment at 24, 48 hrs and 2 weeks GSE114267_4",-0.666856082416416
"OSD-635","vascular_smc","RNA-Seq with DHT induction and/or GSK treatment at 24, 48 hrs and 2 weeks GSE114267_5",-0.666856082416416
"OSD-635","vascular_smc","The PPAR agonist Rosiglitazone induces paracrine signaling in melanoma cells that activate stromal cells and enhances tumor growth. GSE115221_1",-100
"OSD-635","vascular_smc","The PPAR agonist Rosiglitazone induces paracrine signaling in melanoma cells that activate stromal cells and enhances tumor growth. GSE115221_2",-0.666856082416416
"OSD-635","vascular_smc","The PPAR agonist Rosiglitazone induces paracrine signaling in melanoma cells that activate stromal cells and enhances tumor growth. GSE115221_3",100
"OSD-635","vascular_smc","Transcriptional profiling of Ishikawa cells treated with H3B-5942, E2, or standard of care compounds GSE115608_1",-19.5235977445563
"OSD-635","vascular_smc","Transcriptional profiling of Ishikawa cells treated with H3B-5942, E2, or standard of care compounds GSE115608_2",19.9979629047877
"OSD-635","vascular_smc","Transcriptional profiling of Ishikawa cells treated with H3B-5942, E2, or standard of care compounds GSE115608_3",-0.666856082416416
"OSD-635","vascular_smc","Transcriptional profiling of Ishikawa cells treated with H3B-5942, E2, or standard of care compounds GSE115608_4",27.331188964952
"OSD-635","vascular_smc","Transcriptional profiling of Ishikawa cells treated with H3B-5942, E2, or standard of care compounds GSE115608_5",-30.1850202130405
"OSD-635","vascular_smc","Transcriptional profiling of MCF7 cells treated with H3B05942, E2, or standard of care compounds GSE115609_1",-0.666856082416416
"OSD-635","vascular_smc","Transcriptional profiling of MCF7 cells treated with H3B05942, E2, or standard of care compounds GSE115609_2",-0.666856082416416
"OSD-635","vascular_smc","Transcriptional profiling of MCF7 cells treated with H3B05942, E2, or standard of care compounds GSE115609_3",-0.666856082416416
"OSD-635","vascular_smc","Effects of HSP90 inhibitors on airway goblet cell metaplasia GSE116927_1",100
"OSD-635","vascular_smc","Effects of HSP90 inhibitors on airway goblet cell metaplasia GSE116927_2",-0.666856082416416
"OSD-635","vascular_smc","Effects of HSP90 inhibitors on airway goblet cell metaplasia GSE116927_3",-45.450330173126
"OSD-635","vascular_smc","Effects of HSP90 inhibitors on airway goblet cell metaplasia GSE116927_4",100
"OSD-635","vascular_smc","Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_1",-0.666856082416416
"OSD-635","vascular_smc","Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_2",-0.666856082416416
"OSD-635","vascular_smc","Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_3",-100
"OSD-635","vascular_smc","Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_4",-0.666856082416416
"OSD-635","vascular_smc","Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_5",-0.666856082416416
"OSD-635","vascular_smc","Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_6",-0.666856082416416
"OSD-635","vascular_smc","SUM52PE treated with PI3K-mTOR inhibitors GSE123740_1",-0.666856082416416
"OSD-635","vascular_smc","SUM52PE treated with PI3K-mTOR inhibitors GSE123740_2",-0.666856082416416
"OSD-635","vascular_smc","SUM52PE treated with PI3K-mTOR inhibitors GSE123740_3",-34.058500095037
"OSD-635","vascular_smc","SUM52PE treated with PI3K-mTOR inhibitors GSE123740_4",-100
"OSD-635","vascular_smc","Combined MEKi (GDC-0973) and WNT (G007-LK) treatment in APC and KRAS mutant HCT-15 cell line GSE123807_1",-0.666856082416416
"OSD-635","vascular_smc","Combined MEKi (GDC-0973) and WNT (G007-LK) treatment in APC and KRAS mutant HCT-15 cell line GSE123807_2",100
"OSD-635","vascular_smc","Combined MEKi (GDC-0973) and WNT (G007-LK) treatment in APC and KRAS mutant HCT-15 cell line GSE123807_3",-79.2765992895223
"OSD-635","vascular_smc","RNA-seq of HL-60 cells following treatment with different compounds GSE124422_1",-0.666856082416416
"OSD-635","vascular_smc","RNA-seq of HL-60 cells following treatment with different compounds GSE124422_2",-0.666856082416416
"OSD-635","vascular_smc","RNA-seq of HL-60 cells following treatment with different compounds GSE124422_3",-98.6484263079898
"OSD-635","vascular_smc","RNA-seq of HL-60 cells following treatment with different compounds GSE124422_4",-100
"OSD-635","vascular_smc","RNA-seq of HL-60 cells following treatment with different compounds GSE124422_5",-83.6309381894903
"OSD-635","vascular_smc","RNA-seq of HL-60 cells following treatment with different compounds GSE124422_6",-100
"OSD-635","vascular_smc","Targeting HuH7 cells with JumonjiC Lysine Demethylase Inhibitors and RAC1 inhibitors (RNA-Seq) GSE125518_1",29.2937354028679
"OSD-635","vascular_smc","Targeting HuH7 cells with JumonjiC Lysine Demethylase Inhibitors and RAC1 inhibitors (RNA-Seq) GSE125518_2",-0.666856082416416
"OSD-635","vascular_smc","Targeting HuH7 cells with JumonjiC Lysine Demethylase Inhibitors and RAC1 inhibitors (RNA-Seq) GSE125518_3",-24.2483894975776
"OSD-635","vascular_smc","Targeting HuH7 cells with JumonjiC Lysine Demethylase Inhibitors and RAC1 inhibitors (RNA-Seq) GSE125518_4",32.5057538438836
"OSD-635","vascular_smc","HDAC inhibition enhances the in vivo efficacy of MEK inhibitor therapy in uveal melanoma GSE127948_1",-0.666856082416416
"OSD-635","vascular_smc","HDAC inhibition enhances the in vivo efficacy of MEK inhibitor therapy in uveal melanoma GSE127948_2",-100
"OSD-635","vascular_smc","HDAC inhibition enhances the in vivo efficacy of MEK inhibitor therapy in uveal melanoma GSE127948_3",-0.666856082416416
"OSD-635","vascular_smc","Drug combination of 17-AAG and Belinostat on MDA-MB-231 breast cancer cells GSE129944_1",-0.666856082416416
"OSD-635","vascular_smc","Drug combination of 17-AAG and Belinostat on MDA-MB-231 breast cancer cells GSE129944_2",-0.666856082416416
"OSD-635","vascular_smc","Drug combination of 17-AAG and Belinostat on MDA-MB-231 breast cancer cells GSE129944_3",91.718515196911
"OSD-635","vascular_smc","Global Gene Expression analysis of CUTLL1 cell lines after treatment with Perhexiline GSE66014_1",-0.666856082416416
"OSD-635","vascular_smc","Human pulmonary artery endothelial cells  (hPAECs) with downregulated BMPR2 signaling demonstrate a unique gene expression signature after exposure to overexpression of AdAlox5 GSE133749_1",-0.666856082416416
"OSD-635","vascular_smc","Human pulmonary artery endothelial cells  (hPAECs) with downregulated BMPR2 signaling demonstrate a unique gene expression signature after exposure to overexpression of AdAlox5 GSE133749_2",-78.0662890831254
"OSD-635","vascular_smc","Human pulmonary artery endothelial cells  (hPAECs) with downregulated BMPR2 signaling demonstrate a unique gene expression signature after exposure to overexpression of AdAlox5 GSE133749_3",-0.666856082416416
"OSD-635","vascular_smc","Human pulmonary artery endothelial cells  (hPAECs) with downregulated BMPR2 signaling demonstrate a unique gene expression signature after exposure to overexpression of AdAlox5 GSE133749_4",-93.7112047383002
"OSD-635","vascular_smc","Human pulmonary artery endothelial cells  (hPAECs) with downregulated BMPR2 signaling demonstrate a unique gene expression signature after exposure to overexpression of AdAlox5 GSE133749_5",-0.666856082416416
"OSD-635","vascular_smc","Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_1",78.4537476142995
"OSD-635","vascular_smc","Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_2",-0.666856082416416
"OSD-635","vascular_smc","Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_3",-0.666856082416416
"OSD-635","vascular_smc","Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_4",-0.666856082416416
"OSD-635","vascular_smc","Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_5",-0.666856082416416
"OSD-635","vascular_smc","Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_6",-0.666856082416416
"OSD-635","vascular_smc","Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_7",-2.26718288354947
"OSD-635","vascular_smc","Effect of venetoclax, tedizolid, and combination treatment on gene expression in a venetoclax-resistant AML cell line GSE136032_1",-0.666856082416416
"OSD-635","vascular_smc","Effect of venetoclax, tedizolid, and combination treatment on gene expression in a venetoclax-resistant AML cell line GSE136032_2",-0.666856082416416
"OSD-635","vascular_smc","Effect of venetoclax, tedizolid, and combination treatment on gene expression in a venetoclax-resistant AML cell line GSE136032_3",-100
"OSD-635","vascular_smc","Effective FTO inhibitors with potent anti-tumor efficacy suppress cancer stem/initiating cell self-renewal and overcome immune evasion GSE136204_1",-0.666856082416416
"OSD-635","vascular_smc","Effective FTO inhibitors with potent anti-tumor efficacy suppress cancer stem/initiating cell self-renewal and overcome immune evasion GSE136204_2",-0.666856082416416
"OSD-635","vascular_smc","Effective FTO inhibitors with potent anti-tumor efficacy suppress cancer stem/initiating cell self-renewal and overcome immune evasion GSE136204_3",-0.666856082416416
"OSD-635","vascular_smc","Multi-treatment models for breast cancer GSE136823_1",-0.666856082416416
"OSD-635","vascular_smc","Multi-treatment models for breast cancer GSE136823_2",-54.3062835085824
"OSD-635","vascular_smc","Multi-treatment models for breast cancer GSE136823_3",-0.666856082416416
"OSD-635","vascular_smc","Multi-treatment models for breast cancer GSE136823_4",-0.666856082416416
"OSD-635","vascular_smc","Multi-treatment models for breast cancer GSE136823_5",100
"OSD-635","vascular_smc","Multi-treatment models for breast cancer GSE136823_6",-0.666856082416416
"OSD-635","vascular_smc","Multi-treatment models for breast cancer GSE136823_7",-0.666856082416416
"OSD-635","vascular_smc","Caco2 response to methotrexate, lactoferrin, and methotrexate-lactoferrin co-exposure GSE140066_1",-0.666856082416416
"OSD-635","vascular_smc","Caco2 response to methotrexate, lactoferrin, and methotrexate-lactoferrin co-exposure GSE140066_2",-0.666856082416416
"OSD-635","vascular_smc","Caco2 response to methotrexate, lactoferrin, and methotrexate-lactoferrin co-exposure GSE140066_3",-0.666856082416416
"OSD-635","vascular_smc","A novel RAF kinase inhibitor with DFG-out binding mode: high efficacy in BRAF-mutant tumor xenograft models in the absence of normal tissue hyperproliferation GSE74729_1",-0.666856082416416
"OSD-635","vascular_smc","Genes regulated by COUP-TFII inhibitor GSE142475_1",100
"OSD-635","vascular_smc","Genes regulated by COUP-TFII inhibitor GSE142475_2",-0.666856082416416
"OSD-635","vascular_smc","Genes regulated by COUP-TFII inhibitor GSE142475_3",-0.666856082416416
"OSD-635","vascular_smc","Transcriptional responses to TNF following HFl treatment of primary rheumatoid arthritis fibroblast like synoviocytes (RA-FLS) GSE145204_1",-0.666856082416416
"OSD-635","vascular_smc","Transcriptional responses to TNF following HFl treatment of primary rheumatoid arthritis fibroblast like synoviocytes (RA-FLS) GSE145204_2",100
"OSD-635","vascular_smc","Transcriptional responses to TNF following HFl treatment of primary rheumatoid arthritis fibroblast like synoviocytes (RA-FLS) GSE145204_3",100
"OSD-635","vascular_smc","Expression analysis after co-treatment of GSK126 and pomalidomide GSE147320_1",-0.666856082416416
"OSD-635","vascular_smc","Expression analysis after co-treatment of GSK126 and pomalidomide GSE147320_2",-0.666856082416416
"OSD-635","vascular_smc","Expression analysis after co-treatment of GSK126 and pomalidomide GSE147320_3",-100
"OSD-635","vascular_smc","RNA-seq analysis of human KMT2A rearranged Molm14 AML cell line treated with DOT1L and/or EZH2 inhibitor GSE149520_1",-100
"OSD-635","vascular_smc","RNA-seq analysis of human KMT2A rearranged Molm14 AML cell line treated with DOT1L and/or EZH2 inhibitor GSE149520_2",37.6197665787426
"OSD-635","vascular_smc","RNA-seq analysis of human KMT2A rearranged Molm14 AML cell line treated with DOT1L and/or EZH2 inhibitor GSE149520_3",-100
"OSD-635","vascular_smc","RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_1",-5.0835701007038
"OSD-635","vascular_smc","RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_2",-18.9514661838625
"OSD-635","vascular_smc","RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_3",-28.7301386484933
"OSD-635","vascular_smc","RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_4",9.53437469238938
"OSD-635","vascular_smc","RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_5",-2.06937452159879
"OSD-635","vascular_smc","RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_6",-34.8597736775037
"OSD-635","vascular_smc","RNA Sequencing facilitates quantitative analysis of differently expressed genes with GA or SKN treatment in rheumatoid fibroblast-like synoviocytes GSE155766_1",100
"OSD-635","vascular_smc","RNA Sequencing facilitates quantitative analysis of differently expressed genes with GA or SKN treatment in rheumatoid fibroblast-like synoviocytes GSE155766_2",-0.666856082416416
"OSD-635","vascular_smc","RNA Sequencing facilitates quantitative analysis of differently expressed genes with GA or SKN treatment in rheumatoid fibroblast-like synoviocytes GSE155766_3",-0.666856082416416
"OSD-635","vascular_smc","Effect of BET bromodomain inhibitor and/or mTOR inhibitor on transcriptome of small cell lung cancer patient-derived xenograft LX95 tumors GSE155923_1",76.0259034022665
