"gene","mean_lfc","z","padj","mean_log2fc","stouffer_z","combined_padj"
"A1BG",0.171375322378147,0.119754734552819,0.968361021698641,0.424106818697232,5.69528043059868,9.34855015042207e-07
"A1BG-AS1",-0.204067897424053,-1.62148374596957,0.357425583699674,-0.149625398990822,-1.51851940826577,0.312069313767958
"A1CF",0.210057398926861,1.90282568388852,0.251895521767773,0.1928946737057,0.607756516435115,0.745038405852177
"A2M",0.101241212883097,2.12186212423162,0.184733295542518,0.142065675280291,1.94286675906073,0.168642606680271
"A2M-AS1",-0.123434661976088,-0.709905384940624,0.762522283728172,-0.153578790435266,-0.589306449244347,0.755038065706214
"A2ML1",-0.0182255773705015,-0.697198778195574,0.76809621183612,-0.185763927685201,-0.175454017421438,0.938387990010616
"A3GALT2",0.159532664679502,1.27505057259527,0.50816567331826,0.627591663300625,0.596240509455904,0.751401074437552
"A4GALT",-0.102564690321234,-1.18051575708386,0.551328197987736,-0.0792737335528905,-0.502172837412081,0.796588873903528
"AAAS",0.0397557928843244,3.65719625705181,0.00633314917558283,0.171120917719147,4.83021238540799,4.62281817124801e-05
"AACS",-0.102341123768762,-1.21211191364932,0.53707380131755,0.0547181853175265,1.66934582569519,0.253638679475786
"AACSP1",-0.20843638218722,0.00844089648950382,0.998205231446604,-0.423703116521282,0.153384609652031,0.947224736610117
"AADAC",-0.0829286568911546,-1.7390622924788,0.310658310191248,-0.862317269111856,-2.44164365519517,0.0687121532098122
"AADAT",-0.222404487078558,-3.39662708248738,0.0130074426126594,-0.30904927597165,-3.88022223897537,0.00151336654458877
"AAGAB",-0.0506743303974918,-0.737855238239795,0.750717363768918,-0.0338540927484165,0.856466747647605,0.623100906751752
"AAK1",0.0206199135279921,1.42830104799643,0.439795020767919,-0.0564302287733036,-1.58578370690941,0.285150929578102
"AAMDC",-0.0236657640852596,-2.71661153050203,0.0642927287964271,0.0720908606782236,0.494648889962782,0.800379822863224
"AAMP",-0.0150617984345679,1.01070125599848,0.62921665598606,0.0438628845360857,2.46833004098949,0.0650137019658421
"AANAT",0.056770252404565,1.44891606682251,0.43134244942388,0.512448070537732,1.75277784237393,0.225128015953837
"AAR2",-0.0966150218950935,-3.06898609368387,0.0293895211963523,-0.0868999925231975,-2.01602185729579,0.150491271403569
"AARD",-0.178168713887955,-2.61788458290483,0.0783297578948478,-0.0536404072555097,-1.16355478457862,0.471975167801713
"AARS1",-0.0241791242623853,-2.14153497829591,0.179134424233482,0.0114394947051526,0.382508914874751,0.852067273445663
"AARS2",-0.0886870779831496,-2.33608421780985,0.131128199342,-0.0981614192559789,-1.40722359380583,0.358537163312301
"AARSD1",0.049996678056801,1.62301801104389,0.357002524648633,-0.0187561593243233,-0.1884097725835,0.932835375468984
"AARSD1P1",0.423362679462297,0.915063828986008,0.67331434572176,0.220463109841571,0.658124136864871,0.720288242597462
"AASDH",0.00581632602547998,-0.407384278777317,0.881134268358558,0.00312451452663565,-0.280610324325227,0.896539887770035
"AASDHPPT",0.0114797482253005,-0.776413194988522,0.733877682923226,0.0057022143512581,-0.503675020569439,0.79604611265086
"AASS",0.0733256738869088,0.639358353116726,0.791512293163611,0.00392169299834799,-0.794322679279839,0.653887784850822
