"gene","class","source","mean_lfc","padj","n_studies","n_species","direction_concordance"
"C12orf43","C6_oncogenic","MSigDB_C6",-0.232950557201426,1.23463639524642e-06,10,1,0.9
"PDE7B","C6_oncogenic","MSigDB_C6",-0.208828024572182,1.35212116587061e-06,22,1,0.681818181818182
"SH2D4A","C6_oncogenic","MSigDB_C6",-0.206291117604843,1.36633896148627e-06,22,1,0.727272727272727
"SERPINB7","C6_oncogenic","MSigDB_C6",-0.969681576135261,1.37290284840027e-06,13,1,0.846153846153846
"FLNA","C6_oncogenic","MSigDB_C6",-0.268938081014556,1.49845384781096e-06,23,1,0.739130434782609
"IFIT5","C6_oncogenic","MSigDB_C6",-0.434334517285673,1.5038868571542e-06,10,1,0.8
"STOM","C6_oncogenic","MSigDB_C6",-0.271705413747765,1.59716292144286e-06,23,1,0.652173913043478
"EPB41","C6_oncogenic","MSigDB_C6",0.268319683402154,1.6767368596826e-06,23,1,0.652173913043478
"GPC6","C6_oncogenic","MSigDB_C6",-0.195397107577285,1.73661871024938e-06,21,1,0.571428571428571
"UMPS","C6_oncogenic","MSigDB_C6",-0.226842568047376,1.78482722741504e-06,23,1,0.782608695652174
"EREG","C6_oncogenic","MSigDB_C6",-0.640322966982975,1.79944306685714e-06,13,1,0.692307692307692
"GNG11","C6_oncogenic","MSigDB_C6",-0.226076878222493,1.82332742240489e-06,22,1,0.818181818181818
"OASL","C6_oncogenic","MSigDB_C6",-2.0749711980367,1.82332742240489e-06,7,1,0.857142857142857
"CAV1","C6_oncogenic","MSigDB_C6",-0.298605133308491,1.89858500522377e-06,23,1,0.652173913043478
"SLC20A1","C6_oncogenic","MSigDB_C6",-0.212376203994392,1.89858500522377e-06,23,1,0.652173913043478
"RAB3IL1","C6_oncogenic","MSigDB_C6",-0.233132540523826,1.96628349703651e-06,23,1,0.652173913043478
"ANGPTL1","C6_oncogenic","MSigDB_C6",-0.608907860905384,2.09361741228424e-06,16,1,0.875
"SDSL","C6_oncogenic","MSigDB_C6",-0.373296658142389,2.19800968408105e-06,22,1,0.5
"CIRBP","C6_oncogenic","MSigDB_C6",0.177665879622174,2.3509398944915e-06,23,1,0.565217391304348
"VWA3B","C6_oncogenic","MSigDB_C6",0.542112813873486,2.38834268305504e-06,14,1,0.714285714285714
"FMOD","C6_oncogenic","MSigDB_C6",-0.393640308479488,2.40905798329103e-06,21,1,0.714285714285714
"FOXD1","C6_oncogenic","MSigDB_C6",-0.33551452846622,2.42023883198719e-06,13,1,0.615384615384615
"FGL2","C6_oncogenic","MSigDB_C6",-0.343766110758196,2.60602540399255e-06,21,1,0.714285714285714
"CHST11","C6_oncogenic","MSigDB_C6",-0.271742245490677,2.73893363605499e-06,23,1,0.652173913043478
"FDXR","C6_oncogenic","MSigDB_C6",-0.245323874299751,2.74837751562113e-06,23,1,0.652173913043478
"OXCT1","C6_oncogenic","MSigDB_C6",-0.122265511993408,2.754043527234e-06,23,1,0.521739130434783
"PLCH1","C6_oncogenic","MSigDB_C6",0.472235733115365,3.01152947538751e-06,14,1,0.785714285714286
"CPT1A","C6_oncogenic","MSigDB_C6",-0.184721700177346,3.0316892755085e-06,23,1,0.826086956521739
"HSD11B1","C6_oncogenic","MSigDB_C6",-0.380446498840025,3.23984573312001e-06,19,1,0.631578947368421
"ARL4D","C6_oncogenic","MSigDB_C6",-0.277762119244003,3.42759017173421e-06,23,1,0.739130434782609
"CES1","C6_oncogenic","MSigDB_C6",-1.69538288764403,3.60543545266662e-06,8,1,0.875
"IL1R1","C6_oncogenic","MSigDB_C6",-0.334853715175528,3.62917306293853e-06,22,1,0.590909090909091
"OFD1","C6_oncogenic","MSigDB_C6",0.140122261929282,3.7212276216853e-06,23,1,0.695652173913043
"THY1","C6_oncogenic","MSigDB_C6",-0.376860414537002,3.79701899332931e-06,22,1,0.727272727272727
"ITPRIP","C6_oncogenic","MSigDB_C6",-0.291466390097452,4.050223249867e-06,23,1,0.695652173913043
"PCOLCE","C6_oncogenic","MSigDB_C6",-0.2140424140812,4.22803325087713e-06,23,1,0.478260869565217
"COLEC12","C6_oncogenic","MSigDB_C6",-0.157843238546483,4.29868724403998e-06,22,1,0.636363636363636
"AKR1C1","C6_oncogenic","MSigDB_C6",-0.396644897073991,4.68756702924428e-06,10,1,0.7
"DRD4","C6_oncogenic","MSigDB_C6",0.551976080315497,4.68756702924428e-06,10,1,0.7
"PSG2","C6_oncogenic","MSigDB_C6",1.67176581798861,4.68756702924428e-06,2,1,1
"S100A10","C6_oncogenic","MSigDB_C6",-0.209093121635547,5.26330131014842e-06,23,1,0.608695652173913
"SPRR2A","C6_oncogenic","MSigDB_C6",-6.1663389795647,5.37834921969279e-06,1,1,NA
"CEND1","C6_oncogenic","MSigDB_C6",-0.722774757606924,5.92934088822651e-06,16,1,0.625
"CAVIN1","C6_oncogenic","MSigDB_C6",-0.125808817495666,6.05551403067653e-06,23,1,0.608695652173913
"CCIN","C6_oncogenic","MSigDB_C6",-0.853830892298811,6.05551403067653e-06,8,1,0.75
"LHFPL2","C6_oncogenic","MSigDB_C6",-0.273745118212082,6.05551403067653e-06,23,1,0.608695652173913
"BTN3A2","C6_oncogenic","MSigDB_C6",-0.493071023760892,6.230624236329e-06,10,1,0.7
"PHLDA1","C6_oncogenic","MSigDB_C6",-0.161630723015157,6.48911555090547e-06,23,1,0.652173913043478
"TRIM58","C6_oncogenic","MSigDB_C6",-0.21116211952819,6.55979504666403e-06,10,1,0.6
"NR1D1","C6_oncogenic","MSigDB_C6",-0.381497231740273,6.70012990155877e-06,23,1,0.608695652173913
"HSPA5","C6_oncogenic","MSigDB_C6",-0.193577240030523,6.84833151049993e-06,23,1,0.652173913043478
"TNFAIP6","C6_oncogenic","MSigDB_C6",-0.341336841207816,7.28729509883523e-06,15,1,0.6
"NRP2","C6_oncogenic","MSigDB_C6",-0.247801172366132,7.30551453720386e-06,23,1,0.608695652173913
"CXCL1","SASP","Curated",-0.767290857319951,7.5855655096953e-06,18,1,0.611111111111111
"CAMLG","C6_oncogenic","MSigDB_C6",0.285201449175167,7.83392028629062e-06,10,1,0.5
"IFI16","C6_oncogenic","MSigDB_C6",-0.42944706943157,7.85483712661626e-06,10,1,0.9
"SERPINB8","C6_oncogenic","MSigDB_C6",-0.298352208042294,8.24094684382166e-06,23,1,0.782608695652174
"COL4A3","C6_oncogenic","MSigDB_C6",0.450266982486278,8.35161578067403e-06,19,1,0.736842105263158
"CXCL8","SASP","Curated",-1.39835323313679,8.47132268688038e-06,9,1,0.666666666666667
"DNAJC15","C6_oncogenic","MSigDB_C6",-0.078446948379302,8.47132268688038e-06,23,1,0.608695652173913
"AMN","C6_oncogenic","MSigDB_C6",0.592216847629233,8.92782124945288e-06,10,1,0.7
"SDF2L1","C6_oncogenic","MSigDB_C6",-0.251518670162979,9.27919509479928e-06,23,1,0.739130434782609
"LYNX1","C6_oncogenic","MSigDB_C6",-0.284329489593313,9.54282157600555e-06,23,1,0.565217391304348
"PCDH12","C6_oncogenic","MSigDB_C6",-0.537171558577537,9.56888766148079e-06,19,1,0.684210526315789
"CD24","C6_oncogenic","MSigDB_C6",-0.228012061601291,9.6170222841614e-06,9,1,0.666666666666667
"FDFT1","C6_oncogenic","MSigDB_C6",0.0965830107445246,9.7746400294968e-06,23,1,0.652173913043478
"METRNL","C6_oncogenic","MSigDB_C6",-0.225360963345683,1.09930744710461e-05,23,1,0.608695652173913
"TAGLN2","C6_oncogenic","MSigDB_C6",-0.269219104298796,1.12401132626911e-05,23,1,0.652173913043478
"TOMM40L","C6_oncogenic","MSigDB_C6",-0.236178034097254,1.12401132626911e-05,23,1,0.695652173913043
"TPTEP1","C6_oncogenic","MSigDB_C6",-0.794333554321178,1.27942449053136e-05,8,1,0.625
"AXL","oncogene","Curated",-0.258011393103572,1.33121957721234e-05,23,1,0.782608695652174
"NDN","C6_oncogenic","MSigDB_C6",-0.285645531222694,1.344557215755e-05,23,1,0.565217391304348
"EDIL3","C6_oncogenic","MSigDB_C6",0.276958987481714,1.37073733937488e-05,17,1,0.764705882352941
"C11orf96","C6_oncogenic","MSigDB_C6",-0.451971967551378,1.37522508937995e-05,10,1,0.6
"CTDSP1","C6_oncogenic","MSigDB_C6",-0.141345525541305,1.44425357078793e-05,23,1,0.608695652173913
"STEAP1B","C6_oncogenic","MSigDB_C6",-0.437951103488342,1.54444951841801e-05,8,1,0.625
"CAMK1","C6_oncogenic","MSigDB_C6",-0.179953913325801,1.54720436810058e-05,23,1,0.782608695652174
"CST1","C6_oncogenic","MSigDB_C6",0.69931942568549,1.61580460352571e-05,3,1,0.666666666666667
"HOXB5","C6_oncogenic","MSigDB_C6",-0.421210861784688,1.65216263543068e-05,14,1,0.642857142857143
"SAMD1","C6_oncogenic","MSigDB_C6",-0.184263208773472,1.65216263543068e-05,23,1,0.695652173913043
"IRX3","C6_oncogenic","MSigDB_C6",-0.155561221503412,1.74308291541523e-05,20,1,0.6
"SEMA6B","C6_oncogenic","MSigDB_C6",0.264415628062847,1.7963625225751e-05,22,1,0.636363636363636
"DUSP6","C6_oncogenic","MSigDB_C6",-0.212833395476886,1.83928551656801e-05,23,1,0.782608695652174
"HMOX1","C6_oncogenic","MSigDB_C6",-0.363131227898476,1.83928551656801e-05,23,1,0.608695652173913
"TIGD6","C6_oncogenic","MSigDB_C6",-0.436645161643201,1.89425238013191e-05,10,1,0.9
"GOLGA8B","C6_oncogenic","MSigDB_C6",0.281289052044413,1.91079509005802e-05,10,1,0.4
"FAM153A","C6_oncogenic","MSigDB_C6",1.51209783104416,1.96726541458386e-05,5,1,0.8
"FICD","C6_oncogenic","MSigDB_C6",-0.233806601686031,2.07426277764609e-05,23,1,0.652173913043478
"KCNE3","C6_oncogenic","MSigDB_C6",-0.867621947843702,2.14868705326696e-05,17,1,0.882352941176471
"SUSD5","C6_oncogenic","MSigDB_C6",-0.528742217694744,2.22027631974047e-05,17,1,0.705882352941177
"IL21R","C6_oncogenic","MSigDB_C6",-0.557098895063596,2.25552123100537e-05,20,1,0.7
"RAB27B","C6_oncogenic","MSigDB_C6",-0.275175571131744,2.29743912534703e-05,23,1,0.565217391304348
"GPNMB","C6_oncogenic","MSigDB_C6",-0.310474499649407,2.41913283614721e-05,21,1,0.476190476190476
"KLF6","C6_oncogenic","MSigDB_C6",-0.182494262866505,2.53382546218831e-05,23,1,0.695652173913043
"C3orf70","C6_oncogenic","MSigDB_C6",-0.956631186182067,2.66864581228235e-05,10,1,0.9
"TLR4","C6_oncogenic","MSigDB_C6",-0.357289425309099,2.75825879962101e-05,21,1,0.619047619047619
"TMEM250","C6_oncogenic","MSigDB_C6",-0.153373016477774,2.75825879962101e-05,23,1,0.652173913043478
"IER5","C6_oncogenic","MSigDB_C6",-0.235947916212965,2.85141132786081e-05,23,1,0.652173913043478
"ISLR","C6_oncogenic","MSigDB_C6",-0.236599207472335,3.04677326598271e-05,21,1,0.619047619047619
"CLIP4","C6_oncogenic","MSigDB_C6",0.195001762787095,3.11379573439122e-05,22,1,0.772727272727273
"TM4SF1","C6_oncogenic","MSigDB_C6",-0.497889228244911,3.15295532934252e-05,23,1,0.695652173913043
"OAF","C6_oncogenic","MSigDB_C6",-0.305968244333866,3.16160141960217e-05,23,1,0.695652173913043
"JDP2","C6_oncogenic","MSigDB_C6",-0.212379443693536,3.28566818776663e-05,23,1,0.652173913043478
"IFIT3","C6_oncogenic","MSigDB_C6",-0.582019071951074,3.30403588685686e-05,23,1,0.652173913043478
"NDUFC2","C6_oncogenic","MSigDB_C6",-0.0944915347288939,3.32151260035209e-05,23,1,0.652173913043478
"SAA1","C6_oncogenic","MSigDB_C6",-1.14549183150266,3.36922590171457e-05,14,1,0.571428571428571
"WWC1","C6_oncogenic","MSigDB_C6",-0.358060003064122,3.37972788888991e-05,21,1,0.523809523809524
"TGIF1","C6_oncogenic","MSigDB_C6",-0.185499838651357,3.38623833792298e-05,23,1,0.695652173913043
"ARL4C","C6_oncogenic","MSigDB_C6",-0.205604918749767,3.5914926656165e-05,23,1,0.652173913043478
"CAMK1G","C6_oncogenic","MSigDB_C6",-0.536944912102743,3.59625032165351e-05,12,1,0.5
"TRIM47","C6_oncogenic","MSigDB_C6",-0.245463039046729,3.8622770357775e-05,23,1,0.695652173913043
"MCL1","oncogene","Curated",-0.102667497639485,3.95888159376293e-05,23,1,0.782608695652174
"AKR1B1","C6_oncogenic","MSigDB_C6",-0.112495082225969,4.10322183838365e-05,23,1,0.608695652173913
"TWIST2","C6_oncogenic","MSigDB_C6",-0.406977274567407,4.10322183838365e-05,15,1,0.8
"GAS1","C6_oncogenic","MSigDB_C6",-0.281296100954039,4.19246863657906e-05,23,1,0.608695652173913
"IL33","SASP","Curated",-0.65294728416067,4.19524510894263e-05,20,1,0.75
"WT1-AS","C6_oncogenic","MSigDB_C6",-0.936697837062032,4.5375760546253e-05,3,1,0.666666666666667
"F3","C6_oncogenic","MSigDB_C6",-0.386244650496629,4.77542949724769e-05,23,1,0.826086956521739
"ORAI1","C6_oncogenic","MSigDB_C6",-0.160513341767239,4.8983092905717e-05,23,1,0.652173913043478
"GNG7","C6_oncogenic","MSigDB_C6",0.348072306532767,4.90151616026027e-05,20,1,0.65
"SRRM1","C6_oncogenic","MSigDB_C6",0.140171507205199,4.92169119365104e-05,23,1,0.652173913043478
"C16orf74","C6_oncogenic","MSigDB_C6",-0.489036453954789,5.23499769476764e-05,9,1,0.777777777777778
"ANXA1","C6_oncogenic","MSigDB_C6",-0.263992104238282,5.25378472929172e-05,23,1,0.652173913043478
"TMEM119","C6_oncogenic","MSigDB_C6",-0.508625587554898,5.55585170157937e-05,21,1,0.476190476190476
"FGD6","C6_oncogenic","MSigDB_C6",0.144298050774907,5.61324042534513e-05,23,1,0.478260869565217
"RASGRP1","C6_oncogenic","MSigDB_C6",-0.31657242326821,5.63702209425332e-05,21,1,0.666666666666667
"APOL3","C6_oncogenic","MSigDB_C6",-0.610992162029962,5.81422549519544e-05,8,1,1
"BAALC","C6_oncogenic","MSigDB_C6",-0.699025468406054,5.81422549519544e-05,15,1,0.533333333333333
"MAPK8IP3","C6_oncogenic","MSigDB_C6",0.151351755887172,5.81422549519544e-05,23,1,0.652173913043478
"PLEKHA1","C6_oncogenic","MSigDB_C6",0.170798586506249,5.97009140474183e-05,23,1,0.652173913043478
"PLEKHF1","C6_oncogenic","MSigDB_C6",-0.182741409958749,6.49738246503984e-05,23,1,0.652173913043478
"WDFY2","C6_oncogenic","MSigDB_C6",-0.163428943746632,6.65364101660229e-05,23,1,0.869565217391304
"CCN4","C6_oncogenic","MSigDB_C6",-0.613488083637488,6.84917806232918e-05,19,1,0.526315789473684
"THAP1","C6_oncogenic","MSigDB_C6",-0.126234679475254,6.84917806232918e-05,23,1,0.695652173913043
"MFAP5","C6_oncogenic","MSigDB_C6",-0.312316581536021,7.86726637971403e-05,17,1,0.647058823529412
"NOXO1","C6_oncogenic","MSigDB_C6",0.399599325435114,8.03058857337052e-05,15,1,0.733333333333333
"IL37","C6_oncogenic","MSigDB_C6",2.0026633555505,8.10838579238476e-05,2,1,0.5
"IGF2BP1","KEGG_oncogenesis","KEGG",0.272804687845667,8.25388063401706e-05,15,1,0.733333333333333
"SNAI1","C6_oncogenic","MSigDB_C6",0.188151870377714,8.41537426118669e-05,20,1,0.55
"BCL2","oncogene","Curated",-0.361668115803016,8.46289343372539e-05,23,1,0.652173913043478
"SRRM2","C6_oncogenic","MSigDB_C6",0.11497210041934,8.6693007026415e-05,23,1,0.695652173913043
"DYNLL1","C6_oncogenic","MSigDB_C6",-0.156008342714145,9.22920165611923e-05,23,1,0.695652173913043
"RHOU","C6_oncogenic","MSigDB_C6",-0.323579131808118,9.32232213367486e-05,22,1,0.590909090909091
"DMRT1","C6_oncogenic","MSigDB_C6",2.82607186116866,9.42493227090603e-05,2,1,1
"SMAD6","C6_oncogenic","MSigDB_C6",-0.162880510856919,9.42716320314458e-05,23,1,0.521739130434783
"TMEM218","C6_oncogenic","MSigDB_C6",-0.144125253641479,9.65138909938448e-05,23,1,0.739130434782609
"GRM1","C6_oncogenic","MSigDB_C6",0.250289568959682,0.000108080507123981,12,1,0.75
"FLCN","C6_oncogenic","MSigDB_C6",-0.122153366871617,0.000109956000661617,23,1,0.739130434782609
"LY6E","C6_oncogenic","MSigDB_C6",-0.346467909021752,0.000110354275715277,23,1,0.565217391304348
"ZNF780B","C6_oncogenic","MSigDB_C6",-0.321634156265639,0.000116491233828879,10,1,0.6
"PDE2A","C6_oncogenic","MSigDB_C6",0.156110727615883,0.000116831240512307,21,1,0.523809523809524
"KIAA1549L","C6_oncogenic","MSigDB_C6",-0.352016136231805,0.00011909568912058,10,1,0.7
"CLMN","C6_oncogenic","MSigDB_C6",0.256149201615113,0.000120390107167691,22,1,0.590909090909091
"PCOTH","C6_oncogenic","MSigDB_C6",-1.09599181023749,0.000122479193773321,6,1,0.666666666666667
"IL6","SASP","Curated",-0.619921948030753,0.000125469730052093,9,1,0.666666666666667
"TMSB4X","C6_oncogenic","MSigDB_C6",-0.271313508535694,0.000125802622063267,23,1,0.782608695652174
"PANX2","C6_oncogenic","MSigDB_C6",-0.04439454486344,0.000127522575114253,14,1,0.642857142857143
"ANXA2","C6_oncogenic","MSigDB_C6",-0.177892023504331,0.000128931562048806,23,1,0.695652173913043
"CCND1","oncogene","Curated",-0.325541336400702,0.000129394436277088,23,1,0.739130434782609
"RAB26","C6_oncogenic","MSigDB_C6",0.424732109296489,0.000131602904491248,18,1,0.777777777777778
"EPHB6","C6_oncogenic","MSigDB_C6",-0.60676528523804,0.000132193958271591,22,1,0.727272727272727
"SEPHS2","C6_oncogenic","MSigDB_C6",-0.139422732442204,0.000134545207468861,23,1,0.652173913043478
"ADGRA2","C6_oncogenic","MSigDB_C6",-0.261975116367477,0.000135946329247829,23,1,0.782608695652174
"RCN1","C6_oncogenic","MSigDB_C6",-0.176079316361501,0.000137114237706805,23,1,0.652173913043478
"SRGAP2C","C6_oncogenic","MSigDB_C6",-0.240920088366975,0.000137114237706805,9,1,0.777777777777778
"PLAU","SASP","Curated",-0.231311708885285,0.000140190007978284,23,1,0.695652173913043
"LAMA1","C6_oncogenic","MSigDB_C6",-0.343769774110102,0.000140392781646012,21,1,0.666666666666667
"KLF4","C6_oncogenic","MSigDB_C6",-0.244273301923779,0.000142599897586663,23,1,0.608695652173913
"PROCR","C6_oncogenic","MSigDB_C6",-0.40861142152239,0.000143619988019251,23,1,0.695652173913043
"POU2F1","C6_oncogenic","MSigDB_C6",0.134843934755272,0.000145534922500286,23,1,0.608695652173913
"MRPL18","C6_oncogenic","MSigDB_C6",-0.0793367022005354,0.000147332188314107,23,1,0.695652173913043
"PITPNC1","C6_oncogenic","MSigDB_C6",-0.218383698443637,0.00014871357459471,23,1,0.739130434782609
