"gene","class","source","mean_lfc","padj","n_studies","n_species","direction_concordance"
"SERPINB2","C6_oncogenic","MSigDB_C6",-1.34646854263171,5.13465001040257e-55,11,1,0.818181818181818
"MMP3","SASP","Curated",-1.84182173863,9.59141308249141e-34,11,1,0.727272727272727
"CXCL5","C6_oncogenic","MSigDB_C6",-1.70975442362581,1.2024158641322e-28,10,1,0.9
"STATH","C6_oncogenic","MSigDB_C6",-5.3760948969393,1.18344509723362e-17,1,1,NA
"HAS1","C6_oncogenic","MSigDB_C6",-1.50738812218292,1.46901498664337e-17,12,1,0.75
"DCN","C6_oncogenic","MSigDB_C6",-0.635070689422063,3.19723170687772e-16,21,1,0.714285714285714
"EPB41L4A-AS1","C6_oncogenic","MSigDB_C6",0.503618182837732,2.05809888306094e-15,10,1,0.7
"BEX1","C6_oncogenic","MSigDB_C6",-0.68964442346261,3.00035310263593e-15,15,1,0.666666666666667
"EFEMP1","C6_oncogenic","MSigDB_C6",-0.677367670898311,5.48784563662266e-15,22,1,0.727272727272727
"DPP4","C6_oncogenic","MSigDB_C6",-0.760316025606566,7.79097788654196e-15,23,1,0.652173913043478
"CLDN11","C6_oncogenic","MSigDB_C6",-0.640672977153887,1.44490942064283e-14,13,1,0.692307692307692
"PI3","C6_oncogenic","MSigDB_C6",-1.59097722930345,1.24734223636811e-13,3,1,1
"C1R","C6_oncogenic","MSigDB_C6",-0.993003831983938,1.5908630063087e-13,10,1,0.6
"CSF3","C6_oncogenic","MSigDB_C6",-2.2849449707741,2.94555936024175e-13,4,1,1
"SECTM1","C6_oncogenic","MSigDB_C6",-1.35207360550999,1.49997265274072e-12,9,1,1
"KLF2","C6_oncogenic","MSigDB_C6",-0.339898984658889,7.65820452320896e-12,23,1,0.782608695652174
"MRGPRF","C6_oncogenic","MSigDB_C6",-0.46953623404297,2.77806249157585e-11,18,1,0.666666666666667
"GCNT3","C6_oncogenic","MSigDB_C6",-1.55336789013441,4.03780601328117e-11,8,1,0.75
"SCD","C6_oncogenic","MSigDB_C6",0.361532973817641,4.27368452496009e-11,10,1,0.6
"TP53I11","C6_oncogenic","MSigDB_C6",-0.529355989016707,4.50562038173169e-11,10,1,0.6
"RHOB","C6_oncogenic","MSigDB_C6",-0.304237318019392,5.79297942597475e-11,23,1,0.652173913043478
"FAS","C6_oncogenic","MSigDB_C6",-0.244852403347691,1.37331266220692e-10,23,1,0.695652173913043
"ERAP2","C6_oncogenic","MSigDB_C6",-0.877158237866235,3.50143649840537e-10,10,1,0.7
"H3-3B","KEGG_oncogenesis","KEGG",-0.347405522724621,3.84573121419752e-10,10,1,0.7
"TP53I3","C6_oncogenic","MSigDB_C6",-0.61245657530668,4.74887840190991e-10,10,1,0.7
"CXCL6","C6_oncogenic","MSigDB_C6",-2.39819555285176,6.42873822633876e-10,5,1,0.8
"NPTX2","C6_oncogenic","MSigDB_C6",-1.22840228855712,9.00507439670111e-10,13,1,0.692307692307692
"ENPP2","C6_oncogenic","MSigDB_C6",-0.514758800998253,9.3196440548004e-10,23,1,0.652173913043478
"MGST1","C6_oncogenic","MSigDB_C6",-0.288675139686294,1.65602349037558e-09,23,1,0.652173913043478
"GFPT2","C6_oncogenic","MSigDB_C6",-0.394272773248514,1.9275137100854e-09,23,1,0.608695652173913
"CSTA","C6_oncogenic","MSigDB_C6",-0.865089595063885,3.01335964698786e-09,5,1,0.8
"IGFBP6","C6_oncogenic","MSigDB_C6",-0.600812959461633,3.24865667962377e-09,23,1,0.739130434782609
"SLCO4A1","C6_oncogenic","MSigDB_C6",0.42224756041468,4.66432458665024e-09,19,1,0.526315789473684
"ZNF281","C6_oncogenic","MSigDB_C6",-0.310115604534641,4.90984879596178e-09,10,1,0.7
"CA12","C6_oncogenic","MSigDB_C6",-0.937532639005412,8.14828284072888e-09,9,1,0.666666666666667
"MVK","C6_oncogenic","MSigDB_C6",0.158957689968559,1.11668693065895e-08,23,1,0.652173913043478
"SOAT1","C6_oncogenic","MSigDB_C6",-0.343067721690864,1.46928204489125e-08,23,1,0.782608695652174
"BTG2","C6_oncogenic","MSigDB_C6",-0.25097237467609,1.95599264166479e-08,23,1,0.608695652173913
"LCE3D","C6_oncogenic","MSigDB_C6",-4.36230658956019,2.33535249410078e-08,3,1,0.666666666666667
"KITLG","C6_oncogenic","MSigDB_C6",-0.52130830302767,2.62369315652102e-08,10,1,0.9
"IL13RA2","C6_oncogenic","MSigDB_C6",-0.878557746724154,4.32196896667462e-08,16,1,0.8125
"GLIPR1","C6_oncogenic","MSigDB_C6",-0.375525413740221,4.91840244423864e-08,22,1,0.590909090909091
"CXCL2","SASP","Curated",-0.782483283884807,6.00517350764671e-08,13,1,0.615384615384615
"PLAC9","C6_oncogenic","MSigDB_C6",-0.256784810639467,7.40077874779448e-08,21,1,0.666666666666667
"APOA4","C6_oncogenic","MSigDB_C6",1.27449225883082,9.82912940950542e-08,10,1,0.8
"BDKRB1","C6_oncogenic","MSigDB_C6",-0.937846287298341,1.06548128783603e-07,9,1,0.777777777777778
"SCARA5","C6_oncogenic","MSigDB_C6",-0.473168065284801,1.11194809633209e-07,17,1,0.764705882352941
"CTSC","C6_oncogenic","MSigDB_C6",-0.300868898754259,1.15727561448208e-07,23,1,0.739130434782609
"SLC1A3","C6_oncogenic","MSigDB_C6",-0.631116052991999,1.15727561448208e-07,23,1,0.695652173913043
"JPT1","C6_oncogenic","MSigDB_C6",-0.198262035077376,1.17496742829482e-07,23,1,0.869565217391304
"CXCL3","C6_oncogenic","MSigDB_C6",-1.51865915325156,1.19944995953316e-07,9,1,0.888888888888889
"MAN1A1","C6_oncogenic","MSigDB_C6",-0.526150605491532,1.19944995953316e-07,10,1,0.6
"VAMP5","C6_oncogenic","MSigDB_C6",-0.266824079269793,1.19944995953316e-07,23,1,0.782608695652174
"CEP15","C6_oncogenic","MSigDB_C6",-0.199064708954537,1.33046903623191e-07,23,1,0.739130434782609
"ZNF550","C6_oncogenic","MSigDB_C6",0.299192881875779,2.21317291001381e-07,10,1,0.6
"ABCB8","C6_oncogenic","MSigDB_C6",-0.19156776985935,2.54967437861148e-07,23,1,0.608695652173913
"CAVIN2","C6_oncogenic","MSigDB_C6",-0.393380232166145,2.54967437861148e-07,21,1,0.619047619047619
"BAMBI","C6_oncogenic","MSigDB_C6",-0.357863961329643,2.78628411979394e-07,23,1,0.739130434782609
"KRT38","C6_oncogenic","MSigDB_C6",2.54997600691601,2.99814621227545e-07,2,1,1
"CD83","C6_oncogenic","MSigDB_C6",-0.47190653924619,3.45958944635332e-07,23,1,0.739130434782609
"GASK1B","C6_oncogenic","MSigDB_C6",-0.434942471705909,3.64253291842978e-07,23,1,0.478260869565217
"OLFML3","C6_oncogenic","MSigDB_C6",-0.263230915429817,3.79147356557685e-07,23,1,0.391304347826087
"CCT6B","C6_oncogenic","MSigDB_C6",0.337078299484303,4.10370288541389e-07,20,1,0.75
"SEMA3A","C6_oncogenic","MSigDB_C6",-0.241822508664351,4.41002774117613e-07,23,1,0.565217391304348
"EMILIN2","C6_oncogenic","MSigDB_C6",-0.378733545303813,4.56299446469566e-07,23,1,0.652173913043478
"CD1D","C6_oncogenic","MSigDB_C6",-1.40954407741163,4.81967560770795e-07,6,1,0.666666666666667
"IL24","C6_oncogenic","MSigDB_C6",-1.97901601393825,4.99001444486198e-07,6,1,0.833333333333333
"ICAM5","C6_oncogenic","MSigDB_C6",0.352557314360322,5.59788696163568e-07,15,1,0.733333333333333
"DKK1","C6_oncogenic","MSigDB_C6",-0.71014177219963,6.62028486459351e-07,13,1,0.846153846153846
"TENT5A","C6_oncogenic","MSigDB_C6",-0.342831469815421,7.59710601387586e-07,23,1,0.565217391304348
"ACAA2","C6_oncogenic","MSigDB_C6",-0.113160860100301,7.86473242331365e-07,23,1,0.565217391304348
"BEST1","C6_oncogenic","MSigDB_C6",-0.591130951630161,8.85393867956684e-07,17,1,0.647058823529412
"FAT3","C6_oncogenic","MSigDB_C6",-0.479071898468894,9.43118934982365e-07,19,1,0.526315789473684
"HIF3A","C6_oncogenic","MSigDB_C6",0.338783024610527,9.43118934982365e-07,21,1,0.666666666666667
"FOLR3","C6_oncogenic","MSigDB_C6",-1.51500603448286,9.51480279814921e-07,6,1,0.5
"RHCE","C6_oncogenic","MSigDB_C6",0.84567483002759,9.70623513125552e-07,10,1,0.6
"GIPR","C6_oncogenic","MSigDB_C6",0.412167459602254,9.75709085819309e-07,14,1,0.785714285714286
"C1S","C6_oncogenic","MSigDB_C6",-0.655780606522866,1.06404205379444e-06,10,1,0.8
"EVI2B","C6_oncogenic","MSigDB_C6",-0.858551570767738,1.07652725956696e-06,9,1,0.555555555555556
"ADGRL4","C6_oncogenic","MSigDB_C6",-0.296781600983226,1.16408655851037e-06,21,1,0.571428571428571
"NR4A3","C6_oncogenic","MSigDB_C6",-0.407338233346273,1.16408655851037e-06,21,1,0.619047619047619
