"disease_name","disease_id","mean_score","max_score","n_genes","genes"
"neoplasm","MONDO_0005070",0.0807018560707616,0.18314675701232,79,"SERPINB2; MMP3; CXCL5; STATH; HAS1; DCN; EPB41L4A-AS1; BEX1; CLDN11; PI3; C1R; CSF3; SECTM1; KLF2; MRGPRF; GCNT3; SCD; TP53I11; RHOB; ERAP2; TP53I3; CXCL6; NPTX2; ENPP2; MGST1; GFPT2; CSTA; IGFBP6; SLCO4A1; ZNF281; CA12; SOAT1; BTG2; LCE3D; KITLG; IL13RA2; GLIPR1; CXCL2; PLAC9; BDKRB1; SCARA5; CTSC; SLC1A3; JPT1; CXCL3; MAN1A1; ABCB8; CAVIN2; BAMBI; KRT38; CD83; GASK1B; OLFML3; SEMA3A; EMILIN2; CD1D; IL24; ICAM5; DKK1; ACAA2; HIF3A; FOLR3; C1S; EVI2B; ADGRL4; SH2D4A; SERPINB7; IFIT5; STOM; GPC6; UMPS; EREG; GNG11; OASL; CAV1; SLC20A1; RAB3IL1; ANGPTL1; CIRBP"
"cancer","MONDO_0004992",0.0792563514277964,0.604667249927521,65,"SERPINB2; MMP3; CXCL5; STATH; HAS1; DCN; EPB41L4A-AS1; C1R; CSF3; SECTM1; KLF2; MRGPRF; GCNT3; SCD; TP53I11; ERAP2; H3-3B; TP53I3; NPTX2; ENPP2; IGFBP6; SLCO4A1; ZNF281; CA12; SOAT1; BTG2; LCE3D; KITLG; IL13RA2; CXCL2; APOA4; BDKRB1; SCARA5; CTSC; SLC1A3; JPT1; CXCL3; MAN1A1; CEP15; ABCB8; BAMBI; KRT38; CD83; GASK1B; OLFML3; SEMA3A; EMILIN2; IL24; DKK1; ACAA2; HIF3A; FOLR3; C1S; ADGRL4; SH2D4A; SERPINB7; IFIT5; STOM; EREG; GNG11; OASL; CAV1; RAB3IL1; ANGPTL1; CIRBP"
"hepatocellular carcinoma","MONDO_0007256",0.0880672859462148,0.305137458489215,58,"SERPINB2; CXCL5; STATH; DCN; BEX1; PI3; C1R; CSF3; SECTM1; KLF2; GCNT3; SCD; TP53I11; RHOB; FAS; H3-3B; TP53I3; CXCL6; ENPP2; MGST1; SLCO4A1; ZNF281; CA12; SOAT1; BTG2; IL13RA2; CXCL2; PLAC9; APOA4; SCARA5; CTSC; SLC1A3; JPT1; CXCL3; MAN1A1; VAMP5; ABCB8; CAVIN2; BAMBI; CD83; OLFML3; SEMA3A; CD1D; IL24; DKK1; ACAA2; C1S; ADGRL4; NR4A3; SH2D4A; IFIT5; EPB41; UMPS; EREG; OASL; CAV1; ANGPTL1; CIRBP"
"breast carcinoma","MONDO_0004989",0.0944462227201246,0.439368850577663,57,"SERPINB2; CXCL5; STATH; HAS1; DCN; EPB41L4A-AS1; CLDN11; PI3; CSF3; KLF2; MRGPRF; SCD; TP53I11; RHOB; FAS; H3-3B; TP53I3; ENPP2; IGFBP6; SLCO4A1; ZNF281; CA12; BTG2; LCE3D; IL13RA2; CXCL2; PLAC9; BDKRB1; JPT1; CXCL3; MAN1A1; VAMP5; CEP15; ABCB8; CAVIN2; KRT38; OLFML3; SEMA3A; EMILIN2; CD1D; IL24; DKK1; TENT5A; FOLR3; GIPR; EVI2B; NR4A3; FLNA; IFIT5; STOM; UMPS; EREG; GNG11; OASL; CAV1; SLC20A1; CIRBP"
"breast cancer","MONDO_0007254",0.0833986441615151,0.41451130659791,52,"SERPINB2; MMP3; CXCL5; STATH; HAS1; DCN; EPB41L4A-AS1; CLDN11; PI3; CSF3; KLF2; MRGPRF; SCD; TP53I11; RHOB; TP53I3; ENPP2; IGFBP6; SLCO4A1; ZNF281; CA12; SOAT1; BTG2; LCE3D; IL13RA2; CXCL2; PLAC9; BDKRB1; SCARA5; JPT1; CXCL3; MAN1A1; ABCB8; CAVIN2; OLFML3; SEMA3A; EMILIN2; CD1D; IL24; DKK1; TENT5A; GIPR; EVI2B; IFIT5; STOM; UMPS; EREG; GNG11; OASL; CAV1; SLC20A1; CIRBP"
"non-small cell lung carcinoma","MONDO_0005233",0.0815185370539903,0.302186918832742,48,"MMP3; CXCL5; STATH; HAS1; DCN; EPB41L4A-AS1; PI3; SECTM1; KLF2; GCNT3; TP53I11; RHOB; FAS; ERAP2; H3-3B; TP53I3; CXCL6; MGST1; GFPT2; SLCO4A1; ZNF281; LCE3D; CXCL2; PLAC9; SCARA5; CTSC; JPT1; CXCL3; CAVIN2; BAMBI; CD83; SEMA3A; EMILIN2; DKK1; ACAA2; FAT3; HIF3A; FOLR3; EVI2B; NR4A3; SERPINB7; STOM; EPB41; UMPS; EREG; GNG11; CAV1; CIRBP"
"Alzheimer disease","MONDO_0004975",0.119618654013676,0.483182901710836,43,"MMP3; STATH; HAS1; DCN; EPB41L4A-AS1; DPP4; PI3; SCD; NPTX2; CSTA; SLCO4A1; MVK; SOAT1; LCE3D; KITLG; CXCL2; APOA4; BDKRB1; JPT1; MAN1A1; CEP15; CD83; GASK1B; OLFML3; SEMA3A; IL24; ICAM5; DKK1; TENT5A; ACAA2; HIF3A; FOLR3; C1S; C12orf43; PDE7B; FLNA; IFIT5; STOM; UMPS; OASL; CAV1; SDSL; CIRBP"
"glioblastoma","MONDO_0018177",0.0632964585824405,0.300315137543609,42,"MMP3; CXCL5; STATH; HAS1; DCN; BEX1; PI3; C1R; CSF3; SECTM1; MRGPRF; SCD; TP53I11; RHOB; TP53I3; ENPP2; IGFBP6; SLCO4A1; SOAT1; KITLG; IL13RA2; GLIPR1; CXCL2; BDKRB1; JPT1; CEP15; ABCB8; OLFML3; SEMA3A; EMILIN2; CD1D; IL24; ICAM5; C1S; EVI2B; ADGRL4; SH2D4A; IFIT5; UMPS; EREG; GNG11; CIRBP"
"melanoma","MONDO_0005105",0.0919813557058806,0.415777336520289,40,"MMP3; CXCL5; HAS1; CLDN11; PI3; SECTM1; MRGPRF; GCNT3; SCD; TP53I11; RHOB; FAS; H3-3B; TP53I3; CXCL6; ENPP2; MGST1; SLCO4A1; CA12; BTG2; IL13RA2; GLIPR1; CXCL2; JPT1; CEP15; ABCB8; BAMBI; CD83; EMILIN2; IL24; FAT3; EVI2B; NR4A3; FLNA; IFIT5; GPC6; UMPS; CAV1; RAB3IL1; CIRBP"
"colorectal carcinoma","MONDO_0024331",0.073089197683183,0.210040462683006,40,"MMP3; CXCL5; STATH; DCN; CLDN11; CSF3; SECTM1; KLF2; MRGPRF; GCNT3; SCD; NPTX2; SLCO4A1; ZNF281; SOAT1; KITLG; IL13RA2; CXCL2; BDKRB1; SCARA5; SLC1A3; JPT1; CXCL3; BAMBI; GASK1B; OLFML3; EMILIN2; IL24; DKK1; ACAA2; C1S; EVI2B; ADGRL4; SH2D4A; IFIT5; UMPS; EREG; SLC20A1; RAB3IL1; ANGPTL1"
