"disease_name","disease_id","mean_score","max_score","n_genes","genes"
"gastric cancer","MONDO_0001056",0.0685205644433159,0.124977183468902,40,"CXCL5; HAS1; DCN; CLDN11; PI3; CSF3; SECTM1; KLF2; SCD; TP53I11; TP53I3; NPTX2; ENPP2; MGST1; GFPT2; IGFBP6; SLCO4A1; ZNF281; SOAT1; BTG2; IL13RA2; GLIPR1; CXCL2; SCARA5; SLC1A3; JPT1; CAVIN2; BAMBI; GASK1B; EMILIN2; DKK1; ADGRL4; SH2D4A; UMPS; GNG11; OASL; CAV1; RAB3IL1; ANGPTL1; SDSL"
"lung carcinoma","MONDO_0005138",0.0699882984904989,0.380485374733044,39,"CXCL5; EPB41L4A-AS1; C1R; KLF2; SCD; TP53I11; RHOB; FAS; H3-3B; TP53I3; CSTA; SLCO4A1; BTG2; IL13RA2; CXCL2; PLAC9; SCARA5; JPT1; CXCL3; CEP15; CAVIN2; BAMBI; GASK1B; OLFML3; CD1D; IL24; ICAM5; DKK1; ACAA2; C1S; EVI2B; NR4A3; SH2D4A; IFIT5; STOM; EREG; GNG11; OASL; CAV1"
"central nervous system cancer","MONDO_0002714",0.0654788360683248,0.116403781380732,38,"CXCL5; HAS1; DCN; BEX1; PI3; CSF3; SECTM1; KLF2; TP53I3; MGST1; IGFBP6; SLCO4A1; ZNF281; SOAT1; LCE3D; IL13RA2; GLIPR1; CXCL2; BDKRB1; CTSC; SLC1A3; VAMP5; ABCB8; CD83; OLFML3; EMILIN2; IL24; ICAM5; DKK1; ACAA2; C1S; ADGRL4; SH2D4A; IFIT5; EREG; OASL; CAV1; CIRBP"
"neurodegenerative disease","MONDO_0005559",0.347769923757439,0.562737926571296,35,"SERPINB2; STATH; HAS1; DPP4; SECTM1; KLF2; GCNT3; SCD; RHOB; FAS; CXCL6; NPTX2; ENPP2; ZNF281; MVK; SOAT1; CXCL2; SCARA5; SLC1A3; CXCL3; MAN1A1; ABCB8; CD83; OLFML3; CCT6B; IL24; FOLR3; RHCE; EVI2B; NR4A3; PDE7B; STOM; EPB41; CAV1; SLC20A1"
"glioma","MONDO_0021042",0.0828922579013712,0.61943636866571,35,"CXCL5; HAS1; DCN; BEX1; CSF3; SECTM1; KLF2; H3-3B; MGST1; IGFBP6; SLCO4A1; ZNF281; SOAT1; LCE3D; IL13RA2; GLIPR1; CXCL2; BDKRB1; CTSC; SLC1A3; VAMP5; ABCB8; CD83; OLFML3; EMILIN2; IL24; DKK1; ACAA2; C1S; ADGRL4; SH2D4A; IFIT5; EREG; OASL; CIRBP"
"ovarian carcinoma","MONDO_0005140",0.0529383939236543,0.104844062384859,32,"HAS1; EPB41L4A-AS1; PI3; MRGPRF; SCD; RHOB; TP53I3; ENPP2; GFPT2; IGFBP6; SLCO4A1; ZNF281; CXCL2; APOA4; BDKRB1; SLC1A3; JPT1; MAN1A1; VAMP5; BAMBI; CD83; GASK1B; EMILIN2; IL24; DKK1; TENT5A; ACAA2; FOLR3; C1S; C12orf43; GPC6; GNG11"
"infection","EFO_0000544",0.0448087944549909,0.10852676684864,32,"CXCL5; STATH; HAS1; EPB41L4A-AS1; BEX1; PI3; CSF3; ZNF281; SOAT1; IL13RA2; CXCL2; PLAC9; BDKRB1; CXCL3; MAN1A1; CEP15; CD83; GASK1B; OLFML3; CD1D; IL24; ICAM5; DKK1; ACAA2; FOLR3; IFIT5; STOM; UMPS; GNG11; OASL; SDSL; CIRBP"
"type 2 diabetes mellitus","MONDO_0005148",0.188594491430503,0.678713311441187,30,"STATH; DCN; DPP4; PI3; SECTM1; ERAP2; CSTA; IGFBP6; SLCO4A1; ZNF281; SOAT1; LCE3D; APOA4; JPT1; MAN1A1; CEP15; BAMBI; GASK1B; SEMA3A; EMILIN2; ICAM5; DKK1; FAT3; FOLR3; GIPR; EVI2B; C12orf43; GPC6; OASL; SDSL"
"prostate carcinoma","MONDO_0005159",0.10415754281556,0.349725651744106,30,"MMP3; CXCL5; CLDN11; SECTM1; RHOB; H3-3B; NPTX2; MVK; BTG2; LCE3D; KITLG; IL13RA2; GLIPR1; CXCL2; JPT1; CXCL3; MAN1A1; VAMP5; CEP15; OLFML3; IL24; DKK1; ACAA2; NR4A3; FLNA; IFIT5; STOM; EREG; CAV1; SLC20A1"
"lung cancer","MONDO_0008903",0.05075119300713,0.278133314497715,29,"MMP3; CXCL5; EPB41L4A-AS1; C1R; SCD; TP53I11; RHOB; TP53I3; CSTA; SLCO4A1; IL13RA2; PLAC9; SCARA5; JPT1; ABCB8; CAVIN2; KRT38; GASK1B; EMILIN2; CD1D; IL24; ICAM5; DKK1; ACAA2; IFIT5; STOM; EREG; GNG11; OASL"
"alcohol drinking","EFO_0004329",0.161341213742004,0.44313047633746,26,"GCNT3; NPTX2; ENPP2; MVK; PLAC9; CTSC; SLC1A3; CAVIN2; BAMBI; GASK1B; OLFML3; CCT6B; SEMA3A; DKK1; TENT5A; ACAA2; RHCE; EVI2B; C12orf43; SH2D4A; STOM; EPB41; GPC6; GNG11; CAV1; SDSL"
"rheumatoid arthritis","MONDO_0008383",0.080522112166271,0.497935028107991,25,"SERPINB2; MMP3; CXCL5; STATH; HAS1; DPP4; SECTM1; KLF2; ERAP2; IGFBP6; LCE3D; CXCL2; BDKRB1; CEP15; CD83; OLFML3; SEMA3A; IL24; ICAM5; DKK1; FOLR3; C1S; STOM; OASL; CIRBP"
"ovarian cancer","MONDO_0008170",0.0574329988259769,0.103471295997281,25,"HAS1; PI3; SCD; RHOB; TP53I3; ENPP2; GFPT2; IGFBP6; SLCO4A1; ZNF281; CXCL2; APOA4; BDKRB1; SLC1A3; MAN1A1; CD83; GASK1B; EMILIN2; IL24; DKK1; TENT5A; ACAA2; FOLR3; GPC6; GNG11"
"Abnormality of the skeletal system","HP_0000924",0.267769173241838,0.538396435099276,24,"HAS1; DCN; EFEMP1; GCNT3; ERAP2; TP53I3; ENPP2; MVK; SOAT1; PLAC9; MAN1A1; CEP15; BAMBI; SEMA3A; TENT5A; RHCE; GIPR; EVI2B; ADGRL4; PDE7B; EPB41; GPC6; UMPS; GNG11"
"diabetes mellitus","MONDO_0005015",0.207311323720662,0.620981987161101,23,"CXCL5; STATH; DCN; DPP4; PI3; CSF3; SECTM1; NPTX2; IGFBP6; SLCO4A1; ZNF281; SOAT1; APOA4; BDKRB1; MAN1A1; CEP15; BAMBI; FAT3; GIPR; EVI2B; ADGRL4; C12orf43; OASL"
"COVID-19","MONDO_0100096",0.137381465749477,0.540921181759359,23,"MMP3; DCN; EPB41L4A-AS1; DPP4; CSF3; KLF2; ENPP2; SOAT1; BDKRB1; CTSC; VAMP5; SEMA3A; EMILIN2; IL24; ICAM5; FOLR3; C1S; PDE7B; IFIT5; GPC6; OASL; CAV1; CIRBP"
"coronary artery disorder","MONDO_0005010",0.210209670742539,0.543343983028959,22,"SERPINB2; MMP3; CXCL5; C1R; SECTM1; KLF2; SLCO4A1; MVK; APOA4; SCARA5; VAMP5; OLFML3; DKK1; TENT5A; ACAA2; FOLR3; C1S; C12orf43; PDE7B; IFIT5; STOM; UMPS"
"stroke disorder","MONDO_0005098",0.145601483195757,0.571554157219738,22,"MMP3; HAS1; DPP4; CSF3; MRGPRF; ERAP2; ENPP2; KITLG; CXCL2; PLAC9; BDKRB1; CTSC; CAVIN2; CD83; OLFML3; CCT6B; TENT5A; EVI2B; PDE7B; GPC6; OASL; RAB3IL1"
"acute myeloid leukemia","MONDO_0018874",0.0794496012758062,0.30219333756439,22,"STATH; BEX1; CSF3; SECTM1; SCD; FAS; ERAP2; TP53I3; NPTX2; BTG2; KITLG; CXCL2; ZNF550; BAMBI; CD83; GASK1B; EMILIN2; CD1D; EVI2B; NR4A3; IFIT5; RAB3IL1"
"prostate cancer","MONDO_0008315",0.0606222040229446,0.119749270874196,22,"MMP3; CXCL5; CLDN11; SECTM1; RHOB; NPTX2; LCE3D; IL13RA2; GLIPR1; CXCL2; JPT1; CXCL3; MAN1A1; CEP15; OLFML3; IL24; DKK1; ACAA2; IFIT5; STOM; EREG; CAV1"
"Sepsis","HP_0100806",0.0578912079789816,0.323382372849114,22,"CSF3; TP53I11; TP53I3; ENPP2; IGFBP6; CXCL2; APOA4; BDKRB1; CXCL3; ZNF550; ABCB8; CD83; SEMA3A; EMILIN2; ICAM5; FOLR3; C1S; PDE7B; IFIT5; STOM; RAB3IL1; CIRBP"
"colorectal cancer","MONDO_0005575",0.034303380025019,0.22332048349602,22,"EPB41L4A-AS1; PI3; SECTM1; KLF2; MRGPRF; TP53I3; SLCO4A1; ZNF281; IL13RA2; CXCL2; CXCL3; MAN1A1; CEP15; ZNF550; GASK1B; OLFML3; EMILIN2; ICAM5; DKK1; EVI2B; SH2D4A; UMPS"
"lung adenocarcinoma","MONDO_0005061",0.0796477425643911,0.281995582878806,21,"KLF2; GCNT3; FAS; H3-3B; TP53I3; MVK; BTG2; PLAC9; JPT1; CEP15; CAVIN2; GASK1B; OLFML3; ICAM5; ACAA2; FAT3; FOLR3; NR4A3; STOM; GNG11; SDSL"
"Familial prostate cancer","Orphanet_1331",0.0582713338055214,0.112938995338936,21,"MMP3; CXCL5; SECTM1; RHOB; NPTX2; LCE3D; IL13RA2; GLIPR1; CXCL2; JPT1; CXCL3; MAN1A1; CEP15; OLFML3; IL24; DKK1; ACAA2; IFIT5; STOM; EREG; CAV1"
"cervical carcinoma","MONDO_0005131",0.0754733252632083,0.246954432341451,20,"MMP3; STATH; MRGPRF; ERAP2; MGST1; ZNF281; GLIPR1; CXCL2; CTSC; CXCL3; MAN1A1; CAVIN2; ACAA2; FAT3; EVI2B; SERPINB7; UMPS; EREG; GNG11; RAB3IL1"
"systemic lupus erythematosus","MONDO_0007915",0.155849229181346,0.483610620388447,19,"MMP3; DCN; C1R; CSF3; KLF2; MRGPRF; ENPP2; SOAT1; CXCL2; CD83; CCT6B; SEMA3A; CD1D; IL24; ICAM5; DKK1; C1S; IFIT5; OASL"
"esophageal squamous cell carcinoma","MONDO_0005580",0.0811439891909681,0.28884518055829,19,"HAS1; PI3; C1R; SECTM1; SCD; FAS; TP53I3; CXCL6; CSTA; CA12; BTG2; CXCL2; SCARA5; CTSC; DKK1; ACAA2; C1S; SH2D4A; RAB3IL1"
"Crohn disease","MONDO_0005011",0.0694542111589672,0.353356032416452,19,"CXCL5; HAS1; PI3; SECTM1; MRGPRF; ERAP2; CXCL6; NPTX2; LCE3D; IL13RA2; APOA4; CXCL3; EMILIN2; ICAM5; FOLR3; GIPR; SERPINB7; OASL; SDSL"
"hereditary disease","MONDO_0003847",0.269289695041039,0.471016558020578,17,"DCN; FAS; H3-3B; CSTA; MVK; KITLG; CTSC; SLC1A3; SEMA3A; BEST1; C1S; SERPINB7; FLNA; EPB41; GPC6; UMPS; CAV1"
"head and neck squamous cell carcinoma","MONDO_0010150",0.0946590239964362,0.294007227308999,17,"STATH; MRGPRF; FAS; H3-3B; BTG2; LCE3D; JPT1; CXCL3; ABCB8; SEMA3A; IL24; DKK1; FAT3; SH2D4A; SERPINB7; EREG; SLC20A1"
"osteosarcoma","MONDO_0009807",0.0767371347621134,0.277739260795553,17,"MMP3; CXCL5; EPB41L4A-AS1; SCD; RHOB; H3-3B; TP53I3; NPTX2; IL13RA2; BAMBI; SEMA3A; IL24; FAT3; FOLR3; EVI2B; STOM; OASL"
"obesity disorder","MONDO_0011122",0.110334414881749,0.667661542398411,16,"DCN; CLDN11; MRGPRF; SCD; ERAP2; ENPP2; MVK; APOA4; BDKRB1; MAN1A1; BAMBI; HIF3A; GIPR; C12orf43; SERPINB7; STOM"
"preeclampsia","MONDO_0005081",0.0971342231718683,0.29913133392081,16,"SERPINB2; MMP3; DCN; MRGPRF; TP53I11; ERAP2; CXCL3; MAN1A1; CEP15; OLFML3; FAT3; C1S; EVI2B; SERPINB7; UMPS; EREG"
"atrial fibrillation","MONDO_0004981",0.191054249086898,0.543094932692817,15,"MMP3; CXCL5; EFEMP1; CXCL6; SLCO4A1; OLFML3; SEMA3A; EMILIN2; ICAM5; DKK1; FAT3; GIPR; EVI2B; CAV1; CIRBP"
"hypertensive disorder","MONDO_0005044",0.171111818658056,0.468602516571111,15,"EFEMP1; ERAP2; TP53I3; IGFBP6; ZNF281; CA12; MVK; BDKRB1; ABCB8; CD83; OLFML3; CD1D; ICAM5; HIF3A; RAB3IL1"
"asthma","MONDO_0004979",0.168513103422166,0.475845638857153,15,"SERPINB2; DPP4; PI3; CSF3; KLF2; CSTA; SLCO4A1; KITLG; PLAC9; CTSC; CEP15; CD83; IL24; SERPINB7; OASL"
"clear cell renal carcinoma","MONDO_0005005",0.118749729678234,0.347207013711303,15,"MRGPRF; FAS; H3-3B; NPTX2; BTG2; PLAC9; ABCB8; GASK1B; EMILIN2; IL24; FAT3; FOLR3; EVI2B; NR4A3; SH2D4A"
"Parkinson disease","MONDO_0005180",0.109525709777807,0.475633577653673,15,"MMP3; STATH; EPB41L4A-AS1; SCD; NPTX2; GFPT2; JPT1; MAN1A1; CEP15; KRT38; ACAA2; FOLR3; PDE7B; GNG11; SDSL"
"pancreatic neoplasm","MONDO_0021040",0.0713129599440137,0.122105194457676,15,"CXCL5; SCD; ERAP2; NPTX2; GFPT2; IGFBP6; SLCO4A1; ZNF281; BTG2; IL13RA2; HIF3A; SERPINB7; OASL; CAV1; CIRBP"
"ulcerative colitis","MONDO_0005101",0.0541371098369148,0.258705898279291,15,"CXCL5; PI3; TP53I11; CXCL6; SLCO4A1; LCE3D; CXCL2; CXCL3; ICAM5; ACAA2; GIPR; C1S; SERPINB7; STOM; CIRBP"
"myocardial infarction","MONDO_0005068",0.132065685847203,0.449060569694862,14,"DPP4; CSF3; IGFBP6; MVK; APOA4; BDKRB1; VAMP5; SEMA3A; TENT5A; FOLR3; C12orf43; PDE7B; UMPS; CIRBP"
"type 1 diabetes mellitus","MONDO_0005147",0.130008853625914,0.39969447552512,14,"MMP3; DPP4; ERAP2; IGFBP6; CA12; CTSC; MAN1A1; OLFML3; CD1D; ICAM5; GIPR; EVI2B; C12orf43; GPC6"
"chronic obstructive pulmonary disease","MONDO_0005002",0.115670197731337,0.337617213965306,14,"MMP3; DCN; CSF3; KLF2; CA12; CXCL2; BAMBI; CD83; ICAM5; HIF3A; FOLR3; IFIT5; CAV1; SDSL"
"familial pancreatic carcinoma","MONDO_0015278",0.075080853228438,0.12350219895732,14,"CXCL5; SCD; ERAP2; NPTX2; GFPT2; IGFBP6; ZNF281; BTG2; IL13RA2; HIF3A; SERPINB7; OASL; CAV1; CIRBP"
"nonpapillary renal cell carcinoma","MONDO_0007763",0.0651968944687131,0.185782624530567,14,"HAS1; KLF2; SCD; RHOB; NPTX2; IL13RA2; JPT1; ZNF550; ABCB8; EMILIN2; ACAA2; HIF3A; ADGRL4; C12orf43"
"posterior cortical atrophy","MONDO_0018899",0.0647461488107624,0.215794764818453,14,"CXCL5; SECTM1; KLF2; SOAT1; IL13RA2; BDKRB1; JPT1; MAN1A1; OLFML3; IL24; TENT5A; IFIT5; EREG; CAV1"
"colonic neoplasm","MONDO_0005401",0.0445365176089778,0.0898036497370807,14,"SECTM1; CXCL6; GFPT2; SLCO4A1; SOAT1; CXCL2; CXCL3; ZNF550; EMILIN2; IL24; HIF3A; SH2D4A; GNG11; CIRBP"
"heart failure","MONDO_0005252",0.149011901881063,0.430475190013891,13,"STATH; DPP4; ERAP2; CA12; VAMP5; GIPR; C12orf43; IFIT5; GPC6; UMPS; CAV1; SDSL; CIRBP"
"urinary bladder carcinoma","MONDO_0004986",0.116293182141022,0.296909333346702,13,"HAS1; DCN; EPB41L4A-AS1; CSF3; SCD; FAS; H3-3B; SOAT1; BTG2; KRT38; ICAM5; NR4A3; IFIT5"
"idiopathic pulmonary fibrosis","EFO_0000768",0.101343399519915,0.349554584006192,13,"DCN; C1R; CSF3; TP53I11; ENPP2; SLCO4A1; BDKRB1; CTSC; GASK1B; HIF3A; OASL; CAV1; CIRBP"
"psoriasis","MONDO_0005083",0.081182093230595,0.270160345259749,13,"PI3; ERAP2; CXCL6; LCE3D; CXCL2; JPT1; IL24; ICAM5; SERPINB7; STOM; EREG; OASL; CIRBP"
"Familial exudative vitreoretinopathy","Orphanet_891",0.0638452705257246,0.0922797643038247,13,"SERPINB2; BEX1; C1R; RHOB; GFPT2; CSTA; GLIPR1; CXCL2; SLC1A3; CXCL3; BEST1; ADGRL4; ANGPTL1"
"open-angle glaucoma","MONDO_0005338",0.246351250293861,0.616617404871464,12,"DCN; EFEMP1; TP53I11; ENPP2; APOA4; BAMBI; SEMA3A; ACAA2; BEST1; PDE7B; UMPS; CAV1"
"glaucoma","MONDO_0005041",0.237681886998915,0.606034242946727,12,"DCN; TP53I11; ENPP2; CA12; GLIPR1; OLFML3; SEMA3A; TENT5A; BEST1; PDE7B; UMPS; CAV1"
"colorectal adenocarcinoma","MONDO_0005008",0.149427975990667,0.375501782899402,12,"CXCL5; HAS1; FAS; H3-3B; NPTX2; SLCO4A1; BTG2; OLFML3; IL24; FAT3; NR4A3; EREG"
"retinitis pigmentosa","MONDO_0019200",0.148420808227757,0.658542701795352,12,"SERPINB2; BEX1; C1R; RHOB; GFPT2; CSTA; MVK; GLIPR1; SLC1A3; BEST1; ADGRL4; ANGPTL1"
"chronic kidney disease","MONDO_0005300",0.108246841018685,0.437999365160311,12,"MMP3; DPP4; SECTM1; IGFBP6; GASK1B; CD1D; DKK1; GIPR; PDE7B; SH2D4A; EREG; SLC20A1"
"tuberculosis","MONDO_0018076",0.0597183232456424,0.246954432341451,12,"CXCL5; SECTM1; ERAP2; SLCO4A1; CXCL2; VAMP5; FAT3; FOLR3; IFIT5; EREG; OASL; RAB3IL1"
"malignant colon neoplasm","MONDO_0021063",0.0475315253084339,0.0877914233660512,12,"CXCL6; GFPT2; SLCO4A1; SOAT1; CXCL2; ZNF550; EMILIN2; IL24; HIF3A; SH2D4A; GNG11; CIRBP"
"renal cell carcinoma","MONDO_0005086",0.044827040951374,0.0847379621984915,12,"CXCL5; HAS1; SECTM1; TP53I3; NPTX2; IL13RA2; JPT1; CXCL3; ABCB8; CAVIN2; ACAA2; CIRBP"
"cervical cancer","MONDO_0002974",0.0319519231210165,0.0845305153328079,12,"MMP3; STATH; MRGPRF; ERAP2; ZNF281; CXCL2; CXCL3; ZNF550; SERPINB7; EREG; GNG11; RAB3IL1"
"placental retention","EFO_0009578",0.158333437706003,0.390199372760014,11,"GCNT3; TP53I11; KITLG; CXCL2; APOA4; SCARA5; CTSC; FAT3; C1S; SH2D4A; SLC20A1"
"B-cell chronic lymphocytic leukemia","MONDO_0004948",0.134422713443897,0.44786825789709,11,"HAS1; FAS; TP53I3; ENPP2; BTG2; CEP15; GASK1B; CD1D; FAT3; FOLR3; NR4A3"
"Obesity","HP_0001513",0.10503253228912,0.601571049359614,11,"DCN; CLDN11; MRGPRF; SCD; ENPP2; APOA4; BDKRB1; BAMBI; HIF3A; GIPR; STOM"
"metabolic dysfunction-associated steatotic liver disease","MONDO_0013209",0.0851275253312662,0.305225427396976,11,"CXCL5; DPP4; TP53I3; CXCL6; ENPP2; APOA4; VAMP5; CD1D; ACAA2; GIPR; C12orf43"
"acute respiratory distress syndrome","MONDO_0006502",0.0812783880203201,0.278697283490331,11,"CXCL5; PI3; CSF3; KLF2; ENPP2; CXCL2; CTSC; CXCL3; OLFML3; C1S; CIRBP"
"systemic sclerosis","MONDO_0005100",0.0734103222148088,0.121107979065629,11,"PI3; CXCL6; ENPP2; IL13RA2; BDKRB1; SEMA3A; CD1D; EREG; OASL; CAV1; CIRBP"
"Leber congenital amaurosis","MONDO_0018998",0.0684005184077448,0.0921511832768529,11,"SERPINB2; BEX1; C1R; RHOB; GFPT2; CSTA; GLIPR1; SLC1A3; BEST1; ADGRL4; ANGPTL1"
"Miyoshi myopathy","MONDO_0009685",0.0683671543333,0.110330698196587,11,"HAS1; CLDN11; CSF3; KLF2; MRGPRF; GLIPR1; ABCB8; BAMBI; CD1D; DKK1; FOLR3"
"obesity due to melanocortin 4 receptor deficiency","MONDO_0019115",0.0564623695841761,0.107727262208575,11,"DCN; CLDN11; MRGPRF; SCD; ENPP2; APOA4; BDKRB1; BAMBI; HIF3A; SERPINB7; STOM"
"liver disorder","MONDO_0005154",0.159451323722211,0.295461392810028,10,"SCD; ENPP2; MVK; SCARA5; CTSC; CEP15; FAT3; ADGRL4; C12orf43; OASL"
"placental abruption","MONDO_0004846",0.14944322084047,0.299363626308751,10,"PI3; TP53I3; PLAC9; MAN1A1; CEP15; GIPR; ADGRL4; PDE7B; STOM; GPC6"
"glomerulonephritis","MONDO_0002462",0.12098681628206,0.259629847916003,10,"GFPT2; GLIPR1; MAN1A1; OLFML3; DKK1; PDE7B; SERPINB7; IFIT5; GPC6; UMPS"
"urolithiasis","MONDO_0024647",0.110323179134756,0.243369067071753,10,"STATH; NPTX2; CTSC; CAVIN2; GASK1B; TENT5A; ACAA2; EPB41; GPC6; GNG11"
