gene,class,source,mean_lfc,padj,n_studies,direction_concordance,signature,compound_label,compound_z,spaceflight_dir,compound_dir,reversed,reversed_z1.5,reversed_z2,reversed_z3,concordant_z1.5,reversal_score
MMP3,SASP,Curated,-1.84182173863,9.59141308249141e-34,11,0.727272727272727,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,1.8357674679164,down,up,TRUE,TRUE,FALSE,FALSE,FALSE,3.38115642947817
HAS1,C6_oncogenic,MSigDB_C6,-1.50738812218292,1.46901498664337e-17,12,0.75,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,3.28875324451991,down,up,TRUE,TRUE,TRUE,TRUE,FALSE,4.95742757757985
BEX1,C6_oncogenic,MSigDB_C6,-0.68964442346261,3.00035310263593e-15,15,0.666666666666667,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-1.82598009029449,down,down,FALSE,FALSE,FALSE,FALSE,TRUE,-1.25927698662535
EFEMP1,C6_oncogenic,MSigDB_C6,-0.677367670898311,5.48784563662266e-15,22,0.727272727272727,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.070853661417308,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.0479939796088594
DPP4,C6_oncogenic,MSigDB_C6,-0.760316025606566,7.79097788654196e-15,23,0.652173913043478,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.323657194914028,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.246081752096004
CLDN11,C6_oncogenic,MSigDB_C6,-0.640672977153887,1.44490942064283e-14,13,0.692307692307692,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,1.78680826807464,down,up,TRUE,TRUE,FALSE,FALSE,FALSE,1.14475977271056
PI3,C6_oncogenic,MSigDB_C6,-1.59097722930345,1.24734223636811e-13,3,1,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,1.60226413385775,down,up,TRUE,TRUE,FALSE,FALSE,FALSE,2.54916575229729
C1R,C6_oncogenic,MSigDB_C6,-0.993003831983938,1.5908630063087e-13,10,0.6,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.0059493627601212,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.00590774001866289
SECTM1,C6_oncogenic,MSigDB_C6,-1.35207360550999,1.49997265274072e-12,9,1,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-3.76467379584488,down,down,FALSE,FALSE,FALSE,FALSE,TRUE,-5.09011607271697
KLF2,C6_oncogenic,MSigDB_C6,-0.339898984658889,7.65820452320896e-12,23,0.782608695652174,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.160631021239565,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.0545983210240486
GCNT3,C6_oncogenic,MSigDB_C6,-1.55336789013441,4.03780601328117e-11,8,0.75,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,1.01426125427317,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,1.5755208645954
SCD,C6_oncogenic,MSigDB_C6,0.361532973817641,4.27368452496009e-11,10,0.6,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.467619112417271,up,down,TRUE,FALSE,FALSE,FALSE,FALSE,0.169059728326182
TP53I11,C6_oncogenic,MSigDB_C6,-0.529355989016707,4.50562038173169e-11,10,0.6,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.867934415476278,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.459446280906083
RHOB,C6_oncogenic,MSigDB_C6,-0.304237318019392,5.79297942597475e-11,23,0.652173913043478,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.269487339732459,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.081988105480384
FAS,C6_oncogenic,MSigDB_C6,-0.244852403347691,1.37331266220692e-10,23,0.695652173913043,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,2.47672921553954,down,up,TRUE,TRUE,TRUE,FALSE,FALSE,0.606433100866298
ERAP2,C6_oncogenic,MSigDB_C6,-0.877158237866235,3.50143649840537e-10,10,0.7,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,1.25260363801375,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,1.09873159986497
TP53I3,C6_oncogenic,MSigDB_C6,-0.61245657530668,4.74887840190991e-10,10,0.7,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,1.2865347282427,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.787946653672635
ENPP2,C6_oncogenic,MSigDB_C6,-0.514758800998253,9.3196440548004e-10,23,0.652173913043478,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.887073608731909,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.456628947228031
MGST1,C6_oncogenic,MSigDB_C6,-0.288675139686294,1.65602349037558e-09,23,0.652173913043478,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.166798557293731,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0481505968262401
GFPT2,C6_oncogenic,MSigDB_C6,-0.394272773248514,1.9275137100854e-09,23,0.608695652173913,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.893118828714667,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.352132437437796
CSTA,C6_oncogenic,MSigDB_C6,-0.865089595063885,3.01335964698786e-09,5,0.8,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,3.18687197094897,down,up,TRUE,TRUE,TRUE,TRUE,FALSE,2.75692978286869
IGFBP6,C6_oncogenic,MSigDB_C6,-0.600812959461633,3.24865667962377e-09,23,0.739130434782609,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.229504332015408,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.137889176927443
SLCO4A1,C6_oncogenic,MSigDB_C6,0.42224756041468,4.66432458665024e-09,19,0.526315789473684,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,1.66967688476408,up,up,FALSE,FALSE,FALSE,FALSE,TRUE,-0.705016991272416
ZNF281,C6_oncogenic,MSigDB_C6,-0.310115604534641,4.90984879596178e-09,10,0.7,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.281068424014408,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0871637042288269
CA12,C6_oncogenic,MSigDB_C6,-0.937532639005412,8.14828284072888e-09,9,0.666666666666667,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-1.299118840493,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-1.21796631490905
MVK,C6_oncogenic,MSigDB_C6,0.158957689968559,1.11668693065895e-08,23,0.652173913043478,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-2.12023190430731,up,down,TRUE,TRUE,TRUE,FALSE,FALSE,0.337027165706329
SOAT1,C6_oncogenic,MSigDB_C6,-0.343067721690864,1.46928204489125e-08,23,0.782608695652174,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.698535860873155,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.23964510630912
BTG2,C6_oncogenic,MSigDB_C6,-0.25097237467609,1.95599264166479e-08,23,0.608695652173913,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,2.08579941994516,down,up,TRUE,TRUE,TRUE,FALSE,FALSE,0.523478033521649
KITLG,C6_oncogenic,MSigDB_C6,-0.52130830302767,2.62369315652102e-08,10,0.9,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,1.9145831209084,down,up,TRUE,TRUE,FALSE,FALSE,FALSE,0.998088077766177
IL13RA2,C6_oncogenic,MSigDB_C6,-0.878557746724154,4.32196896667462e-08,16,0.8125,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.727799753479071,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.639414111482967
GLIPR1,C6_oncogenic,MSigDB_C6,-0.375525413740221,4.91840244423864e-08,22,0.590909090909091,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.896338509746268,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.336597889723761
PLAC9,C6_oncogenic,MSigDB_C6,-0.256784810639467,7.40077874779448e-08,21,0.666666666666667,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.408571653265391,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.104914994616407
CTSC,C6_oncogenic,MSigDB_C6,-0.300868898754259,1.15727561448208e-07,23,0.739130434782609,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-1.00332759526449,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.301870068676985
SLC1A3,C6_oncogenic,MSigDB_C6,-0.631116052991999,1.15727561448208e-07,23,0.695652173913043,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-1.75635021828238,down,down,FALSE,FALSE,FALSE,FALSE,TRUE,-1.10846081743401
CXCL3,C6_oncogenic,MSigDB_C6,-1.51865915325156,1.19944995953316e-07,9,0.888888888888889,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,3.78690573020012,down,up,TRUE,TRUE,TRUE,TRUE,FALSE,5.7510190496692
MAN1A1,C6_oncogenic,MSigDB_C6,-0.526150605491532,1.19944995953316e-07,10,0.6,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-2.12059941053803,down,down,FALSE,FALSE,FALSE,FALSE,TRUE,-1.11575466385957
VAMP5,C6_oncogenic,MSigDB_C6,-0.266824079269793,1.19944995953316e-07,23,0.782608695652174,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.556271564251903,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.148426647955482
ZNF550,C6_oncogenic,MSigDB_C6,0.299192881875779,2.21317291001381e-07,10,0.6,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,1.85031318948244,up,up,FALSE,FALSE,FALSE,FALSE,TRUE,-0.553600535534015
