gene,class,source,mean_lfc,padj,n_studies,direction_concordance,signature,compound_label,compound_z,spaceflight_dir,compound_dir,reversed,reversed_z1.5,reversed_z2,reversed_z3,concordant_z1.5,reversal_score
ABCB8,C6_oncogenic,MSigDB_C6,-0.19156776985935,2.54967437861148e-07,23,0.608695652173913,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.738822645654524,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.141534606549622
BAMBI,C6_oncogenic,MSigDB_C6,-0.357863961329643,2.78628411979394e-07,23,0.739130434782609,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.554174457336655,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.198319066570201
CD83,C6_oncogenic,MSigDB_C6,-0.47190653924619,3.45958944635332e-07,23,0.739130434782609,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.8542408838515,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.403121859180968
OLFML3,C6_oncogenic,MSigDB_C6,-0.263230915429817,3.79147356557685e-07,23,0.391304347826087,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-1.06645394049648,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.280723647020623
CCT6B,C6_oncogenic,MSigDB_C6,0.337078299484303,4.10370288541389e-07,20,0.75,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.717549779186091,up,up,FALSE,FALSE,FALSE,FALSE,FALSE,-0.241870459363385
SEMA3A,C6_oncogenic,MSigDB_C6,-0.241822508664351,4.41002774117613e-07,23,0.565217391304348,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-2.11718962060731,down,down,FALSE,FALSE,FALSE,FALSE,TRUE,-0.511984105373385
EMILIN2,C6_oncogenic,MSigDB_C6,-0.378733545303813,4.56299446469566e-07,23,0.652173913043478,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.561938537349393,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.212824974493175
CD1D,C6_oncogenic,MSigDB_C6,-1.40954407741163,4.81967560770795e-07,6,0.666666666666667,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-1.15976444832063,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-1.6347391093229
IL24,C6_oncogenic,MSigDB_C6,-1.97901601393825,4.99001444486198e-07,6,0.833333333333333,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.540934406808648,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-1.0705178535645
ACAA2,C6_oncogenic,MSigDB_C6,-0.113160860100301,7.86473242331365e-07,23,0.565217391304348,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.693836830091007,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0785151724623647
BEST1,C6_oncogenic,MSigDB_C6,-0.591130951630161,8.85393867956684e-07,17,0.647058823529412,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.859929955445667,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.508331212897879
FAT3,C6_oncogenic,MSigDB_C6,-0.479071898468894,9.43118934982365e-07,19,0.526315789473684,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.657855735486438,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.315160196118139
HIF3A,C6_oncogenic,MSigDB_C6,0.338783024610527,9.43118934982365e-07,21,0.666666666666667,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.037739685490541,up,down,TRUE,FALSE,FALSE,FALSE,FALSE,0.0127855647983355
GIPR,C6_oncogenic,MSigDB_C6,0.412167459602254,9.75709085819309e-07,14,0.785714285714286,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.437079431808874,up,up,FALSE,FALSE,FALSE,FALSE,FALSE,-0.18014991905306
C1S,C6_oncogenic,MSigDB_C6,-0.655780606522866,1.06404205379444e-06,10,0.8,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,1.08862618946092,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.713899942801357
EVI2B,C6_oncogenic,MSigDB_C6,-0.858551570767738,1.07652725956696e-06,9,0.555555555555556,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,3.90415237969555,down,up,TRUE,TRUE,TRUE,TRUE,FALSE,3.35191615810421
ADGRL4,C6_oncogenic,MSigDB_C6,-0.296781600983226,1.16408655851037e-06,21,0.571428571428571,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-1.36743945724291,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.405830871368183
NR4A3,C6_oncogenic,MSigDB_C6,-0.407338233346273,1.16408655851037e-06,21,0.619047619047619,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,4.60485014191249,down,up,TRUE,TRUE,TRUE,TRUE,FALSE,1.87573152163097
C12orf43,C6_oncogenic,MSigDB_C6,-0.232950557201426,1.23463639524642e-06,10,0.9,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.172576259274611,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0402017357577584
PDE7B,C6_oncogenic,MSigDB_C6,-0.208828024572182,1.35212116587061e-06,22,0.681818181818182,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,2.84141316680877,down,up,TRUE,TRUE,TRUE,FALSE,FALSE,0.593366698618063
FLNA,C6_oncogenic,MSigDB_C6,-0.268938081014556,1.49845384781096e-06,23,0.739130434782609,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.00116229525835,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.000312585456352967
IFIT5,C6_oncogenic,MSigDB_C6,-0.434334517285673,1.5038868571542e-06,10,0.8,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.320069552531258,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.139017254596505
STOM,C6_oncogenic,MSigDB_C6,-0.271705413747765,1.59716292144286e-06,23,0.652173913043478,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.176632889051714,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.0479921122012589
EPB41,C6_oncogenic,MSigDB_C6,0.268319683402154,1.6767368596826e-06,23,0.652173913043478,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-1.95321632240165,up,down,TRUE,TRUE,FALSE,FALSE,FALSE,0.524086385242731
GPC6,C6_oncogenic,MSigDB_C6,-0.195397107577285,1.73661871024938e-06,21,0.571428571428571,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-1.01183361595108,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.197709361906307
UMPS,C6_oncogenic,MSigDB_C6,-0.226842568047376,1.78482722741504e-06,23,0.782608695652174,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.324882747558583,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.0736972367704763
EREG,C6_oncogenic,MSigDB_C6,-0.640322966982975,1.79944306685714e-06,13,0.692307692307692,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,4.30953568140995,down,up,TRUE,TRUE,TRUE,TRUE,FALSE,2.75949467383941
GNG11,C6_oncogenic,MSigDB_C6,-0.226076878222493,1.82332742240489e-06,22,0.818181818181818,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,1.81030429542714,down,up,TRUE,TRUE,FALSE,FALSE,FALSE,0.409267943742938
OASL,C6_oncogenic,MSigDB_C6,-2.0749711980367,1.82332742240489e-06,7,0.857142857142857,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-2.41783238984183,down,down,FALSE,FALSE,FALSE,FALSE,TRUE,-5.01693257060203
CAV1,C6_oncogenic,MSigDB_C6,-0.298605133308491,1.89858500522377e-06,23,0.652173913043478,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.315684232659418,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0942649323766542
SLC20A1,C6_oncogenic,MSigDB_C6,-0.212376203994392,1.89858500522377e-06,23,0.652173913043478,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.519694045647971,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.110370648653204
RAB3IL1,C6_oncogenic,MSigDB_C6,-0.233132540523826,1.96628349703651e-06,23,0.652173913043478,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-1.01643308042275,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.236963626311415
SDSL,C6_oncogenic,MSigDB_C6,-0.373296658142389,2.19800968408105e-06,22,0.5,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.070979240860534,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.0264963134107211
CIRBP,C6_oncogenic,MSigDB_C6,0.177665879622174,2.3509398944915e-06,23,0.565217391304348,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.0814139744174777,up,up,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0144644853784183
FOXD1,C6_oncogenic,MSigDB_C6,-0.33551452846622,2.42023883198719e-06,13,0.615384615384615,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.400736211961884,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.134452821195731
CHST11,C6_oncogenic,MSigDB_C6,-0.271742245490677,2.73893363605499e-06,23,0.652173913043478,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.681436034720453,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.185174958233199
FDXR,C6_oncogenic,MSigDB_C6,-0.245323874299751,2.74837751562113e-06,23,0.652173913043478,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,1.53597538898567,down,up,TRUE,TRUE,FALSE,FALSE,FALSE,0.376811433255032
OXCT1,C6_oncogenic,MSigDB_C6,-0.122265511993408,2.754043527234e-06,23,0.521739130434783,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-1.59235655775007,down,down,FALSE,FALSE,FALSE,FALSE,TRUE,-0.194690289809373
CPT1A,C6_oncogenic,MSigDB_C6,-0.184721700177346,3.0316892755085e-06,23,0.826086956521739,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.160786995007811,down,up,TRUE,FALSE,FALSE,FALSE,FALSE,0.0297008470842493
ARL4D,C6_oncogenic,MSigDB_C6,-0.277762119244003,3.42759017173421e-06,23,0.739130434782609,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-2.2675983355019,down,down,FALSE,FALSE,FALSE,FALSE,TRUE,-0.629852919263182
IL1R1,C6_oncogenic,MSigDB_C6,-0.334853715175528,3.62917306293853e-06,22,0.590909090909091,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-1.50810313167598,down,down,FALSE,FALSE,FALSE,FALSE,TRUE,-0.504993936509549
OFD1,C6_oncogenic,MSigDB_C6,0.140122261929282,3.7212276216853e-06,23,0.695652173913043,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,0.0194025481129864,up,up,FALSE,FALSE,FALSE,FALSE,FALSE,-0.00271872892878338
THY1,C6_oncogenic,MSigDB_C6,-0.376860414537002,3.79701899332931e-06,22,0.727272727272727,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.642012294983332,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.241949019625271
ITPRIP,C6_oncogenic,MSigDB_C6,-0.291466390097452,4.050223249867e-06,23,0.695652173913043,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,3.82436126790439,down,up,TRUE,TRUE,TRUE,TRUE,FALSE,1.11467277318461
PCOLCE,C6_oncogenic,MSigDB_C6,-0.2140424140812,4.22803325087713e-06,23,0.478260869565217,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,apigenin+luteolin_1,-0.317516149146951,down,down,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0679619230731797
