"signature","wcs","tau","fgsea_NES_dn","fgsea_padj_dn","drug_name","drug_name.ctx","broad_match","moa","target","clinical_phase","indication","disease_area","primekg_targets","primekg_contraindications"
"Combined MEKi (GDC-0973) and WNT (G007-LK) treatment in APC and KRAS mutant HCT-15 cell line GSE123807_3",-0.000698689665875606,-100,NA,NA,"GSE123807","GSE123807",NA,NA,NA,NA,NA,NA,NA,NA
"Expression levels of genes of NKG2C+ NK cells after in vitro treatment GSE109823_1",-0.000570853708007349,-100,NA,NA,"vitro","vitro",NA,NA,NA,NA,NA,NA,NA,NA
"Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1",-0.000299952573578611,-100,NA,NA,"GSE128097","GSE128097",NA,NA,NA,NA,NA,NA,NA,NA
"Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_3",-0.000356339928855401,-100,NA,NA,"ketamine","ketamine",NA,NA,NA,NA,NA,NA,"PTGS1; CYP3A4; CYP2C9; CYP2C8; CYP2C19; CYP2B6; NOS1; HTR3A; TACR1; GRIN2B; OPRD1; SLC6A2; OPRK1; GRIN3A; DRD2; OPRM1; BCHE; BDNF; NTRK2; EEF2; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; GRIN1; GRIN2A; GRIN2C; GRIN2D; GRIN3B; HTR2A; HTR2B; HTR2C; HTR1A; HTR1B; HTR1D; HTR1E; HTR1F","hypertensive disorder; hypertension; substance abuse/dependence; stroke disorder; cerebrovascular disorder; obsolete susceptibility to ischemic stroke; cerebral infarction; myocardial infarction (disease); coronary thrombosis; myocardial infarction; hemoglobinopathy; ocular hypertension; respiratory failure; thyrotoxicosis; hyperthyroidism; Graves disease; myocardial ischemia; coronary artery disease; delirium; intracranial hypertension; pseudotumor cerebri; vascular disease; arteriovenous hemangioma/malformation"
"Genome-wide transcriptome alternation by DNA methylation inhibitor 5'-Aza in primary leiomyoma cells GSE138045_1",-0.00026575109999002,-100,NA,NA,"methylation","methylation",NA,NA,NA,NA,NA,NA,NA,NA
"Identification of Drugs Blocking SARS-CoV-2 Infection using Human Pluripotent Stem Cell-derived Colonic Organoids GSE148696_1",-0.000362372206284811,-100,NA,NA,"GSE148696","GSE148696",NA,NA,NA,NA,NA,NA,NA,NA
"Intermittent Drug Treatment of BRAFV600E Melanoma Cells Delays Resistance by Sensitizing Cells to Rechallenge GSE117123_4",-0.000214132408745812,-100,NA,NA,"Drug","Drug",NA,NA,NA,NA,NA,NA,NA,"Rotigotine; Ropinirole; Levodopa; Apomorphine; Morphine; Carbidopa; Rasagiline; Entacapone; Pramipexole; Orlistat; Chlorzoxazone; Glimepiride; Bicalutamide; Itraconazole; Ofloxacin; Trolnitrate; Norfloxacin; Nitrofurantoin; Metformin; Methimazole; Misoprostol; Nitrofural; Sunitinib; Acitretin; Etretinate; Propylthiouracil; Pazopanib; Maraviroc; Piroxicam; Etoposide; Chlorambucil; Fenoprofen; Lapatinib; Amiodarone; Telithromycin; Riluzole; Tioguanine; Diclofenac; Moxifloxacin; Melphalan; Bosentan; Lomustine; Nevirapine; Rosiglitazone; Triethylenetetramine; Levofloxacin; Venlafaxine; Guaifenesin; Mepyramine; Pseudoephedrine; Guaiacol; Homatropine; Brompheniramine; Pheniramine; Chlorcyclizine; Cyclizine; Homatropine methylbromide; Carisoprodol; Butalbital; Alphaprodine; Ethoheptazine; Levorphanol; Potassium Iodide; Codeine; Oxycodone; Oxymorphone; Salicylamide; Phenylephrine; Caffeine; Meperidine; Metamfetamine; Buprenorphine; Dextroamphetamine; Carbinoxamine; Triprolidine; Hydromorphone; Naloxone; Dexmethylphenidate; Bupivacaine; Pentazocine; Amphetamine; Ephedrine; Dexchlorpheniramine; Nalbuphine; Ibuprofen; Phenylpropanolamine; Chlorpheniramine; Dexbrompheniramine; Dextromethorphan; Butabarbital; Hydrocodone; Dihydrocodeine; Bromodiphenhydramine; Methylphenidate; Diethylpropion; Naltrexone; Phenmetrazine; Mirtazapine; Paroxetine; Tetrabenazine"
"Licochalcone A suppresses the proliferation of sarcoma HT-1080 cells, as a selective R132C mutant IDH1 inhibitor GSE137934_1",-0.00107589744173509,-100,NA,NA,"GSE137934","GSE137934",NA,NA,NA,NA,NA,NA,NA,NA
"RNA Sequencing facilitates quantitative analysis of differently expressed genes with GA or SKN treatment in rheumatoid fibroblast-like synoviocytes GSE155766_1",-0.00140571771962787,-100,NA,NA,"GSE155766","GSE155766",NA,NA,NA,NA,NA,NA,NA,NA
"RNA Sequencing facilitates quantitative analysis of differently expressed genes with GA or SKN treatment in rheumatoid fibroblast-like synoviocytes GSE155766_2",-0.000619099487267653,-100,NA,NA,"GSE155766","GSE155766",NA,NA,NA,NA,NA,NA,NA,NA
