"signature","wcs","tau","fgsea_NES_dn","fgsea_padj_dn","drug_name","drug_name.ctx","broad_match","moa","target","clinical_phase","indication","disease_area","primekg_targets","primekg_contraindications"
"RNA Sequencing Facilitates Quantitative Analysis of Transcriptomes of H1 derived cells with or without SB431542 treatment at Day8 after human early hematopoietic differentiation . GSE134908_1",-0.0004827950294598,-100,NA,NA,"SB431542","SB431542",NA,NA,NA,NA,NA,NA,NA,NA
"RNA sequencing of human fibroblasts after SUPT4H1 siRNA treatment GSE83484_1",-0.000427456546363574,-100,NA,NA,"siRNA","siRNA",NA,NA,NA,NA,NA,NA,NA,NA
"RNA-Seq analysis RPE1 cells following exposure to Nutlin-3 to identify target genes of p53 [tpo12] GSE86104_1",-0.000435433832198169,-100,NA,NA,"Nutlin-3","Nutlin-3","nutlin-3","MDM inhibitor","MDM2|TP53","Preclinical","","",NA,NA
"RNA-seq of HL-60 cells following treatment with different compounds GSE124422_3",-0.000456887608314159,-100,NA,NA,"different","different",NA,NA,NA,NA,NA,NA,NA,"Chlorambucil; Carmustine"
"RNA-seq of human foreskin fibroblast cells lacking RB and/or p130 after doxorubicin treatment GSE128711_3",-0.000336203475970781,-100,NA,NA,"doxorubicin","doxorubicin","aldoxorubicin","topoisomerase inhibitor","TOP2A","Phase 3","","","ALB; NOS2; NOS1; NDUFS3; NOS3; NDUFS7; AKR1C3; NDUFS2; CYP1B1; NQO1; XDH; CYP2D6; POR; CYP3A4; CBR1; CYP2B6; AKR1A1; CBR3; TOP2A; NOLC1; ABCB11; ABCC1; ABCB1; ABCC3; ABCG2; ABCC2; ABCC6; ABCC10; SLC22A16; ABCB8; RALBP1","liver failure; liver disease; gallbladder disease; thrombocytopenia; fungal infectious disease; dermatophytosis; obsolete hyperuricemia (disease); neutropenia; agranulocytosis; heart disease; cardiovascular disease; anemia (disease); macrocytic anemia (disease); hyperbilirubinemia; hereditary hyperbilirubinemia; Gilbert syndrome; sudden cardiac arrest; heart conduction disease; G6PD deficiency; glycogen storage disease; cystinuria; galactosemia; leukopenia; infectious disease; cardiomyopathy; hypertrophic cardiomyopathy; endomyocardial fibrosis; myocardial disorder; congestive heart failure; heart failure; atrioventricular block (disease); progressive familial heart block; obsolete bundle branch block; myocarditis"
"SUM52PE treated with PI3K-mTOR inhibitors GSE123740_3",-0.000246290262416063,-100,NA,NA,"PI3K-mTOR","PI3K-mTOR",NA,NA,NA,NA,NA,NA,NA,NA
"Transcriptional responses to TNF following HFl treatment of primary rheumatoid arthritis fibroblast like synoviocytes (RA-FLS) GSE145204_1",-0.00142804122775014,-100,NA,NA,"GSE145204","GSE145204",NA,NA,NA,NA,NA,NA,NA,NA
"Caco2 response to methotrexate, lactoferrin, and methotrexate-lactoferrin co-exposure GSE140066_2",-0.000167922598267423,-99.2650115821856,NA,NA,"GSE140066","GSE140066",NA,NA,NA,NA,NA,NA,NA,NA
"RNA-sequencing experiment: Treatment of MCF-7 breast cancer cells with the novel small molecule ZNA GSE59251_2",-0.000144466381341958,-84.1858375312788,NA,NA,"GSE59251","GSE59251",NA,NA,NA,NA,NA,NA,NA,NA
"Drug-induced mitochondrial oxidative stress is responsible for various effects of the survivin inhibitor Sepantronium Bromide (YM155) in triple negative breast cancer cells GSE139364_1",-0.000131888730900003,-76.1001099491891,NA,NA,"Sepantronium","Sepantronium",NA,NA,NA,NA,NA,NA,NA,NA
"Genes regulated by COUP-TFII inhibitor GSE142475_3",-0.000112913944039207,-63.9018891294378,NA,NA,"GSE142475","GSE142475",NA,NA,NA,NA,NA,NA,NA,NA
"Gene expression profiling of drug-tolerant persister BT474 breast cancer cells derived from lapatinib treatment GSE84896_1",-8.77686376931006e-05,-47.7368591008879,NA,NA,"lapatinib","lapatinib","lapatinib","EGFR inhibitor","EGFR|ERBB2","Launched","breast cancer","oncology","CYP3A5; CYP3A4; CYP2C8; CYP2C19; ERBB2; EGFR; ABCB1; TAP1","long QT syndrome; familial long QT syndrome; torsades de pointes; liver failure; potassium deficiency disease; interstitial lung disease; drug-induced liver injury; heart failure"
"Transcriptome profiling of HepG2 cells upon treatment of the menin-MLL inhibitor MI-503 or DMSO GSE103327_1",-5.07731999321194e-05,-23.9537977973533,NA,NA,"MI-503","MI-503",NA,NA,NA,NA,NA,NA,NA,NA
"RNA sequencing of HepG2 cells treated with estradiol or estrogen receptor agonist GSE112983_3",-3.41598509516183e-05,-13.2736620516155,NA,NA,"estradiol","estradiol","estradiol","estrogen receptor agonist","ESR1|ESR2|GPER1|KCNMA1|NR1I2","Launched","contraceptive","endocrinology","ALB; SHBG; FABP2; SULT1E1; CYP1B1; COMT; CYP3A5; CYP1A2; CYP3A4; CYP2C9; CYP2C8; CYP2C19; UGT1A9; UGT1A1; CYP1A1; UGT1A4; CYP3A7; UGT1A3; UGT2B7; UGT2B15; SULT1A3; UGT1A10; UGT1A6; UGT1A7; UGT1A8; UGT2B4; HSD17B2; ESR1; ESR2; CHRNA4; NR1I2; ESRRG; CYP19A1; HIF1A; GPER1; NCOA2; MT-ATP6; BECN1; ABCB11; SLC22A11; SLCO1B1; ABCB1; SLCO2B1; ABCG2; ABCC2; SLCO1A2; SLC10A1; SLC22A8; SLC22A2; SLC22A1; SLC22A3; ABCC10; SLCO4A1; SLCO1B3; SLCO1C1","hypertensive disorder; hypertension; liver failure; epilepsy; anxiety disorder; neurotic disorder; dysthymic disorder; inherited porphyria; porphyrin metabolism disease; porphyria; kidney disease; pyoureter; liver disease; gallbladder disease; hyperglycemia; congestive heart failure; humoral hypercalcemia of malignancy; adrenocortical insufficiency; Addison disease; hypothyroidism; myxedema; congenital hypothyroidism; osteoporosis; postmenopausal osteoporosis; systemic lupus erythematosus (disease); pediatric systemic lupus erythematosus; asthma; intrinsic asthma; allergic asthma; diabetes mellitus (disease); diabetic ketoacidosis; benign prostatic hyperplasia (disease); hypercalcemia disease; nephrocalcinosis; phosphorus metabolism disease; substance abuse/dependence; hypertriglyceridemia (disease); gynecomastia; hypertrophy of breast; female breast carcinoma; thrombophlebitis; uterine corpus leiomyoma; leiomyoma; myofibroma; heart disease; cardiovascular disease; obsolete functional visual loss; migraine disorder; migraine with or without aura, susceptibility to; hyperlipidemia; familial hyperlipidemia; coronary artery disease; obesity disorder; monogenic obesity; ovarian cancer; ovarian adenocarcinoma; hereditary breast ovarian cancer syndrome; ovarian carcinosarcoma; ovarian small cell carcinoma; ovarian mucinous adenocarcinoma; yolk sac tumor; ovarian clear cell adenocarcinoma; ovarian endometrioid adenocarcinoma; borderline epithelial tumor of ovary; malignant non-dysgerminomatous germ cell tumor of ovary; familial ovarian cancer; hereditary site-specific ovarian cancer syndrome; primary non-gestational choriocarcinoma of ovary; malignant germ cell tumor of ovary; malignant sex cord stromal tumor of ovary; immature ovarian teratoma; malignant dysgerminomatous germ cell tumor of ovary; maligant granulosa cell tumor of ovary; malignant Sertoli-Leydig cell tumor of ovary; theca steroid-producing cell malignant tumor of ovary, not further specified; prostate cancer; prostate neoplasm; prostate carcinoma; choreatic disease; hyperlipoproteinemia; obstructive sleep apnea syndrome; sleep apnea syndrome; congenital central hypoventilation syndrome; Haddad syndrome; endometriosis (disease); endometriosis of uterus; endometrial carcinoma (disease); endometrial cancer; endometrium neoplasm; uterine corpus cancer; dementia (disease); stroke disorder; cerebrovascular disorder; obsolete susceptibility to ischemic stroke; cerebral infarction; pulmonary embolism (disease); retinal artery occlusion; thrombophilia; papilledema; optic papillitis; hepatic porphyria; myocardial infarction (disease); coronary thrombosis; myocardial infarction; hemoglobinopathy; anorexia nervosa; obstructive jaundice; biliary tract disease; heart valve disease; heart failure; metabolic syndrome X; metabolic syndrome; cervical cancer; cervical carcinosarcoma; cervical carcinoma; female reproductive system neoplasm; female reproductive organ cancer; cholestasis, intrahepatic, of pregnancy; intrahepatic cholestasis; liver cancer; hepatocellular carcinoma; breast fibrocystic disease; benign mammary dysplasia; obsolete breast fibroadenosis; breast adenosis; toxic shock syndrome; streptococcal toxic-shock syndrome; staphylococcal toxic-shock syndrome"
"RNA-seq in HT-29 colorectal cancer cells after F. nucleatum treatment GSE90944_1",-7.00786235577312e-06,4.18139317600317,NA,NA,"nucleatum","nucleatum",NA,NA,NA,NA,NA,NA,NA,NA
"Transcriptome analysis of Riociguat and Vehicle control treatment in human hematopoietic stem and progenitor cells GSE130126_1",-5.01998691474718e-06,5.45932814147544,NA,NA,"control","control",NA,NA,NA,NA,NA,NA,NA,NA
"24hr CA treatment vs. DMSO in HCT116 cells (from 'Identification of CDK8 and CDK19 substrates in human cells using cortistatin A and quantitative phosphoproteomics') GSE78506_1",-1.78113056211563e-08,8.67505030515162,NA,NA,"GSE78506","GSE78506",NA,NA,NA,NA,NA,NA,NA,NA
"A Brain Penetrant Mutant IDH1 Inhibitor Provides In Vivo Survival Benefit GSE105447_1",-1.78113056211563e-08,8.67505030515162,NA,NA,"Provides","Provides",NA,NA,NA,NA,NA,NA,NA,NA
"A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_1",-1.78113056211563e-08,8.67505030515162,NA,NA,"peptide","peptide","iRGD-peptide","integrin signaling activator","","Preclinical","","","NPY4R; NPY2R; NPY1R; NPY5R",NA
"A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_2",-1.78113056211563e-08,8.67505030515162,NA,NA,"peptide","peptide","iRGD-peptide","integrin signaling activator","","Preclinical","","","NPY4R; NPY2R; NPY1R; NPY5R",NA
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_13",-1.78113056211563e-08,8.67505030515162,NA,NA,"Isoginkgetin","Isoginkgetin",NA,NA,NA,NA,NA,NA,NA,NA
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_14",-1.78113056211563e-08,8.67505030515162,NA,NA,"Isoginkgetin","Isoginkgetin",NA,NA,NA,NA,NA,NA,NA,NA
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_20",-1.78113056211563e-08,8.67505030515162,NA,NA,"Isoginkgetin","Isoginkgetin",NA,NA,NA,NA,NA,NA,NA,NA
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_21",-1.78113056211563e-08,8.67505030515162,NA,NA,"Isoginkgetin","Isoginkgetin",NA,NA,NA,NA,NA,NA,NA,NA
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_25",-1.78113056211563e-08,8.67505030515162,NA,NA,"Isoginkgetin","Isoginkgetin",NA,NA,NA,NA,NA,NA,NA,NA
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_28",-1.78113056211563e-08,8.67505030515162,NA,NA,"Isoginkgetin","Isoginkgetin",NA,NA,NA,NA,NA,NA,NA,NA
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_29",-1.78113056211563e-08,8.67505030515162,NA,NA,"Isoginkgetin","Isoginkgetin",NA,NA,NA,NA,NA,NA,NA,NA
"BI-3406, a potent and selective SOS1::KRAS interaction inhibitor, is effective in KRAS-driven cancers through combined MEK inhibition GSE128385_1",-1.78113056211563e-08,8.67505030515162,NA,NA,"interaction","interaction",NA,NA,NA,NA,NA,NA,NA,NA
"BI-3406, a potent and selective SOS1::KRAS interaction inhibitor, is effective in KRAS-driven cancers through combined MEK inhibition GSE128385_2",-1.78113056211563e-08,8.67505030515162,NA,NA,"interaction","interaction",NA,NA,NA,NA,NA,NA,NA,NA
"Combined Cohesin-Runx1 Deficiency Synergistically Perturbs Chromatin Looping and Causes Myelodysplastic Syndromes [RNA-seq] GSE131581_3",-1.78113056211563e-08,8.67505030515162,NA,NA,"GSE131581","GSE131581",NA,NA,NA,NA,NA,NA,NA,NA
"Comprehensive transcriptome analysis of human myofibroblasts with/without the JQ-1 treatment [mRNA] GSE140476_1",-1.78113056211563e-08,8.67505030515162,NA,NA,"JQ-1","JQ-1",NA,NA,NA,NA,NA,NA,NA,NA
"Defining a microRNA-mRNA targetome for calcineurin inhibitor induced nephrotoxicity GSE98670_1",-1.78113056211563e-08,8.67505030515162,NA,NA,"induced","induced",NA,NA,NA,NA,NA,NA,NA,"Rotigotine; Ropinirole; Levodopa; Apomorphine; Morphine; Carbidopa; Rasagiline; Entacapone; Pramipexole; Fosinopril; Amlodipine; Trandolapril; Benazepril; Quinapril; Perindopril; Lisinopril; Enalaprilat; Enalapril; Felodipine; Captopril; Chlorothiazide; Hydrochlorothiazide; Verapamil; Isotretinoin; Diltiazem; Aliskiren; Pregabalin; Irbesartan; Valsartan; Darifenacin; Moexipril; Atracurium; Desflurane; Succinylcholine; Clomipramine; Sevoflurane; Isoflurane; Halothane; Enflurane; Orlistat; Chlorzoxazone; Glimepiride; Bicalutamide; Itraconazole; Ofloxacin; Trolnitrate; Norfloxacin; Nitrofurantoin; Metformin; Methimazole; Misoprostol; Nitrofural; Sunitinib; Acitretin; Etretinate; Propylthiouracil; Pazopanib; Maraviroc; Piroxicam; Etoposide; Chlorambucil; Fenoprofen; Lapatinib; Amiodarone; Telithromycin; Riluzole; Tioguanine; Diclofenac; Moxifloxacin; Melphalan; Bosentan; Lomustine; Nevirapine; Rosiglitazone; Triethylenetetramine; Levofloxacin; Ardeparin; Heparin; Enoxaparin; Adomiparin; Dalteparin; Parnaparin; Heparin, bovine; Warfarin; Dicoumarol; Pentosan polysulfate; Fondaparinux; Mirtazapine; Paroxetine; Tetrabenazine"
"Distinct gene regulatory programs define the inhibitory effects of LXRs and PPARG on cancer cell proliferation GSE77039_1",-1.78113056211563e-08,8.67505030515162,NA,NA,"GSE77039","GSE77039",NA,NA,NA,NA,NA,NA,NA,NA
"DPN and Tamoxifen treatments of parathyroid adenoma cells GSE37211_1",-1.78113056211563e-08,8.67505030515162,NA,NA,"Tamoxifen","Tamoxifen","tamoxifen","estrogen receptor antagonist|selective estrogen receptor modulator (SERM)","EBP|ESR1|ESR2|GPER1|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCI|PRKCQ|PRKCZ","Launched","breast cancer","oncology","ALB; SERPINA7; SULT2A1; SULT1A1; SULT1E1; CYP1B1; CYP19A1; CYP3A5; CYP2D6; CYP1A2; CYP3A4; CES1; CYP2C9; CYP2C8; CYP2A6; CYP2E1; CYP2C19; CYP1A1; CYP2B6; FMO3; FMO1; CYP3A7; UGT1A10; UGT2B7; UGT2B17; KCNH2; ESR1; AR; SHBG; ESR2; NR1I2; ESRRG; MAPK8; EBP; PRKCA; PRKCB; PRKCD; PRKCE; PRKCG; PRKCI; PRKCQ; PRKCZ; ABCA1; ABCB11; ABCB1; ABCG2; ABCC2","thrombocytopenia; hypercalcemia disease; nephrocalcinosis; phosphorus metabolism disease; stroke disorder; cerebrovascular disorder; obsolete susceptibility to ischemic stroke; cerebral infarction; pulmonary embolism (disease); leukopenia; vision disorder; blindness (disorder)"
"Dynamic induction of drug resistance through a stress-responsive enhancer in acute myeloid leukemia [RNA-seq] GSE131823_1",-1.78113056211563e-08,8.67505030515162,NA,NA,"GSE131823","GSE131823",NA,NA,NA,NA,NA,NA,NA,NA
"Effect of ER stress on MUC1 kidney disease patient derived cells and and treatment by BRD4780 GSE129942_1",-1.78113056211563e-08,8.67505030515162,NA,NA,"GSE129942","GSE129942",NA,NA,NA,NA,NA,NA,NA,NA
"Effect of estrogen (E2) treatment on the C4-12 relative to the MCF7 cells GSE114260_1",-1.78113056211563e-08,8.67505030515162,NA,NA,"GSE114260","GSE114260",NA,NA,NA,NA,NA,NA,NA,NA
"Effect of venetoclax, tedizolid, and combination treatment on gene expression in a venetoclax-resistant AML cell line GSE136032_2",-1.78113056211563e-08,8.67505030515162,NA,NA,"combination","combination",NA,NA,NA,NA,NA,NA,NA,NA
"Effect of venetoclax, tedizolid, and combination treatment on gene expression in a venetoclax-resistant AML cell line GSE136032_3",-1.78113056211563e-08,8.67505030515162,NA,NA,"combination","combination",NA,NA,NA,NA,NA,NA,NA,NA
"Effects of HSP90 inhibitors on airway goblet cell metaplasia GSE116927_3",-1.78113056211563e-08,8.67505030515162,NA,NA,"HSP90","HSP90",NA,NA,NA,NA,NA,NA,NA,NA
