"signature","wcs","tau"
"Distinct gene regulatory programs define the inhibitory effects of LXRs and PPARG on cancer cell proliferation GSE77039_3",0,8.68650056494367
"Gene expression analysis of C4-2 cells treated with ACLY inhibitor and Enzalutamide GSE81796_3",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_1",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_2",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_3",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_4",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_5",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_6",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_7",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_9",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_10",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_11",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_15",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_16",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_17",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_18",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_19",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_22",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_26",0,8.68650056494367
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_27",0,8.68650056494367
"Development of a selective CDK9 degrader from a multi-targeted CDK inhibitor [RNA-seq] GSE89385_3",0,8.68650056494367
"Rare cell variability and drug-induced reprogramming as a mode of cancer drug resistance [RNA-seq] GSE97679_1",0,8.68650056494367
"Rare cell variability and drug-induced reprogramming as a mode of cancer drug resistance [RNA-seq] GSE97679_2",0,8.68650056494367
"Rare cell variability and drug-induced reprogramming as a mode of cancer drug resistance [RNA-seq] GSE97679_3",0,8.68650056494367
"Rare cell variability and drug-induced reprogramming as a mode of cancer drug resistance [RNA-seq] GSE97679_5",0,8.68650056494367
"Rare cell variability and drug-induced reprogramming as a mode of cancer drug resistance [RNA-seq] GSE97679_6",0,8.68650056494367
"Variation of human neural stem cells generating organizer states in vitro before committing to cortical excitatory or inhibitory neuronal fates [human RNAseq #1] GSE144156_1",0,8.68650056494367
"RNA sequencing of human marcrophages treated with lipopolysaccharide (LPS) for 8 hours, with or without BCAT1 inhibitor (ERG240) GSE148701_1",0,8.68650056494367
"Integration of metabolomics and transcriptomic expression profiling discloses pivotal role of arachidonic acid metabolism pathway in response to acute hypoxia exposure GSE103940_1",0,8.68650056494367
"Next Generation Sequencing Facilitates Quantitative Analysis of transcriptomes of human cord blood CD34+ cells treated with HDAC5 inhibitor GSE110736_1",0,8.68650056494367
"RNA-seq of HBV-infected Primary Human Hepatocytes treatment by Tazarotene GSE114003_1",0,8.68650056494367
"RNA sequencing of COH29 treatment in C4-2 cells GSE117921_1",0,8.68650056494367
"Gene expression profiling U87 cells knocking down Glud1 under low glucose treatment GSE121580_1",0,8.68650056494367
"Loss of the FAT1 tumor suppressor promotes resistance to CDK4/6 inhibitors via the Hippo pathway GSE122088_1",0,8.68650056494367
"The study of the role of POU3F2 in response to UVB treatment GSE124761_1",0,8.68650056494367
"A novel CRISPR-engineered prostate cancer cell line defines the AR-V transcriptome and identifies PARP inhibitor sensitivities. GSE126306_1",0,8.68650056494367
"Integrated high-throughput screen to identify novel treatment leads for pediatric acute myeloid leukemia (AML) GSE126489_1",0,8.68650056494367
"Subcellular pathways shared by afflicted patients and mutant mice identify a new drug treatment for aortic aneurysm in Marfan syndrome GSE128101_1",0,8.68650056494367
"IL-11 neutralising therapies for the treatment of nonalcoholic steatohepatitis GSE128940_1",0,8.68650056494367
"Patient-derived xenograft models of non-small cell lung cancer for evaluating targeted drug sensitivity and resistance GSE130160_1",0,8.68650056494367
"Expression profiling of IL-13 stimulated PBMCs with and without an IL-13R antagonist GSE79027_2",0,8.68650056494367
"Gene expression profile in Caco-2 cells upon co-treatment with lovastatin and selective AHR ligands GSE130234_1",0,8.68650056494367
"RNA sequencing in human GBM stem cells with Myc knockdown and PARP inhibitor treatment GSE131218_1",0,8.68650056494367
"Evolving Spindlin1 Small Molecule Inhibitors Using Protein Microarrays GSE92547_2",0,8.68650056494367
"Treatment of melanoma cell lines with CCG-222740 GSE134320_1",0,8.68650056494367
"Human induced pluripotent stem cell-derived vocal fold mucosa mimics development and responses to smoke exposure GSE135548_1",0,8.68650056494367
"Long-term Y-27632 treatment promotes senescence of primary human dermal fibroblasts by increasing IGFBP-5 GSE135934_1",0,8.68650056494367
"The BET inhibitor CPI203 promotes ex-vivo expansion of long-term repopulating human hematopoietic stem cells and megakaryocyte GSE140813_1",0,8.68650056494367
"High-dose Ascorbic acid synergizes with anti-PD1 in a Lymphoma mouse model GSE141444_1",0,8.68650056494367
"Sequencing of mRNA in AML cells upon ALKBH5 knockdown and actinomycin D treatment for different time GSE144959_1",0,8.68650056494367
"Mechanistic basis and efficacy of targeting Beta Catenin-TCF7L2-JMJD6-MYC Axis to overcome resistance to BET inhibitors [no drug] GSE145275_1",0,8.68650056494367
"IGF2BP1 is a druggable, post-transcriptional super-enhancer of E2F-driven gene expression hallmark in cancer [IGF2BP1 KD in A549 (polyA RNA)] GSE146547_1",0,8.68650056494367
"Gene expression profiling of human DLD-1 cells after block of CRM1 receptor with Leptomycin B inhibitor. GSE148560_1",0,8.68650056494367
"Transcriptome analysis identifies Doublesex and Mab-3 Related Transcription Factor (DMRT3) in nasal polyp epithelial cells of patients suffering from Nonsteroidal anti-inflammatory drugs-  Exacerbated Respiratory Disease (N-ERD) GSE158277_1",0,8.68650056494367
"Abraxane, the Nanoparticle Formulation of Paclitaxel can Induce Drug Resistance by Up-regulation of P-gp GSE56742_1",0,8.68650056494367
"Treatment of multiple myeloma cells with EZH2 small molecule inhibitor GSE57478_1",0,8.68650056494367
"Illumina RNA-seq of Human rhabdomyosarcoma Rh36 cell mouse xenograft tumors: effect of RITA, GANT61 and RITA/GANT61 combination treatments on xenograft tumor growth GSE161235_1",0,8.68650056494367
"Altering cancer transcriptomes using epigenomic inhibitors [RNA-Seq] GSE63776_1",0,8.68650056494367
"Expression changes in Melanomas pre MAPKi treatment vs. on MAPKi treatment GSE75313_1",0,8.68650056494367
"A novel compound that blocks HIV-1 replication inhibits the splicing regulatory function of SRSF10 GSE76947_1",0,8.68650056494367
"Effects of Belinostat and Dexamethasone treatment of A549 gene expression GSE96649_1",0,8.68650056494367
"Merkel cell polyomavirus small T antigen promotes pro-glycolytic metabolic perturbations required for transformation GSE79968_1",0,8.68650056494367
"Effects of Belinostat and Dexamethasone treatment of A549 gene expression GSE96649_2",0,8.68650056494367
"RNAseq transcriptomic profile of glioblastoma stem-like cells derived from U87MG cell line treated with a selective A3 adenosine receptor antagonist (MRS1220) under hypoxia GSE100146_1",0,8.68650056494367
"Genome-wide transcriptional profiles for the GSK3α selective inhibitor BRD0507 and for the GSK3α/β dual inhibitor BRD0320 GSE109985_1",0,8.68650056494367
"Transcriptomic-based functional characterization of adverse events following lymphatic filariasis treatment GSE110146_1",0,8.68650056494367
"Transcriptional changes in the breast cancer cell line MCF7 rendered resistant to the cationic drug siramesine GSE130363_1",0,8.68650056494367
"Identifying and overcoming a mechanism of resistance to Wee1 kinase inhibitor AZD1775 in high grade serous ovarian cancer cells (OVCAR8) GSE141990_1",0,8.68650056494367
"Identification of Lead Drug Candidates for COVID-19 based on Drug Screening Using Human Pluripotent Stem Cell-Derived Cells/Organoids GSE148697_1",0,8.68650056494367
"Low-dose decitabine modulates T cell homeostasis and restores immune tolerance in immune thrombocytopenia GSE154703_1",0,8.68650056494367
"CHK1 Inhibitor Blocks Phosphorylation of FAM122A and Promotes Replication Stress GSE158338_1",0,8.68650056494367
"Expression profiling of MCF-7 cells with 10nM treatment of TCDD GSE76608_1",0,8.68650056494367
"Safety and Efficacy of the JAK Inhibitor Tofacitinib Citrate for Alopecia Areata and Variants GSE80688_1",0,8.68650056494367
"Effect daunorubicin treatment on the transcriptome of HCT116 cells [RNA-seq] GSE86190_1",0,8.68650056494367
"RNAseq study of synovial biopsies after triple DMARD treatment GSE97165_1",0,8.68650056494367
"Acne flare-up in treatment process: investigating the difference of gene expression in peripheral blood GSE124389_1",0,8.68650056494367
"Acne flare-up in treatment process: investigating the difference of gene expression in peripheral blood GSE124389_2",0,8.68650056494367
"Epigenomes and transcriptomes of human monocytes before and after in vivo exposure to Bacillus Calmette-Guérin vaccine GSE104149_1",0,8.68650056494367
"Treatment of SW480 colon cancer cell induced xenografts with AZD and DBZ GSE98922_1",0,8.68650056494367
"Treatment of SW480 colon cancer cell induced xenografts with AZD and DBZ GSE98922_2",0,8.68650056494367
"RNA-seq of human foreskin fibroblast cells lacking RB and/or p130 after doxorubicin treatment GSE128711_1",0,8.68650056494367
"RNA-seq of human foreskin fibroblast cells lacking RB and/or p130 after doxorubicin treatment GSE128711_2",0,8.68650056494367
"Combined Cohesin-Runx1 Deficiency Synergistically Perturbs Chromatin Looping and Causes Myelodysplastic Syndromes [RNA-seq] GSE131581_1",0,8.68650056494367
"Combined Cohesin-Runx1 Deficiency Synergistically Perturbs Chromatin Looping and Causes Myelodysplastic Syndromes [RNA-seq] GSE131581_2",0,8.68650056494367
"Distinct mechanisms of acquired resistance to oncogenic kinase inhibition in cancer cells revealed using a single-step, high-dose selection scheme GSE137290_1",0,8.68650056494367
"Distinct mechanisms of acquired resistance to oncogenic kinase inhibition in cancer cells revealed using a single-step, high-dose selection scheme GSE137290_2",0,8.68650056494367
"Distinct mechanisms of acquired resistance to oncogenic kinase inhibition in cancer cells revealed using a single-step, high-dose selection scheme GSE137290_3",0,8.68650056494367
"Distinct mechanisms of acquired resistance to oncogenic kinase inhibition in cancer cells revealed using a single-step, high-dose selection scheme GSE137290_5",0,8.68650056494367
"Tumor and gut biopsies from refractory metastatic melanoma patients before and after treatment with fecal microbiota transplantation (FMT) and anti-PD-1 re-induction (Baruch et al, Science 2020) GSE162436_1",0,8.68650056494367
"Tumor and gut biopsies from refractory metastatic melanoma patients before and after treatment with fecal microbiota transplantation (FMT) and anti-PD-1 re-induction (Baruch et al, Science 2020) GSE162436_2",0,8.68650056494367
"Tumor and gut biopsies from refractory metastatic melanoma patients before and after treatment with fecal microbiota transplantation (FMT) and anti-PD-1 re-induction (Baruch et al, Science 2020) GSE162436_3",0,8.68650056494367
"Covalent inhibitor of the Rho family inhibits the migration of breast cancer cells GSE106605_1",0,8.68650056494367
"Gene expression analysis of human CD8+ T cells treated with a DOT1L inhibitor GSE108694_1",0,8.68650056494367
"Discovery of inhibitors of the HSP90-Calcineurin-NFAT pathway against glioblastoma GSE108749_1",0,8.68650056494367
"RNA-seq of cultured human kidney peritubular microvascular endothelial cells following exposure to cyclosporine A GSE108919_1",0,8.68650056494367
"transcriptome studies of BRD4 inhibitor BDF-1253 on renal clear carcinoma 786-O cells GSE109870_1",0,8.68650056494367
"Evaluation of HSP90 inhibitor expsosure on Immune Cell Gene Expression GSE113465_1",0,8.68650056494367
"Pro-inflammatory cytokine and high doses of ionizing radiation have similar effects on the expression of NF-kappaB-dependent genes GSE110387_1",0,8.68650056494367
"Acquired resistance to MEK-CDK4/6 inhibitor combinations in cutaneous melanoma GSE111005_1",0,8.68650056494367
"Transcriptomics-based drug repurposing approach identifies novel drugs against sorafenib-resistant hepatocellular carcinoma GSE113005_1",0,8.68650056494367
"Regulation of mRNA half-life by an inhibitor of human decapping enzyme Dcp2 following transcription shutoff in HEK293T cells GSE114781_1",0,8.68650056494367
"Dynamic gene expression in T-ALL following treatment and release of gamma-secretase inhibition [GRO-Seq] GSE115894_1",0,8.68650056494367
"BCL6 confers KRAS-mutant NSCLCs resistance to BET inhibitors GSE118645_1",0,8.68650056494367
"Molecular mechanism impacted by circadian disruption underscores the importance of timed anti-cancer treatment GSE119668_1",0,8.68650056494367
"Epigenetic reprogramming of melanoma cells by vitamin C treatment GSE121095_1",0,8.68650056494367
"Phosphatase inhibitor PPP1R11 modulates resistance of human T cells towards Treg-mediated suppression of TCR signaling GSE124757_1",0,8.68650056494367
"Newly defined ABCB5+ dermal mesenchymal stem cells promote healing of chronic iron overload wounds via secretion of interleukin-1 receptor antagonist GSE125829_1",0,8.68650056494367
"Blocking expression of inhibitory receptor NKG2A overcomes tumor resistance to NK cells GSE127081_1",0,8.68650056494367
"Neuronal deletion of Gtf2i, associated with Williams syndrome, causes behavioural and myelin alterations rescuable by a remyelinating drug [human] GSE128840_1",0,8.68650056494367
"Transcriptome-wide effect profile of HuR inhibitor KH-3 GSE129362_1",0,8.68650056494367
"Novel analogs of the Quassinoid family inhibitor for treatment of hematologic malignancies GSE130728_1",0,8.68650056494367
"CD34+ AML cells with low mitochondrial activity show increased expression of stemness-genes and can be targeted by the BCL-2 inhibitor Venetoclax GSE131422_1",0,8.68650056494367
"Whole transcriptome analysis of human kidney cells after exposure to Ochratoxin A GSE133831_1",0,8.68650056494367
"Transcriptional responses of human insulinoma cells to acute cytokine exposure GSE134122_1",0,8.68650056494367
"An atheroprotective transcriptome induced by JQ1 (a BRD4 inhibitor) in human endothelial cells GSE137500_1",0,8.68650056494367
"Transciptome analysis of human aortic smooth muscle cells (HASMCs) with 2-hydroxypropyl-β-cyclodextrin (HPbCD) treatment GSE137576_1",0,8.68650056494367
"Regulation of the error-prone DNA polymerase polκ by oncogenic signaling and its contribution to drug resistance GSE145313_1",0,8.68650056494367
"IGF2BP1 is a druggable, post-transcriptional super-enhancer of E2F-driven gene expression hallmark in cancer [E2F1-3 KD in PANC-1 (polyA RNA)] GSE146804_1",0,8.68650056494367
"IGF2BP1 is a druggable, post-transcriptional super-enhancer of E2F-driven gene expression hallmark in cancer [IGF2BP1 KD in PANC-1 (total RNA)] GSE146805_1",0,8.68650056494367
"IGF2BP1 is a druggable, post-transcriptional super-enhancer of E2F-driven gene expression hallmark in cancer [METTL KD in PANC-1 (polyA RNA)] GSE146806_1",0,8.68650056494367
"Allosteric HSP70 inhibitors perturb mitochondrial proteostasis and overcome proteasome inhibitor resistance in multiple myeloma GSE148659_1",0,8.68650056494367
"Transcriptional response of fibronectin fragment treatment in human articular chondrocytes GSE150411_1",0,8.68650056494367
"SARS-CoV-2 infection of primary human lung epithelium for COVID-19 modeling and drug discovery GSE155518_1",0,8.68650056494367
"RNA-Seq of U2OS cells with and without IFNα2 pretreatment GSE159280_1",0,8.68650056494367
"Aurora kinase A phosphorylates histone methyltransferase NSD2 to promote drug resistance in multiple myeloma [RNA-Seq] GSE163589_1",0,8.68650056494367
"RNA-seq analysis of dolastatin 15 treatment in HCT116 cells GSE128748_1",0,8.68650056494367
"Hi-seq 2000 sequencing facilitates quantitative analysis of transcriptomes in LNCaP cells with or without SiGATA2 treatment. GSE38393_1",0,8.68650056494367
"SNHG15 is a bifunctional MYC-regulated noncoding locus encoding a lncRNA that promotes cell proliferation, invasion and drug resistance in colorectal cancer by interacting with AIF GSE128998_1",0,8.68650056494367
"GIST cell cycle dysregulation is required for progression to high-risk disease but not for resistance to kinase inhibitors GSE59841_1",0,8.68650056494367
"RNA-sequencing of the GSI treatment of the CUTLL1 cell line GSE61999_1",0,8.68650056494367
"Effect in HCT116 cells of 3hr cortistatin A treatment on gene expression. GSE65030_1",0,8.68650056494367
"Treatment of prostate cancer cells with S-adenosylmethionine leads to genomewide alterations of transcription profiles GSE71070_1",0,8.68650056494367
"THZ1 targeting CDK7 suppresses STAT transcriptional activity and sensitizes T-cell lymphomas to BCL2 inhibitors GSE79955_1",1.78113056211563e-08,8.69795082473572
"Therapeutic utility of natural estrogen receptor beta agonists on ovarian cancer GSE93807_1",1.78113056211563e-08,8.69795082473572
"Effect of ER stress on MUC1 kidney disease patient derived cells and and treatment by BRD4780 GSE129942_2",1.78113056211563e-08,8.69795082473572
"Evaluation of Eribulin Combined with Irinotecan for Treatment of Pediatric Cancer Xenografts GSE146687_1",1.78113056211563e-08,8.69795082473572
"Novel Inhibitors of the Histone-Methyltransferase DOT1L Show Potent Antileukemic Activity in Patient-derived Xenografts (RNA-seq dataset) GSE149184_1",1.78113056211563e-08,8.69795082473572
"Novel Inhibitors of the Histone-Methyltransferase DOT1L Show Potent Antileukemic Activity in Patient-derived Xenografts (RNA-seq dataset) GSE149184_2",1.78113056211563e-08,8.69795082473572
"Global gene expression profiles of cellular response in human induced pluripotent stem cell-derived cardiomyocytes to melphalan treatment GSE150055_2",1.78113056211563e-08,8.69795082473572
"Stimulation of isolated plasmacytoid dendritic cells (pDCs) with TLR9 agonist CpG C (CpG) and TLR7 agonist imiquimod (IMQ) GSE79272_2",1.78113056211563e-08,8.69795082473572
"The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_2",1.78113056211563e-08,8.69795082473572
"The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_4",1.78113056211563e-08,8.69795082473572
"The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_5",1.78113056211563e-08,8.69795082473572
"The CDK7 Inhibitor THZ1 Alters RNA Polymerase Dynamics at the 5’ and 3’ Ends of Genes GSE102243_7",1.78113056211563e-08,8.69795082473572
"RNASeq analysis of NB1691 neuroblastoma cells treated with MDM2-p53 inhibitor RG7388 alone and in combination with temozolomide GSE104917_1",1.78113056211563e-08,8.69795082473572
"A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_3",1.78113056211563e-08,8.69795082473572
"A cell-permeable stapled peptide inhibitor of the estrogen receptor/coactivator interaction GSE108308_4",1.78113056211563e-08,8.69795082473572
"RNA sequencing of HepG2 cells treated with estradiol or estrogen receptor agonist GSE112983_2",1.78113056211563e-08,8.69795082473572
"The PPAR agonist Rosiglitazone induces paracrine signaling in melanoma cells that activate stromal cells and enhances tumor growth. GSE115221_2",1.78113056211563e-08,8.69795082473572
"Transcriptional profiling of Ishikawa cells treated with H3B-5942, E2, or standard of care compounds GSE115608_3",1.78113056211563e-08,8.69795082473572
"Transcriptional profiling of Ishikawa cells treated with H3B-5942, E2, or standard of care compounds GSE115608_5",1.78113056211563e-08,8.69795082473572
"Transcriptional profiling of MCF7 cells treated with H3B05942, E2, or standard of care compounds GSE115609_1",1.78113056211563e-08,8.69795082473572
"Effects of HSP90 inhibitors on airway goblet cell metaplasia GSE116927_1",1.78113056211563e-08,8.69795082473572
"HDAC inhibition enhances the in vivo efficacy of MEK inhibitor therapy in uveal melanoma GSE127948_3",1.78113056211563e-08,8.69795082473572
"Drug combination of 17-AAG and Belinostat on MDA-MB-231 breast cancer cells GSE129944_3",1.78113056211563e-08,8.69795082473572
"Effective FTO inhibitors with potent anti-tumor efficacy suppress cancer stem/initiating cell self-renewal and overcome immune evasion GSE136204_2",1.78113056211563e-08,8.69795082473572
"Effective FTO inhibitors with potent anti-tumor efficacy suppress cancer stem/initiating cell self-renewal and overcome immune evasion GSE136204_3",1.78113056211563e-08,8.69795082473572
"Multi-treatment models for breast cancer GSE136823_5",1.78113056211563e-08,8.69795082473572
"Multi-treatment models for breast cancer GSE136823_6",1.78113056211563e-08,8.69795082473572
"RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_1",1.78113056211563e-08,8.69795082473572
"RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_3",1.78113056211563e-08,8.69795082473572
"RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_4",1.78113056211563e-08,8.69795082473572
"RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_5",1.78113056211563e-08,8.69795082473572
"RNA-seq of HCC1428 LTED breast cancer cell line post ligand treatment GSE154058_6",1.78113056211563e-08,8.69795082473572
"Distinct gene regulatory programs define the inhibitory effects of LXRs and PPARG on cancer cell proliferation GSE77039_2",1.78113056211563e-08,8.69795082473572
"AZ1366: An inhibitor of tankyrase and the canonical Wnt pathway that limits the persistence of non-small cell lung cancer cells following EGFR inhibition GSE80802_1",1.78113056211563e-08,8.69795082473572
"AZ1366: An inhibitor of tankyrase and the canonical Wnt pathway that limits the persistence of non-small cell lung cancer cells following EGFR inhibition GSE80802_2",1.78113056211563e-08,8.69795082473572
"AZ1366: An inhibitor of tankyrase and the canonical Wnt pathway that limits the persistence of non-small cell lung cancer cells following EGFR inhibition GSE80802_3",1.78113056211563e-08,8.69795082473572
"Gene expression analysis of C4-2 cells treated with ACLY inhibitor and Enzalutamide GSE81796_1",1.78113056211563e-08,8.69795082473572
"Gene expression analysis of C4-2 cells treated with ACLY inhibitor and Enzalutamide GSE81796_2",1.78113056211563e-08,8.69795082473572
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_8",1.78113056211563e-08,8.69795082473572
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_12",1.78113056211563e-08,8.69795082473572
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_23",1.78113056211563e-08,8.69795082473572
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_24",1.78113056211563e-08,8.69795082473572
"Development of a selective CDK9 degrader from a multi-targeted CDK inhibitor [RNA-seq] GSE89385_1",1.78113056211563e-08,8.69795082473572
"Development of a selective CDK9 degrader from a multi-targeted CDK inhibitor [RNA-seq] GSE89385_2",1.78113056211563e-08,8.69795082473572
"Epigenomes and Transcriptomes of human macrophages after ex vivo exposure to mevalonate GSE104227_1",1.78113056211563e-08,8.69795082473572
"RNA-seq of PC3 prostate cancer cell line xenografts in mice administered the ghrelin receptor antagonist [D-Lys3]-GHRP-6 or PBS for two weeks GSE113799_1",1.78113056211563e-08,8.69795082473572
"Transcriptome Analysis Reveals Distinct Responses to Physiologic versus Toxic Manganese Exposure in Human Neuroblastoma Cells GSE129336_1",1.78113056211563e-08,8.69795082473572
"Rescuing over-activated microglia by acetaminophen treatment restores cognitive performance in the Dp(16) mouse model of Down syndrome. GSE137939_1",1.78113056211563e-08,8.69795082473572
"RNA sequencing of pre-treatment primary cervical cancer GSE151666_1",1.78113056211563e-08,8.69795082473572
"Activation of the myeloid checkpoint inhibitor LILRB3 (ILT5) elicits profound immununomodulation GSE151675_1",1.78113056211563e-08,8.69795082473572
"Effects of Belinostat and Dexamethasone treatment of A549 gene expression GSE96649_3",1.78113056211563e-08,8.69795082473572
"Transcriptome of EMT induced MCF10A cells by TGFb treatment or SNAIL S6A expression. GSE89152_1",1.78113056211563e-08,8.69795082473572
"Genome-wide transcriptional profile for the GSK3β selective inhibitor BRD3731 GSE109986_1",1.78113056211563e-08,8.69795082473572
"Potent antitumor activity of Cabozantinib, a c-MET and VEGFR2 Inhibitor, in a Colorectal Cancer Patient-derived Tumor Explant Model GSE60939_1",1.78113056211563e-08,8.69795082473572
"Discovery of pan-Histone Acetyltransferase Inhibitors with Potent Antitumor Activity in vivo GSE104522_1",1.78113056211563e-08,8.69795082473572
"Distinct mechanisms of acquired resistance to oncogenic kinase inhibition in cancer cells revealed using a single-step, high-dose selection scheme GSE137290_4",1.78113056211563e-08,8.69795082473572
"Distinct mechanisms of acquired resistance to oncogenic kinase inhibition in cancer cells revealed using a single-step, high-dose selection scheme GSE137290_6",1.78113056211563e-08,8.69795082473572
"JAK1/2 inhibitor therapy-associated lymphomas in myelofibrosis arising from a pre-existing B-cell clone GSE110219_1",1.78113056211563e-08,8.69795082473572
"GSF1243: RNA-seq data of adipocytes treated with DNMT1 inhibitor, guadecitabine (100nM), for 3 days GSE111305_1",1.78113056211563e-08,8.69795082473572
"Targeting Transcriptional Addiction by a Novel Highly Selective CDK9 Kinase Inhibitor for AML. GSE123287_1",1.78113056211563e-08,8.69795082473572
"Cadmium exposure induces SNAIL1 expression via downregulation of miR-30e in human bronchial epithelial cells GSE128263_1",1.78113056211563e-08,8.69795082473572
"RNA-seq data corresponding to: AZD4573 is a highly selective CDK9 inhibitor that suppresses Mcl-1 and induces apoptosis in hematological cancer cells GSE129012_1",1.78113056211563e-08,8.69795082473572
"Transcriptomic response of LSD1-UTX inhibitor on human breast cancer MCF7 cells GSE130067_1",1.78113056211563e-08,8.69795082473572
"Pattern occupation of HDACs on chromatin determines PI3K/AKT inhibitor resistance in cancers [RNA-seq] GSE137200_1",1.78113056211563e-08,8.69795082473572
"PIM447 treatment in T-ALL PDX splenocytes GSE145165_1",1.78113056211563e-08,8.69795082473572
"mRNA sequencing of human osteoarthritis chondrocytes treated with or without autotaxin inhibitor GSE151937_1",1.78113056211563e-08,8.69795082473572
"Gene expression changes following dihydrotestosterone (DHT) treatment in HCI-009 PDXs GSE152246_1",1.78113056211563e-08,8.69795082473572
"Inhibitory effect of a human microRNA, miR-6133-5p, on the fibrotic activity of hepatic stellate cells in culture GSE158478_1",2.63186704553708e-05,25.6058449692902
"HDAC inhibitors result in widespread alteration of the histone acetylation landscape and BRD4 targeting to gene bodies  GSE159620_1",0.000119239667248843,85.3414744650845
"Inhibition of ERG Activity in Patient Derived Prostate Cancer Xenografts using the Small Molecule Inhibitor YK-4-279 GSE86387_1",0.000151986679139462,100
"Inhibitors of the histone methyltransferases EZH2/1 induce a potent antiviral state and suppress infection by diverse viral pathogens [RNA-Seq] GSE99839_1",0.000305388058083351,100
"Transcriptome sequencing of human coronary artery smooth muscle cell under treatment of nitrated fatty acid GSE100676_2",0.000589511947503578,100
"RNA-seq of eight lymphoblastoid cell lines after AHR ligand treatments GSE116637_2",0.000788876581144726,100
"Synergistic activity of BET inhibitor BI 894999 with PLK inhibitor volasertib in AML in vitro and in vivo GSE103068_3",0.000293735688341836,100
"AhR activity directs BRAF inhibitors resistance in metastastic melanoma GSE104869_1",0.000324752955177392,100
"Global Gene Expression analysis of CUTLL1 cell lines after treatment with Perhexiline GSE66014_1",0.000453836721786462,100
"Human pulmonary artery endothelial cells  (hPAECs) with downregulated BMPR2 signaling demonstrate a unique gene expression signature after exposure to overexpression of AdAlox5 GSE133749_5",0.000538450114617376,100
"Multi-treatment models for breast cancer GSE136823_1",0.000178342400391309,100
"H3K27Ac in MCF7 Y537S ER mutant cells and RNAseq with and without treatment with THZ1 GSE106552_1",0.000452899367235413,100
"The Jumonji-domain histone demethylase inhibitor JIB-04 deregulates oncogenic programs and increases DNA damage in Ewing Sarcoma, resulting in impaired cell proliferation and survival, and reduced tumor growth GSE119832_1",0.000525329547818648,100
