"signature","wcs","tau"
"RNA-seq of HL-60 cells following treatment with different compounds GSE124422_1",-1.78113056211563e-08,8.67505030515162
"Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_2",-1.78113056211563e-08,8.67505030515162
"Gene expression profiles in HMC3 cells after exposure to ketamine or its active metabolites: 2R6R-HNK and 2S6S-HNK GSE134782_5",-1.78113056211563e-08,8.67505030515162
"Effect of venetoclax, tedizolid, and combination treatment on gene expression in a venetoclax-resistant AML cell line GSE136032_2",-1.78113056211563e-08,8.67505030515162
"Effect of venetoclax, tedizolid, and combination treatment on gene expression in a venetoclax-resistant AML cell line GSE136032_3",-1.78113056211563e-08,8.67505030515162
"Transcriptional responses to TNF following HFl treatment of primary rheumatoid arthritis fibroblast like synoviocytes (RA-FLS) GSE145204_3",-1.78113056211563e-08,8.67505030515162
"Expression analysis after co-treatment of GSK126 and pomalidomide GSE147320_2",-1.78113056211563e-08,8.67505030515162
"Modulating Androgen Receptor-driven Transcription in Prostate Cancer with Selective CDK9 Inhibitors [SLAM-seq] GSE156884_1",-1.78113056211563e-08,8.67505030515162
"Modulating Androgen Receptor-driven Transcription in Prostate Cancer with Selective CDK9 Inhibitors [SLAM-seq] GSE156884_2",-1.78113056211563e-08,8.67505030515162
"Modulating Androgen Receptor-driven Transcription in Prostate Cancer with Selective CDK9 Inhibitors [SLAM-seq] GSE156884_3",-1.78113056211563e-08,8.67505030515162
"HDAC inhibitors result in widespread alteration of the histone acetylation landscape and BRD4 targeting to gene bodies  GSE159620_2",-1.78113056211563e-08,8.67505030515162
"SPOP mutation confers intrinsic BET inhibitor resistance in prostate cancer GSE88872_1",-1.78113056211563e-08,8.67505030515162
"Distinct gene regulatory programs define the inhibitory effects of LXRs and PPARG on cancer cell proliferation GSE77039_1",-1.78113056211563e-08,8.67505030515162
"A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_13",-1.78113056211563e-08,8.67505030515162
