t7_row,signature,drug_name_extracted,tau,wcs,nutraceutical,class,source_food,evidence_signature,evidence_drug_name,evidence_lincs_gmt,evidence_broad,n_evidence_streams
3,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,GSE128097,-100,-0.000299952573578611,luteolin,flavonoid,"parsley, celery, chamomile, citrus, onions, apples, berries, green tea, soy",TRUE,FALSE,TRUE,TRUE,3
3,Food-derived Compounds Apigenin and Luteolin Modulate mRNA Splicing of Introns with Weak Splice Sites GSE128097_1,GSE128097,-100,-0.000299952573578611,apigenin,flavonoid,"parsley, celery, chamomile, citrus, onions, apples, berries, green tea, soy",TRUE,FALSE,FALSE,TRUE,2
8,"Licochalcone A suppresses the proliferation of sarcoma HT-1080 cells, as a selective R132C mutant IDH1 inhibitor GSE137934_1",GSE137934,-100,-0.00107589744173509,licochalcone a,flavonoid,licorice root (Glycyrrhiza),TRUE,FALSE,FALSE,TRUE,2
8,"Licochalcone A suppresses the proliferation of sarcoma HT-1080 cells, as a selective R132C mutant IDH1 inhibitor GSE137934_1",GSE137934,-100,-0.00107589744173509,licochalcone,flavonoid,licorice root (Glycyrrhiza),TRUE,FALSE,FALSE,TRUE,2
31,A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_13,Isoginkgetin,8.67505030515162,-1.78113056211563e-08,isoginkgetin,flavonoid,ginkgo biloba,TRUE,TRUE,FALSE,FALSE,2
32,A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_14,Isoginkgetin,8.67505030515162,-1.78113056211563e-08,isoginkgetin,flavonoid,ginkgo biloba,TRUE,TRUE,FALSE,FALSE,2
33,A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_20,Isoginkgetin,8.67505030515162,-1.78113056211563e-08,isoginkgetin,flavonoid,ginkgo biloba,TRUE,TRUE,FALSE,FALSE,2
34,A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_21,Isoginkgetin,8.67505030515162,-1.78113056211563e-08,isoginkgetin,flavonoid,ginkgo biloba,TRUE,TRUE,FALSE,FALSE,2
35,A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_25,Isoginkgetin,8.67505030515162,-1.78113056211563e-08,isoginkgetin,flavonoid,ginkgo biloba,TRUE,TRUE,FALSE,FALSE,2
36,A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_28,Isoginkgetin,8.67505030515162,-1.78113056211563e-08,isoginkgetin,flavonoid,ginkgo biloba,TRUE,TRUE,FALSE,FALSE,2
37,A total RNA-Seq screen reveals that the splicing inhibitor Isoginkgetin blocks transcription elongation GSE86857_29,Isoginkgetin,8.67505030515162,-1.78113056211563e-08,isoginkgetin,flavonoid,ginkgo biloba,TRUE,TRUE,FALSE,FALSE,2
