"disease","primekg_padj","primekg_n_overlap","primekg_n_disease_genes","ot_n_genes","ot_mean_score","ot_max_score","primekg_score","ot_score","combined_score"
"breast carcinoma",2.27385216169384e-07,84,538,57,0.0944462227201246,0.439368850577663,0.578807075963618,0.721518987341772,1.30032606330539
"breast cancer",2.27385216169384e-07,141,1074,52,0.0833986441615151,0.41451130659791,0.578807075963618,0.658227848101266,1.23703492406488
"hepatocellular carcinoma",2.39455678725059e-06,88,614,58,0.0880672859462148,0.305137458489215,0.48972268809327,0.734177215189873,1.22389990328314
"prostate carcinoma",5.05681093605074e-09,99,616,30,0.10415754281556,0.349725651744106,0.722818454206208,0.379746835443038,1.10256528964925
"gastric cancer",4.08404968617959e-07,55,303,40,0.0685205644433159,0.124977183468902,0.55664810627147,0.506329113924051,1.06297722019552
"prostate cancer",5.05681093605074e-09,99,616,22,0.0606222040229446,0.119749270874196,0.722818454206208,0.278481012658228,1.00129946686444
"sarcomatoid carcinoma",3.33069843306445e-12,47,163,NA,NA,NA,1,0,1
"undifferentiated carcinoma",3.33069843306445e-12,47,163,NA,NA,NA,1,0,1
"neoplasm",NA,NA,NA,79,0.0807018560707616,0.18314675701232,0,1,1
"carcinoma",4.54100459194176e-11,50,196,4,0.0307403861871692,0.0769591189475059,0.901143966960395,0.0506329113924051,0.9517768783528
"colorectal carcinoma",1.73559468214268e-05,94,702,40,0.073089197683183,0.210040462683006,0.41477380405262,0.506329113924051,0.921102917976671
"coronary artery disease",3.35663837789005e-11,58,247,NA,NA,NA,0.912579191454844,0,0.912579191454844
"rheumatoid arthritis",2.27385216169384e-07,39,174,25,0.080522112166271,0.497935028107991,0.578807075963618,0.316455696202532,0.89526277216615
"lung cancer",2.16421145896438e-06,82,556,29,0.05075119300713,0.278133314497715,0.493549791888603,0.367088607594937,0.860638399483539
"cancer",NA,NA,NA,65,0.0792563514277964,0.604667249927521,0,0.822784810126582,0.822784810126582
"colorectal cancer",2.16421145896438e-06,110,819,22,0.034303380025019,0.22332048349602,0.493549791888603,0.278481012658228,0.77203080454683
"pancreatic neoplasm",2.62832650983957e-07,28,102,15,0.0713129599440137,0.122105194457676,0.573325282528671,0.189873417721519,0.76319870025019
"melanoma",0.00204697998774983,37,250,40,0.0919813557058806,0.415777336520289,0.234275293059183,0.506329113924051,0.740604406983234
"lung carcinoma",0.00247972542818677,8,23,39,0.0699882984904989,0.380485374733044,0.227018464051277,0.493670886075949,0.720689350127227
"familial pancreatic carcinoma",6.72494134265461e-07,28,107,14,0.075080853228438,0.12350219895732,0.537776561946453,0.177215189873418,0.71499175181987
"atherosclerosis",1.18600199340387e-07,31,115,8,0.0806045758681575,0.34832673771918,0.603435930297578,0.10126582278481,0.704701753082388
"Alzheimer disease",0.0153834485582572,17,101,43,0.119618654013676,0.483182901710836,0.157957035442613,0.544303797468354,0.702260832910967
