"disease","primekg_padj","primekg_n_overlap","primekg_n_disease_genes","ot_n_genes","ot_mean_score","ot_max_score","primekg_score","ot_score","combined_score"
"anxiety disorder",1.2579460897575e-08,82,481,NA,NA,NA,0.688334766063629,0,0.688334766063629
"hereditary breast ovarian cancer syndrome",2.1006037455596e-08,155,1156,NA,NA,NA,0.668933085281664,0,0.668933085281664
"influenza",1.18600199340387e-07,20,52,4,0.037310961860362,0.077726428431569,0.603435930297578,0.0506329113924051,0.654068841689983
"glioma",0.0040797211686411,17,87,35,0.0828922579013712,0.61943636866571,0.208179208837159,0.443037974683544,0.651217183520703
"fatty liver disease",6.57471238495907e-08,36,143,2,0.0537785847904017,0.0802082603341354,0.625758687707604,0.0253164556962025,0.651075143403806
"familial prostate carcinoma",4.36576198042651e-08,101,662,NA,NA,NA,0.641251369189992,0,0.641251369189992
"breast neoplasm",2.27385216169384e-07,141,1074,4,0.0371602304637041,0.0831303614694991,0.578807075963618,0.0506329113924051,0.629439987356023
"non-alcoholic steatohepatitis",6.57471238495907e-08,36,143,NA,NA,NA,0.625758687707604,0,0.625758687707604
"gastric carcinoma",4.08404968617959e-07,55,303,5,0.112735612862224,0.289715378974426,0.55664810627147,0.0632911392405063,0.619939245511976
"non-small cell lung carcinoma",NA,NA,NA,48,0.0815185370539903,0.302186918832742,0,0.607594936708861,0.607594936708861
"major depressive disorder",2.16421145896438e-06,50,278,9,0.117140975474421,0.30792802205501,0.493549791888603,0.113924050632911,0.607473842521514
"schizophrenia",2.39455678725059e-06,117,890,9,0.18215904746604,0.307826525936632,0.48972268809327,0.113924050632911,0.603646738726181
"unipolar depression",1.18600199340387e-07,74,440,NA,NA,NA,0.603435930297578,0,0.603435930297578
"arteriosclerosis disorder",1.18600199340387e-07,31,115,NA,NA,NA,0.603435930297578,0,0.603435930297578
"influenza, severe, susceptibility to",1.18600199340387e-07,20,52,NA,NA,NA,0.603435930297578,0,0.603435930297578
"exocrine pancreatic carcinoma",6.72494134265461e-07,28,107,5,0.0824005185616653,0.277184891013526,0.537776561946453,0.0632911392405063,0.601067701186959
"mammary neoplasms, animal",1.36269040261391e-07,35,142,NA,NA,NA,0.598181130577439,0,0.598181130577439
"hereditary breast carcinoma",2.29733973070836e-07,142,1085,1,0,0,0.578418227148326,0.0126582278481013,0.591076454996428
"liver cancer",3.78537050810118e-06,87,612,9,0.0557512518558003,0.0795381945948285,0.472394536034492,0.113924050632911,0.586318586667403
"malignant pancreatic neoplasm",2.62832650983957e-07,28,102,1,0.258705898279291,0.258705898279291,0.573325282528671,0.0126582278481013,0.585983510376773
"esophageal squamous cell carcinoma",0.000108498012342032,22,95,19,0.0811439891909681,0.28884518055829,0.34542281992928,0.240506329113924,0.585929149043204
"squamous cell carcinoma of the corpus uteri",2.27385216169384e-07,141,1074,NA,NA,NA,0.578807075963618,0,0.578807075963618
"undifferentiated carcinoma of the corpus uteri",2.27385216169384e-07,141,1074,NA,NA,NA,0.578807075963618,0,0.578807075963618
"ovarian cancer",0.000992128934753841,25,137,25,0.0574329988259769,0.103471295997281,0.261680777603746,0.316455696202532,0.578136473806278
"endometriosis (disease)",2.35915241811165e-07,37,161,NA,NA,NA,0.577413582202625,0,0.577413582202625
"endometriosis of uterus",2.35915241811165e-07,37,161,NA,NA,NA,0.577413582202625,0,0.577413582202625
"ovarian endometriosis",2.35915241811165e-07,37,161,NA,NA,NA,0.577413582202625,0,0.577413582202625
"myocardial ischemia",2.02411551217809e-06,37,176,6,0.123657982149829,0.483263668320573,0.496082093211175,0.0759493670886076,0.572031460299782
"gastric neoplasm",3.84678439479155e-07,55,302,1,0.00369579854684702,0.00369579854684702,0.558912819965893,0.0126582278481013,0.571571047813994
"myocardial infarction",3.20599100732799e-05,23,95,14,0.132065685847203,0.449060569694862,0.391553171594015,0.177215189873418,0.568768361467433
"gastric linitis plastica",3.21754316388696e-07,55,300,NA,NA,NA,0.56567158298055,0,0.56567158298055
"diffuse gastric adenocarcinoma",3.84678439479155e-07,55,302,NA,NA,NA,0.558912819965893,0,0.558912819965893
"obesity disorder",0.000142359761023106,36,205,16,0.110334414881749,0.667661542398411,0.335144812423363,0.20253164556962,0.537676457992983
"glioblastoma",NA,NA,NA,42,0.0632964585824405,0.300315137543609,0,0.531645569620253,0.531645569620253
"coronary atherosclerosis",1.42809130527785e-05,19,65,7,0.154148736196705,0.345851863720403,0.422152814841597,0.0886075949367089,0.510760409778306
"lung neoplasm",1.47952899668741e-06,49,266,NA,NA,NA,0.507941141855648,0,0.507941141855648
"colonic neoplasm",0.000183371299447869,30,159,14,0.0445365176089778,0.0898036497370807,0.325565683643571,0.177215189873418,0.502780873516989
"endogenous depression",1.77190160972444e-06,52,292,NA,NA,NA,0.501117673112397,0,0.501117673112397
"type 2 diabetes mellitus",0.0451446556491242,28,221,30,0.188594491430503,0.678713311441187,0.117220456953182,0.379746835443038,0.49696729239622
"adenocarcinoma of liver and intrahepatic biliary tract",2.2408819844881e-06,78,521,NA,NA,NA,0.492232489388037,0,0.492232489388037
"undifferentiated carcinoma of liver and intrahepatic biliary tract",2.2408819844881e-06,78,521,NA,NA,NA,0.492232489388037,0,0.492232489388037
"squamous cell carcinoma of liver and intrahepatic biliary tract",2.2408819844881e-06,78,521,NA,NA,NA,0.492232489388037,0,0.492232489388037
"dysthymic disorder",2.85496099403022e-06,51,290,NA,NA,NA,0.483068340614123,0,0.483068340614123
"central nervous system cancer",NA,NA,NA,38,0.0654788360683248,0.116403781380732,0,0.481012658227848,0.481012658227848
"neurotic disorder",3.039940134205e-06,52,299,NA,NA,NA,0.480692828880981,0,0.480692828880981
"malignant colon neoplasm",0.000183371299447869,30,159,12,0.0475315253084339,0.0877914233660512,0.325565683643571,0.151898734177215,0.477464417820786
"fibrolamellar hepatocellular carcinoma",3.32185731172786e-06,76,509,NA,NA,NA,0.477337040505565,0,0.477337040505565
"heart failure",0.000303114896684158,23,110,13,0.149011901881063,0.430475190013891,0.306547901947502,0.164556962025316,0.471104863972819
"pulmonary fibrosis",1.73559468214268e-05,22,85,4,0.0548644736986465,0.0965063454510182,0.41477380405262,0.0506329113924051,0.465406715445026
"pediatric hepatocellular carcinoma",5.65923927194361e-06,75,507,NA,NA,NA,0.457177790281474,0,0.457177790281474
"stroke disorder",0.0120533461949309,12,58,22,0.145601483195757,0.571554157219738,0.167187826038626,0.278481012658228,0.445668838696854
"neurodegenerative disease",NA,NA,NA,35,0.347769923757439,0.562737926571296,0,0.443037974683544,0.443037974683544
"cirrhosis of liver",1.73559468214268e-05,25,105,2,0.170326828307608,0.258705898279291,0.41477380405262,0.0253164556962025,0.440090259748823
"colorectal neoplasm",1.73559468214268e-05,94,702,2,0.00813075680306344,0.00886991651243284,0.41477380405262,0.0253164556962025,0.440090259748823
"osteoarthritis",0.000138573661406347,24,111,8,0.145999913459971,0.465115888734624,0.336164772712601,0.10126582278481,0.437430595497411
"Parkinson disease",0.00189388436365232,20,104,15,0.109525709777807,0.475633577653673,0.237216721267209,0.189873417721519,0.427090138988728
"plasma cell myeloma",0.000274548222438243,13,42,9,0.194189761980327,0.451627136492214,0.310293384542892,0.113924050632911,0.424217435175804
"chronic obstructive pulmonary disease",0.00180113300935926,10,33,14,0.115670197731337,0.337617213965306,0.239116763951638,0.177215189873418,0.416331953825056
"ovarian carcinoma",0.752481550819247,2,30,32,0.0529383939236543,0.104844062384859,0.0107605770880089,0.40506329113924,0.415823868227249
"postinflammatory pulmonary fibrosis",1.73559468214268e-05,22,85,NA,NA,NA,0.41477380405262,0,0.41477380405262
"hemoglobinopathy",2.04050215055505e-05,27,120,NA,NA,NA,0.408649738506751,0,0.408649738506751
"juvenile idiopathic arthritis",5.8852773445677e-05,29,142,3,0.122234988219219,0.290755865665749,0.36856859780531,0.0379746835443038,0.406543281349614
"Ehlers-Danlos syndrome, periodontitis type",4.21279584041777e-05,6,7,2,0.63697396890127,0.713989310329804,0.381219172200991,0.0253164556962025,0.406535627897194
"infection",NA,NA,NA,32,0.0448087944549909,0.10852676684864,0,0.40506329113924,0.40506329113924
"arthropathy",2.36460987430077e-05,24,100,NA,NA,NA,0.403071638836925,0,0.403071638836925
"contact dermatitis",5.69907045479593e-05,20,78,2,0.152094900404473,0.267667225337924,0.369785147649603,0.0253164556962025,0.395101603345805
"myocardial infarction (disease)",3.20599100732799e-05,23,95,NA,NA,NA,0.391553171594015,0,0.391553171594015
"coronary thrombosis",3.20599100732799e-05,23,95,NA,NA,NA,0.391553171594015,0,0.391553171594015
"occupational dermatitis",5.69907045479593e-05,20,78,NA,NA,NA,0.369785147649603,0,0.369785147649603
"pneumonitis",9.43069946998466e-05,16,55,1,0.192219759168326,0.192219759168326,0.350726942261188,0.0126582278481013,0.363385170109289
"hypertensive disorder",0.0102287053880103,5,12,15,0.171111818658056,0.468602516571111,0.173398863267526,0.189873417721519,0.363272280989045
"pneumonia",0.000272182183196604,15,54,4,0.0805989046096074,0.212223952220778,0.310620890926126,0.0506329113924051,0.361253802318531
"colorectal adenocarcinoma",0.0044982201709834,18,96,12,0.149427975990667,0.375501782899402,0.204484122168528,0.151898734177215,0.356382856345743
"systemic-onset juvenile idiopathic arthritis",0.000170841470161082,27,135,2,0.0175920510598923,0.0280880689560373,0.328243806676721,0.0253164556962025,0.353560262372924
"congestive heart failure",0.000303114896684158,23,110,3,0.169966726176996,0.369579854684702,0.306547901947502,0.0379746835443038,0.344522585491806
"esophageal cancer",0.000599062995673908,18,79,5,0.0243168092429281,0.0968221959507653,0.280769977857084,0.0632911392405063,0.344061117097591
"nasopharyngeal carcinoma",0.00180113300935926,8,22,8,0.0787599231920402,0.0931811594998557,0.239116763951638,0.10126582278481,0.340382586736449
"ischemia reperfusion injury",0.000127459196431236,21,89,NA,NA,NA,0.33932832119144,0,0.33932832119144
"asthma",0.0194548200315317,15,87,15,0.168513103422166,0.475845638857153,0.149072363012162,0.189873417721519,0.338945780733681
"adenocarcinoma",0.000259322050086242,24,116,2,0.0236531106998209,0.0288272286654067,0.312452327358687,0.0253164556962025,0.33776878305489
"non-small cell lung carcinoma (disease)",0.000135690787617442,30,156,NA,NA,NA,0.336960273199884,0,0.336960273199884
"osteoarthritis susceptibility",0.000138573661406347,24,111,NA,NA,NA,0.336164772712601,0,0.336164772712601
"monogenic obesity",0.000142359761023106,36,205,NA,NA,NA,0.335144812423363,0,0.335144812423363
"ovarian neoplasm",0.000785168360621411,25,134,5,0.152803001020824,0.279296097288341,0.270533370721136,0.0632911392405063,0.333824509961642
"alcohol drinking",NA,NA,NA,26,0.161341213742004,0.44313047633746,0,0.329113924050633,0.329113924050633
"squamous cell carcinoma",0.00068791849695231,29,165,4,0.1163169336433,0.28252783622294,0.275536723407681,0.0506329113924051,0.326169634800086
"cervical carcinoma",0.156909713900066,2,5,20,0.0754733252632083,0.246954432341451,0.070080822845339,0.253164556962025,0.323245379807364
"juvenile pilocytic astrocytoma",0.000200341274031906,17,65,NA,NA,NA,0.322216593081146,0,0.322216593081146
"squamous cell carcinoma of colon",0.000203365669806938,30,160,NA,NA,NA,0.321649637715369,0,0.321649637715369
"anaplastic astrocytoma",0.000406149860504187,16,63,2,0.273188808834748,0.277184891013526,0.295475854990333,0.0253164556962025,0.320792310686536
"X-linked Ehlers-Danlos syndrome",0.000306898072572967,5,6,1,0.619719713220968,0.619719713220968,0.306078557834944,0.0126582278481013,0.318736785683045
"salivary gland basal cell adenocarcinoma",0.000259322050086242,24,116,NA,NA,NA,0.312452327358687,0,0.312452327358687
"cribriform carcinoma",0.000259322050086242,24,116,NA,NA,NA,0.312452327358687,0,0.312452327358687
"cribriform carcinoma of breast",0.000259322050086242,24,116,NA,NA,NA,0.312452327358687,0,0.312452327358687
"granular cell carcinoma",0.000259322050086242,24,116,NA,NA,NA,0.312452327358687,0,0.312452327358687
"tubular adenocarcinoma",0.000259322050086242,24,116,NA,NA,NA,0.312452327358687,0,0.312452327358687
"allergic contact dermatitis",0.000275021098326352,17,67,NA,NA,NA,0.310228267729678,0,0.310228267729678
"Behcet disease",0.000774034770586715,9,24,3,0.0433110683281476,0.102664987339381,0.271073761898993,0.0379746835443038,0.309048445443297
"oligoastrocytoma",0.000303114896684158,25,125,NA,NA,NA,0.306547901947502,0,0.306547901947502
"obsolete Ehlers-Danlos syndrome with periventricular heterotopia",0.000306898072572967,5,6,NA,NA,NA,0.306078557834944,0,0.306078557834944
"yolk sac tumor",0.000313384817608632,27,141,NA,NA,NA,0.305287111994659,0,0.305287111994659
"Burkitt lymphoma",0.000452355212619542,15,57,1,0.0678076372275682,0.0678076372275682,0.291398883982447,0.0126582278481013,0.304057111830548
"Abnormality of the skeletal system",NA,NA,NA,24,0.267769173241838,0.538396435099276,0,0.30379746835443,0.30379746835443
"uterine corpus cancer",0.000336319615240501,19,82,NA,NA,NA,0.302614549217476,0,0.302614549217476
"ovarian endometrioid adenocarcinoma",0.000350359316018053,27,142,NA,NA,NA,0.301067040877462,0,0.301067040877462
"diffuse astrocytoma",0.000350605508828842,16,62,NA,NA,NA,0.301040461334978,0,0.301040461334978
"drug-induced liver injury",0.000354512580413046,57,404,NA,NA,NA,0.300621125189857,0,0.300621125189857
"psoriasis",0.031155199119576,11,59,13,0.081182093230595,0.270160345259749,0.131254550528222,0.164556962025316,0.295811512553539
"subcutaneous panniculitis-like T-cell lymphoma",0.000402875764148587,9,22,NA,NA,NA,0.295782121769721,0,0.295782121769721
"protoplasmic astrocytoma",0.000406149860504187,16,63,NA,NA,NA,0.295475854990333,0,0.295475854990333
"gemistocytic astrocytoma",0.000406149860504187,16,63,NA,NA,NA,0.295475854990333,0,0.295475854990333
"fibrillary astrocytoma",0.000406149860504187,16,63,NA,NA,NA,0.295475854990333,0,0.295475854990333
"pilomyxoid astrocytoma",0.000406149860504187,13,44,NA,NA,NA,0.295475854990333,0,0.295475854990333
"acute respiratory distress syndrome",0.0162108904628472,12,61,11,0.0812783880203201,0.278697283490331,0.15597461438699,0.139240506329114,0.295215120716104
"lung adenocarcinoma",0.495983452083831,19,206,21,0.0796477425643911,0.281995582878806,0.0265331082517457,0.265822784810127,0.292355893061872
"diabetes mellitus",NA,NA,NA,23,0.207311323720662,0.620981987161101,0,0.291139240506329,0.291139240506329
"COVID-19",NA,NA,NA,23,0.137381465749477,0.540921181759359,0,0.291139240506329,0.291139240506329
"spondyloarthropathy",0.000638677555422495,25,132,1,0.0245897927989861,0.0245897927989861,0.278347042026672,0.0126582278481013,0.291005269874774
"autosomal recessive severe congenital neutropenia due to CSF3R deficiency",0.00180113300935926,4,5,4,0.0664234580107032,0.0878945076518232,0.239116763951638,0.0506329113924051,0.289749675344044
"systemic sclerosis",0.0188774550729849,7,26,11,0.0734103222148088,0.121107979065629,0.150212316188739,0.139240506329114,0.289452822517852
"substance abuse/dependence",0.000511996932258471,66,496,NA,NA,NA,0.286712504098317,0,0.286712504098317
"diffuse large B-cell lymphoma",0.0054073872478507,15,75,7,0.182852463921177,0.442425170729906,0.19751858003987,0.0886075949367089,0.286126174976579
"ovarian adenocarcinoma",0.000522323666402052,26,138,NA,NA,NA,0.285956906453756,0,0.285956906453756
"endometrial cancer",0.00418157930959263,15,72,6,0.0538447533420397,0.106480062577492,0.207246088452601,0.0759493670886076,0.283195455541208
"juvenile arthritis due to defect in LACC1",0.000575130189133209,25,131,NA,NA,NA,0.282312681725427,0,0.282312681725427
"psoriasis-related juvenile idiopathic arthritis",0.000575130189133209,25,131,NA,NA,NA,0.282312681725427,0,0.282312681725427
"carcinoma of esophagus",0.000599062995673908,18,79,NA,NA,NA,0.280769977857084,0,0.280769977857084
"coronary artery disorder",NA,NA,NA,22,0.210209670742539,0.543343983028959,0,0.278481012658228,0.278481012658228
"acute myeloid leukemia",NA,NA,NA,22,0.0794496012758062,0.30219333756439,0,0.278481012658228,0.278481012658228
"Sepsis",NA,NA,NA,22,0.0578912079789816,0.323382372849114,0,0.278481012658228,0.278481012658228
"glioma susceptibility",0.000639072420527291,26,140,NA,NA,NA,0.278323655203614,0,0.278323655203614
"Crohn disease",0.386741374815684,6,50,19,0.0694542111589672,0.353356032416452,0.0359469076564948,0.240506329113924,0.276453236770419
"bipolar disorder",0.00133642856405138,64,497,2,0.0836060589142576,0.131175753785995,0.25040845943649,0.0253164556962025,0.275724915132693
"malignant tumor of nasopharynx",0.000701818750516421,10,29,NA,NA,NA,0.274779763548562,0,0.274779763548562
"nasopharyngeal neoplasm",0.000701818750516421,10,29,NA,NA,NA,0.274779763548562,0,0.274779763548562
"familial ovarian cancer",0.000992128934753841,25,137,1,0.00960907622180225,0.00960907622180225,0.261680777603746,0.0126582278481013,0.274339005451847
"phencyclidine abuse",0.000785241604431982,5,7,NA,NA,NA,0.270529841115125,0,0.270529841115125
"ovarian mucinous adenocarcinoma",0.000819254932591128,29,167,NA,NA,NA,0.268925326213396,0,0.268925326213396
"amyotrophic lateral sclerosis",0.00622552339296371,19,108,6,0.0772001041221457,0.148217943583803,0.192187402944957,0.0759493670886076,0.268136770033565
"Familial prostate cancer",NA,NA,NA,21,0.0582713338055214,0.112938995338936,0,0.265822784810127,0.265822784810127
"lymphoma",0.00483228229217241,9,32,5,0.167618890086015,0.513390940954962,0.201773454864838,0.0632911392405063,0.265064594105344
"glioblastoma (disease)",0.000977286199287131,26,144,NA,NA,NA,0.262251143094315,0,0.262251143094315
"borderline epithelial tumor of ovary",0.000992128934753841,25,137,NA,NA,NA,0.261680777603746,0,0.261680777603746
"ovarian carcinosarcoma",0.000992128934753841,25,137,NA,NA,NA,0.261680777603746,0,0.261680777603746
"ovarian small cell carcinoma",0.000992128934753841,25,137,NA,NA,NA,0.261680777603746,0,0.261680777603746
"malignant non-dysgerminomatous germ cell tumor of ovary",0.000992128934753841,25,137,NA,NA,NA,0.261680777603746,0,0.261680777603746
"hereditary site-specific ovarian cancer syndrome",0.000992128934753841,25,137,NA,NA,NA,0.261680777603746,0,0.261680777603746
"primary non-gestational choriocarcinoma of ovary",0.000992128934753841,25,137,NA,NA,NA,0.261680777603746,0,0.261680777603746
"malignant germ cell tumor of ovary",0.000992128934753841,25,137,NA,NA,NA,0.261680777603746,0,0.261680777603746
"malignant sex cord stromal tumor of ovary",0.000992128934753841,25,137,NA,NA,NA,0.261680777603746,0,0.261680777603746
"immature ovarian teratoma",0.000992128934753841,25,137,NA,NA,NA,0.261680777603746,0,0.261680777603746
"malignant dysgerminomatous germ cell tumor of ovary",0.000992128934753841,25,137,NA,NA,NA,0.261680777603746,0,0.261680777603746
"maligant granulosa cell tumor of ovary",0.000992128934753841,25,137,NA,NA,NA,0.261680777603746,0,0.261680777603746
"malignant Sertoli-Leydig cell tumor of ovary",0.000992128934753841,25,137,NA,NA,NA,0.261680777603746,0,0.261680777603746
"theca steroid-producing cell malignant tumor of ovary, not further specified",0.000992128934753841,25,137,NA,NA,NA,0.261680777603746,0,0.261680777603746
"anaplastic ependymoma",0.00105081748996285,13,49,NA,NA,NA,0.259506153015458,0,0.259506153015458
"ependymoblastoma",0.00105081748996285,13,49,NA,NA,NA,0.259506153015458,0,0.259506153015458
"cholangiocarcinoma",0.00796203420194397,8,28,6,0.0606152987360108,0.0838418325767221,0.182878015169008,0.0759493670886076,0.258827382257616
"ovarian clear cell adenocarcinoma",0.0010965180620209,25,138,NA,NA,NA,0.257895300992982,0,0.257895300992982
"X-linked severe congenital neutropenia",0.00425660638572909,4,6,4,0.0743448837574626,0.088963137535537,0.206573191238541,0.0506329113924051,0.257206102630946
"acute lymphoblastic leukemia",0.0342239042334551,10,52,10,0.0602829702907574,0.109860496954198,0.12769984382134,0.126582278481013,0.254282122302352
"mantle cell lymphoma",0.00329816125021913,12,49,3,0.147114691149454,0.290122878984881,0.2162261599339,0.0379746835443038,0.254200843478203
"osteoporosis",0.00467602321233414,14,66,4,0.191315057156198,0.445652245931307,0.203017252076607,0.0506329113924051,0.253650163469012
"cyclic hematopoiesis",0.00180113300935926,4,5,1,0.0897233687260494,0.0897233687260494,0.239116763951638,0.0126582278481013,0.25177499179974
"autosomal recessive severe congenital neutropenia due to JAGN1 deficiency",0.00180113300935926,4,5,1,0.0393454713297333,0.0393454713297333,0.239116763951638,0.0126582278481013,0.25177499179974
"giant cell glioblastoma",0.00138464280321994,22,116,NA,NA,NA,0.249067396427631,0,0.249067396427631
"major affective disorder",0.00143692204121093,62,479,NA,NA,NA,0.247665043709426,0,0.247665043709426
"reticulum cell sarcoma",0.00143692204121093,8,21,NA,NA,NA,0.247665043709426,0,0.247665043709426
"interdigitating dendritic cell sarcoma",0.00143692204121093,8,21,NA,NA,NA,0.247665043709426,0,0.247665043709426
"glomerulonephritis",0.041368140160225,7,31,10,0.12098681628206,0.259629847916003,0.120526095395106,0.126582278481013,0.247108373876118
"papilloma",0.00167560141157117,6,12,NA,NA,NA,0.241850387527537,0,0.241850387527537
"squamous papilloma",0.00167560141157117,6,12,NA,NA,NA,0.241850387527537,0,0.241850387527537
"papillomatosis",0.00167560141157117,6,12,NA,NA,NA,0.241850387527537,0,0.241850387527537
"squamous papillomatosis",0.00167560141157117,6,12,NA,NA,NA,0.241850387527537,0,0.241850387527537
"cervical cancer",0.0931221138042544,7,37,12,0.0319519231210165,0.0845305153328079,0.0898235980248353,0.151898734177215,0.241722332202051
"leishmaniasis",0.00467602321233414,7,20,3,0.0160619404845971,0.0197577390314442,0.203017252076607,0.0379746835443038,0.240991935620911
"systemic lupus erythematosus",NA,NA,NA,19,0.155849229181346,0.483610620388447,0,0.240506329113924,0.240506329113924
"complex regional pain syndrome",0.00247652628137857,14,61,1,0.0186680086868299,0.0186680086868299,0.227067312324691,0.0126582278481013,0.239725540172793
"nasopharyngeal carcinoma, susceptibility to",0.00180113300935926,8,22,NA,NA,NA,0.239116763951638,0,0.239116763951638
"nasopharyngeal squamous cell carcinoma",0.00180113300935926,8,22,NA,NA,NA,0.239116763951638,0,0.239116763951638
"Langerhans cell histiocytosis",0.00180113300935926,10,33,NA,NA,NA,0.239116763951638,0,0.239116763951638
"COPD, severe early onset",0.00180113300935926,10,33,NA,NA,NA,0.239116763951638,0,0.239116763951638
"isolated hemihyperplasia",0.00180113300935926,4,5,NA,NA,NA,0.239116763951638,0,0.239116763951638
"Ehlers-Danlos syndrome, hypermobility type",0.00180113300935926,4,5,NA,NA,NA,0.239116763951638,0,0.239116763951638
"Ehlers-Danlos syndrome, arthrochalasis type",0.00180113300935926,4,5,NA,NA,NA,0.239116763951638,0,0.239116763951638
"Ehlers-Danlos syndrome, fibronectinemic type",0.00180113300935926,4,5,NA,NA,NA,0.239116763951638,0,0.239116763951638
"Ehlers-Danlos syndrome, cardiac valvular type",0.00180113300935926,4,5,NA,NA,NA,0.239116763951638,0,0.239116763951638
"Ehlers-Danlos syndrome, spondylocheirodysplastic type",0.00180113300935926,4,5,NA,NA,NA,0.239116763951638,0,0.239116763951638
"Ehlers-Danlos syndrome, vascular-like type",0.00180113300935926,4,5,NA,NA,NA,0.239116763951638,0,0.239116763951638
"Ehlers-Danlos/osteogenesis imperfecta syndrome",0.00180113300935926,4,5,NA,NA,NA,0.239116763951638,0,0.239116763951638
"Ehlers-Danlos syndrome, vascular type",0.00180113300935926,4,5,NA,NA,NA,0.239116763951638,0,0.239116763951638
"adult idiopathic neutropenia",0.00180113300935926,4,5,NA,NA,NA,0.239116763951638,0,0.239116763951638
"autosomal recessive severe congenital neutropenia due to G6PC3 deficiency",0.00180113300935926,4,5,NA,NA,NA,0.239116763951638,0,0.239116763951638
"prostate adenocarcinoma",0.0197237103482187,6,20,7,0.145719000080477,0.281268902399398,0.148552962728792,0.0886075949367089,0.237160557665501
"epilepsy",0.00536186955635292,29,193,3,0.181392324985663,0.462713978065247,0.197838444083078,0.0379746835443038,0.235813127627382
"clear cell renal carcinoma",0.297428140881992,16,149,15,0.118749729678234,0.347207013711303,0.0458827761929829,0.189873417721519,0.235756193914502
"hypertension",0.031155199119576,5,16,8,0.157899527658539,0.374330495733461,0.131254550528222,0.10126582278481,0.232520373313033
"astrocytoma (excluding glioblastoma)",0.0223870813887572,7,27,7,0.0156355922512248,0.0359787914118261,0.143760191540982,0.0886075949367089,0.232367786477691
"urinary bladder carcinoma",0.186239327967999,17,144,13,0.116293182141022,0.296909333346702,0.0635966760986244,0.164556962025316,0.228153638123941
"hyperglycemia",0.00345316362087354,9,30,1,0.387598397735843,0.387598397735843,0.214488383115302,0.0126582278481013,0.227146610963403
"bronchogenic carcinoma",0.00247972542818677,8,23,NA,NA,NA,0.227018464051277,0,0.227018464051277
"bronchus cancer",0.00247972542818677,8,23,NA,NA,NA,0.227018464051277,0,0.227018464051277
"idiopathic pulmonary fibrosis",0.195899896949641,4,21,13,0.101343399519915,0.349554584006192,0.0616831165897622,0.164556962025316,0.226240078615079
"malignant glioma",0.00509021669146293,18,98,2,0.0679018414113692,0.0864853044364799,0.199805775209,0.0253164556962025,0.225122230905202
