Flight-PostMission,Flight-PostMission,Flight-PreMission,Flight-PreMission,PreMission-PostMission,PreMission-PostMission
"UP, 509 genes","Down, 4448 genes","UP, 12 genes","Down, 551 genes","UP, 11 genes","Down, 106 genes"
RP11-705C15.3,ENSG00000183638,ENSG00000128602,ENSG00000183638,ENSG00000251562,RP11-687M24.5
ENSG00000156535,ENSG00000278247,ENSG00000092529,ENSG00000278247,ENSG00000123870,ENSG00000132681
ENSG00000110218,ENSG00000130294,ENSG00000177570,ENSG00000130294,ENSG00000242294,CCDC64B
ENSG00000274338,RP11-469N6.1,EMCN-IT1,CTD-3162L10.1,ENSG00000173679,ENSG00000122584
ENSG00000173626,CTD-3162L10.1,ENSG00000127774,ENSG00000155066,ENSG00000155657,ENSG00000175262
ENSG00000171448,ENSG00000155066,ENSG00000178537,ENSG00000258498,AC012507.4,ENSG00000106113
KIAA1919,ENSG00000258498,KIAA1324L,ENSG00000088340,CTC-459F4.3,CCDC129
ENSG00000274665,ENSG00000088340,ENSG00000005471,ENSG00000170423,FAM153C,ENSG00000101098
ENSG00000146859,ENSG00000170423,RP11-299J3.8,ENSG00000276342,ENSG00000116678,RP11-329B9.1
ENSG00000106089,ENSG00000166473,ENSG00000269028,ENSG00000140279,ENSG00000129128,RP11-70F11.11
C15ORF26,ENSG00000276342,ENSG00000274332,ENSG00000275340,ENSG00000169919,RP5-1063M23.2
ENSG00000213462,ENSG00000163395,FAM129C,ENSG00000162105,,ENSG00000016082
ENSG00000100372,ENSG00000140279,,ENSG00000197683,,ENSG00000283099
ENSG00000185015,ENSG00000275340,,ENSG00000086159,,RP5-983L19.2
ENSG00000175198,ENSG00000101204,,ENSG00000085552,,ENSG00000146648
ENSG00000185164,ENSG00000162105,,ENSG00000149452,,ENSG00000105707
AC093415.2,ENSG00000197683,,ENSG00000139648,,ENSG00000233123
ENSG00000099256,ENSG00000086159,,ENSG00000177910,,ENSG00000007174
C4ORF21,ENSG00000085552,,ENSG00000061337,,AF121897.4
ENSG00000134317,ENSG00000149452,,ENSG00000168490,,ENSG00000224165
RP11-345J4.8,ENSG00000139648,,RP11-431K24.1,,FAM64A
ENSG00000215252,ENSG00000182704,,AC141928.1,,ENSG00000215475
ENSG00000163728,ENSG00000177910,,ENSG00000186971,,ENSG00000101115
ENSG00000137842,ENSG00000146216,,ENSG00000143867,,ENSG00000237232
ENSG00000269293,ENSG00000061337,,ENSG00000198173,,ENSG00000075429
RP4-756H11.3,ENSG00000157119,,ENSG00000165566,,GPR110
ENSG00000184226,ENSG00000168490,,ENSG00000182175,,ENSG00000106384
ENSG00000100916,RP11-431K24.1,,C8ORF47,,ENSG00000164128
ENSG00000231205,AC141928.1,,ENSG00000204175,,ENSG00000233117
ENSG00000050130,ENSG00000171540,,ENSG00000154118,,ENSG00000128602
ENSG00000123374,ENSG00000186971,,ENSG00000007384,,ENSG00000150275
ENSG00000147036,ENSG00000143867,,RP11-342M1.7,,RP11-84A19.2
PPAPDC1B,ENSG00000255346,,ENSG00000174576,,ENSG00000206461
ENSG00000092529,ENSG00000174339,,ENSG00000130528,,ENSG00000204869
ENSG00000153363,ENSG00000188660,,ENSG00000002746,,ENSG00000152137
ENSG00000082293,ENSG00000198173,,ENSG00000070729,,ENSG00000121634
RP11-556E13.1,RP11-216M21.7,,ENSG00000144488,,ENSG00000141200
RP11-930O11.2,ENSG00000164050,,CNTD2,,AC062028.1
C19ORF60,LEPREL2,,ENSG00000052850,,ENSG00000214145
ACPL2,ENSG00000165566,,ENSG00000154478,,ENSG00000052344
AC114752.3,ENSG00000182175,,ENSG00000120457,,RP11-430H10.2
HNRNPU-AS1,ENSG00000105509,,ENSG00000179403,,ENSG00000198354
ENSG00000166997,ENSG00000156413,,ENSG00000141485,,ENSG00000189051
ENSG00000282799,C8ORF47,,ENSG00000163531,,ENSG00000170927
ENSG00000151838,ENSG00000204175,,ENSG00000167767,,ENSG00000132932
ENSG00000177570,ENSG00000154118,,ENSG00000132681,,CTD-3179P9.2
ENSG00000162892,ENSG00000167178,,ENSG00000101282,,RP11-38O14.5
ENSG00000251562,ENSG00000007384,,ENSG00000100036,,ENSG00000186891
ENSG00000181016,RP11-342M1.7,,ENSG00000235370,,RP11-95M5.1
ENSG00000123870,ENSG00000174576,,ENSG00000105419,,RP13-379L11.2
RP11-879F14.3,ENSG00000130528,,ENSG00000143126,,AL390778.1
ENSG00000232838,ENSG00000002746,,ENSG00000205634,,RP11-339B21.8
ENSG00000161912,ENSG00000070729,,ENSG00000124493,,ENSG00000198125
RP13-578N3.3,RP11-17M15.2,,ENSG00000167281,,RP11-458K10.3
ENSG00000213625,ENSG00000144488,,ENSG00000274286,,ENSG00000253309
ENSG00000254703,CNTD2,,ENSG00000112837,,ENSG00000263229
AC019221.4,ENSG00000052850,,TTC40,,RP11-775D22.2
ENSG00000088035,ENSG00000154478,,ENSG00000145934,,RP11-285E9.6
ENSG00000121542,ENSG00000058404,,ENSG00000123989,,RP11-358N4.3
ENSG00000230590,ENSG00000120457,,ENSG00000275365,,ENSG00000180251
WRB,ENSG00000179403,,ENSG00000281618,,RP11-100K18.1
AC004381.6,GPR123,,ENSG00000139890,,ENSG00000174667
AC093616.4,ENSG00000197444,,AC135983.2,,RP11-1151B14.2
ENSG00000172197,RP11-687M24.5,,ENSG00000246877,,ENSG00000196166
RP11-387H17.4,ENSG00000141485,,RP11-93B14.6,,RP11-91K9.1
RP11-34P13.13,ENSG00000163531,,ENSG00000240707,,ENSG00000168658
ENSG00000250878,ENSG00000167767,,ENSG00000100626,,ENSG00000196337
ENSG00000188076,ENSG00000132681,,ENSG00000185818,,ENSG00000184571
RP11-387D10.2,ENSG00000101282,,ENSG00000058335,,ENSG00000139289
ENSG00000253394,CCDC108,,CCDC64B,,ENSG00000186335
ENSG00000282880,ENSG00000100036,,ENSG00000156966,,RP11-63K6.5
ENSG00000216863,ENSG00000235370,,ENSG00000135625,,ENSG00000262068
ENSG00000255823,ENSG00000187172,,ENSG00000149633,,RP4-529N6.1
ENSG00000114487,ENSG00000105419,,ENSG00000137142,,HRASLS2
RP11-392P7.6,ENSG00000164877,,ENSG00000161249,,ENSG00000141738
ENSG00000157570,ENSG00000183389,,ENSG00000122584,,AL009178.1
ENSG00000102043,ENSG00000227128,,ENSG00000175262,,AC113607.3
ENSG00000282017,ENSG00000143126,,ENSG00000101203,,C20ORF166-AS1
ENSG00000163933,ENSG00000205634,,ENSG00000171532,,ENSG00000179133
TMBIM4_1,ENSG00000182950,,ENSG00000249715,,ENSG00000227339
ISPD,ENSG00000171403,,ENSG00000124092,,ENSG00000185669
ENSG00000023608,ENSG00000124493,,ENSG00000281988,,ENSG00000134363
AC108488.4,ENSG00000167281,,ENSG00000155269,,RP11-451O13.1
AC007566.10,ENSG00000074211,,AL359195.1,,ENSG00000005243
ENSG00000178075,ENSG00000276155,,ENSG00000131059,,AC136604.1
ENSG00000260528,ENSG00000204278,,ENSG00000164742,,RP11-399K21.14
ENSG00000242294,ENSG00000274286,,ENSG00000131183,,ENSG00000127743
ENSG00000240356,ENSG00000007314,,ENSG00000106113,,ENSG00000225777
ENSG00000100479,ENSG00000112837,,ENSG00000153902,,RP11-225N10.1
ENSG00000166153,ENSG00000186907,,ENSG00000091536,,ENSG00000144278
ENSG00000140830,ENSG00000076716,,DUSP27,,ENSG00000211640
ENSG00000106610,TTC40,,ENSG00000168065,,ENSG00000139540
ENSG00000169313,ENSG00000145934,,ENSG00000075035,,ENSG00000282107
EMCN-IT1,ENSG00000122254,,CCDC129,,C17ORF96
ENSG00000154620,ENSG00000123989,,ENSG00000276876,,RP11-320G24.1
ENSG00000164465,ENSG00000275365,,ENSG00000187634,,ENSG00000148795
ALS2CR12,ENSG00000110900,,ENSG00000129990,,ENSG00000109158
ENSG00000198689,ENSG00000281618,,ENSG00000111432,,ENSG00000057294
ENSG00000204177,ENSG00000139890,,ENSG00000139767,,AC018755.1
ENSG00000144134,AC135983.2,,ENSG00000150281,,ENSG00000232677
ENSG00000138722,ENSG00000159217,,ENSG00000078295,,RP11-1102P16.1
ENSG00000134291,ENSG00000246877,,RP11-10N16.2,,ENSG00000228630
ENSG00000127774,ENSG00000164082,,ENSG00000099814,,ENSG00000285360
MIR4435-1HG,ENSG00000100033,,CTD-3220F14.1,,ENSG00000103723
ENSG00000146416,RP11-93B14.6,,ENSG00000132854,,AF186192.5
ENSG00000153347,ENSG00000169783,,ENSG00000131771,,ENSG00000249003
ENSG00000241697,ENSG00000115507,,ENSG00000172350,,
ENSG00000223972,ENSG00000225953,,ENSG00000171631,,
ENSG00000282540,ENSG00000179954,,ENSG00000133878,,
ENSG00000282621,ENSG00000240707,,ENSG00000243137,,
ENSG00000228253,ENSG00000130182,,AC114776.3,,
ENSG00000248309,ENSG00000100626,,ENSG00000135312,,
ENSG00000105507,ENSG00000185818,,C2ORF71,,
ENSG00000147650,ENSG00000058335,,ENSG00000282508,,
RP11-930O11.1,CCDC64B,,RP11-70F11.11,,
ENSG00000107798,ENSG00000133063,,ENSG00000105428,,
ENSG00000155008,ENSG00000156966,,CTC-338M12.9,,
ENSG00000153162,ENSG00000135625,,ENSG00000149927,,
ENSG00000114857,ENSG00000185958,,ENSG00000128683,,
ENSG00000256045,ENSG00000168453,,ENSG00000165643,,
ENSG00000155657,ENSG00000149633,,AC012507.3,,
ENSG00000212907,ENSG00000215218,,ENSG00000196273,,
RP11-21J18.1,ENSG00000137142,,ENSG00000104722,,
ENSG00000139291,ENSG00000138675,,ENSG00000174945,,
ENSG00000167904,ENSG00000227036,,ENSG00000180422,,
ENSG00000066294,ENSG00000276469,,ENSG00000113739,,
ENSG00000106603,ENSG00000167880,,ENSG00000125813,,
KLRAP1,ENSG00000161249,,ENSG00000158816,,
ENSG00000105829,ENSG00000273822,,ENSG00000064270,,
ENSG00000233093,ENSG00000176884,,ENSG00000167889,,
ENSG00000250334,ENSG00000162438,,ENSG00000109610,,
ENSG00000282628,ENSG00000122584,,ENSG00000183090,,
ENSG00000187672,ENSG00000166851,,ENSG00000167588,,
ENSG00000240344,ENSG00000196739,,ENSG00000166105,,
RP13-270P17.2,ENSG00000175262,,ENSG00000092445,,
ENSG00000165409,ENSG00000101203,,ENSG00000169436,,
CTAGE5,RP11-526P6.1,,ENSG00000142279,,
ENSG00000114805,ENSG00000160838,,ENSG00000009830,,
ENSG00000117586,ENSG00000171532,,ENSG00000074047,,
RP11-266N13.2,ENSG00000249715,,ENSG00000156345,,
ENSG00000213190,LINC00693,,ADC,,
ENSG00000091732,ENSG00000205978,,ENSG00000276194,,
ENSG00000198899,ENSG00000133980,,ENSG00000189001,,
ENSG00000198888,ENSG00000125998,,ENSG00000168487,,
ENSG00000131067,ENSG00000124092,,ENSG00000250208,,
ENSG00000168970,ENSG00000124664,,ENSG00000164920,,
ENSG00000162614,ENSG00000164362,,ENSG00000159173,,
